bowa	b O w a
tsibogelo	ts> i b O x E l O
kgotsofatse	kx O ts> O f a ts> E
bolwetseng	b O l w E ts> E N
fetolwa	f E t> O l w a
tsentswe	ts> E n ts> w E
bewe	b E w E
setimamolelo	s E t> i m a m O l E l O
kotsing	k> O ts> i N
phuruphutso	ph u r u ph u ts> O
amoganwang	a m O x a n w a N
tlhamegileng	tlh a m E x i l E N
nepagetse	n E p> a x E ts> E
totobadiwa	t> O t> O b a d i w a
itsisiwe	i ts> i s i w E
sekapolelo	s E k> a p> O l E l O
tswakilweng	ts> w a k> i l w E N
tlamela	tl> a m E l a
setsheng	s E tsh E N
diphuduhudu	d i ph u d u h u d u
kitla	k> i tl> a
nkokoabona	n k> O k> O a b O n a
matlhare	m a tlh a r E
feleleditse	f E l E l E d i ts> E
gogilweng	x O x i l w E N
fafarega	f a f a r E x a
dikgodiso	d i kx O d i s O
tlhomo	tlh O m O
thutadimela	th u t> a d i m E l a
fifala	f i f a l a
sedimosediwang	s E d i m O s E d i w a N
bofa	b O f a
dikakanyetso	d i k> a k> a J E ts> O
motseletseleng	m O ts> E l E ts> E l E N
mpherosa	m ph E r O s a
nneteng	n n E t> E N
kgaogang	kx a O x a N
boikgethelo	b O i kx E th E l O
kgatong	kx a t> O N
ikanyegeng	i k> a J E x E N
letshoromo	l E tsh O r O m O
goletseng	x O l E ts> E N
retela	r E t> E l a
ipobola	i p> O b O l a
arajwa	a r a d0Z w a
ditlhaketlhake	d i tlh a k> E tlh a k> E
beiwa	b E i w a
foritšhe	f O r i tSh E
leroleng	l E r O l E N
sebetsa	s E b E ts> a
tlhaolositsweng	tlh a O l O s i ts> w E N
ntlhaloganye	n tlh a l O x a J E
buduleng	b u d u l E N
dikhonferenseng	d i kh O n f E r E n s E N
malawana	m a l a w a n a
ditiragalong	d i t> i r a x a l O N
makgasanyana	m a kx a s a J a n a
iponang	i p> O n a N
rulagane	r u l a x a n E
bogadi	b O x a d i
se	s E
tlhatswe	tlh a ts> w E
robiwe	r O b i w E
latelana	l a t> E l a n a
kgotlhelega	kx O tlh E l E x a
letona	l E t> O n a
thubang	th u b a N
boneng	b O n E N
hirisa	h i r i s a
pipamolomo	p> i p> a m O l O m O
bolotsa	b O l O ts> a
laolweng	l a O l w E N
tshikinngwe	tsh i k> i n N w E
tlogelang	tl> O x E l a N
mosing	m O s i N
eletsegang	E l E ts> E x a N
lekgalagadi	l E kx a l a x a d i
keteko	k> E t> E k> O
ditswerere	d i ts> w E r E r E
setsabakedi	s E ts> a b a k> E d i
bukatsatsi	b u k> a ts> a ts> i
naganang	n a x a n a N
omisitsweng	O m i s i ts> w E N
diphetolelo	d i ph E t> O l E l O
kelelo	k> E l E l O
leoto	l E O t> O
nyatsang	J a ts> a N
kgathalesege	kx a th a l E s E x E
tshetsweng	tsh E ts> w E N
lengamu	l E N a m u
karateng	k> a r a t> E N
buiwa	b u i w a
itshwara	i tsh w a r a
tsika	ts> i k> a
mereromegolo	m E r E r O m E x O l O
magolwane	m a x O l w a n E
rekiseng	r E k> i s E N
nkemisa	n k> E m i s a
kampaneng	k> a m p> a n E N
latele	l a t> E l E
neele	n E E l E
tlelwa	tl> E l w a
kokona	k> O k> O n a
ngotlafatsa	N O tl> a f a ts> a
thuntshiwang	th u n tsh i w a N
itotletse	i t> O tl> E ts> E
babusi	b a b u s i
menaganeng	m E n a x a n E N
babatsega	b a b a ts> E x a
gare	x a r E
bankane	b a n k> a n E
gotlhelele	x O tlh E l E l E
masisapelo	m a s i s a p> E l O
ditlhabi	d i tlh a b i
matala	m a t> a l a
kopantswe	k> O p> a n ts> w E
thubakana	th u b a k> a n a
ditlhomo	d i tlh O m O
moalafi	m O a l a f i
ineelela	i n E E l E l a
bofe	b O f E
kgweetseng	kx w E E ts> E N
dikhanseleng	d i kh a n s E l E N
motshegetsi	m O tsh E x E ts> i
dimmapa	d i m m a p> a
dilegileng	d i l E x i l E N
lefelokgang	l E f E l O kx a N
akanngwang	a k> a n N w a N
tlhatlogang	tlh a tl> O x a N
ema	E m a
okamelwa	O k> a m E l w a
mararo	m a r a r O
tokafatse	t> O k> a f a ts> E
leitibolo	l E i t> i b O l O
diriswa	d i r i s w a
omisiwang	O m i s i w a N
thuto	th u t> O
ditshwaelong	d i tsh w a E l O N
maatlafatso	m a tl> a f a ts> O
motsesetoropong	m O ts> E s E t> O r O p> O N
aroganngwang	a r O x a n N w a N
ntlholela	n tlh O l E l a
ditogamaano	d i t> O x a m a n O
selemong	s E l E m O N
itiretse	i t> i r E ts> E
weditsweng	w E d i ts> w E N
golang	x O l a N
lekalekane	l E k> a l E k> a n E
menkgo	m E n kx O
kotulo	k> O t> u l O
meaparo	m E a p> a r O
laetswe	l a E ts> w E
lemeng	l E m E N
ditshwantshonyana	d i tsh w a n tsh O J a n a
neela	n E E l a
sefa	s E f a
mothalong	m O th a l O N
nkgolola	n kx O l O l a
lebaneng	l E b a n E N
tumileng	t> u m i l E N
bareketoro	b a r E k> E t> O r O
lebega	l E b E x a
lereo	l E r E O
bajaboswa	b a d0Z a b O s w a
seinong	s E i n O N
fudugela	f u d u x E l a
motsi	m O ts> i
fetogetseng	f E t> O x E ts> E N
boikhutso	b O i kh u ts> O
eleditse	E l E d i ts> E
rabara	r a b a r a
dipeba	d i p> E b a
tshwanelanang	tsh w a n E l a n a N
fuduga	f u d u x a
atlholelweng	a tlh O l E l w E N
kopiwe	k> O p> i w E
farologanyang	f a r O l O x a J a N
dikotsing	d i k> O ts> i N
fokola	f O k> O l a
tlhageng	tlh a x E N
batlhankeding	b a tlh a n k> E d i N
dikopa	d i k> O p> a
borremogolo	b O r r E m O x O l O
phasaladiwa	ph a s a l a d i w a
tira	t> i r a
tshwantshangwa	tsh w a n tsh a N w a
digole	d i x O l E
dijong	d i d0Z O N
kagego	k> a x E x O
ipeela	i p> E E l a
rathana	r a th a n a
laolwa	l a O l w a
lenaanethutong	l E n a n E th u t> O N
molemisi	m O l E m i s i
mantlwane	m a n tl> w a n E
metsana	m E ts> a n a
dikeetane	d i k> E E t> a n E
mokgosi	m O kx O s i
mogale	m O x a l E
popo	p> O p> O
boitsholo	b O i tsh O l O
gotlhole	x O tlh O l E
matlhalela	m a tlh a l E l a
tingwa	t> i N w a
tlaletsa	tl> a l E ts> a
temaneng	t> E m a n E N
ditlhabologong	d i tlh a b O l O x O N
supetswa	s u p> E ts> w a
ditumelong	d i t> u m E l O N
buile	b u i l E
motlotlong	m O tl> O tl> O N
puiso	p> u i s O
gaisa	x a i s a
motshegareng	m O tsh E x a r E N
budule	b u d u l E
nkgomotsa	n kx O m O ts> a
etegela	E t> E x E l a
latlhe	l a tlh E
ntšhwafadiweng	n tSh w a f a d i w E N
kitlane	k> i tl> a n E
nepagala	n E p> a x a l a
tlodisa	tl> O d i s a
morwarraagwe	m O r w a r r a x w E
matlhaba	m a tlh a b a
dipolasetiki	d i p> O l a s E t> i k> i
lemosiwa	l E m O s i w a
kgona	kx O n a
tlatsatlatsang	tl> a ts> a tl> a ts> a N
gobaditse	x O b a d i ts> E
suleng	s u l E N
melomo	m E l O m O
bomorafe	b O m O r a f E
tlhagafetse	tlh a x a f E ts> E
otlilweng	O tl> i l w E N
nyatsa	J a ts> a
tshogane	tsh O x a n E
sekano	s E k> a n O
thuthafaleng	th u th a f a l E N
moya	m O j a
sweu	s w E u
nkamang	n k> a m a N
thulane	th u l a n E
dikhwaere	d i kh w a E r E
lojwa	l O d0Z w a
ganong	x a n O N
bomasisi	b O m a s i s i
batsamaisi	b a ts> a m a i s i
tlhokometseng	tlh O k> O m E ts> E N
tselana	ts> E l a n a
robiwang	r O b i w a N
supilweng	s u p> i l w E N
diroro	d i r O r O
semelo	s E m E l O
bothateng	b O th a t> E N
onetse	O n E ts> E
mokgalo	m O kx a l O
karolwana	k> a r O l w a n a
legala	l E x a l a
borongweng	b O r O N w E N
itlhomotse	i tlh O m O ts> E
sutlhang	s u tlh a N
gannweng	x a n n w E N
kaeding	k> a E d i N
borulaganyi	b O r u l a x a J i
tlhatswiwa	tlh a ts> w i w a
fifatsa	f i f a ts> a
okeletsa	O k> E l E ts> a
tlhatlhoba	tlh a tlh O b a
lotlhakane	l O tlh a k> a n E
konkoreite	k> O n k> O r E i t> E
abelang	a b E l a N
tsholetsega	tsh O l E ts> E x a
totobetse	t> O t> O b E ts> E
phirima	ph i r i m a
tsofatsa	ts> O f a ts> a
ntshitseng	n tsh i ts> E N
rwelerwele	r w E l E r w E l E
manega	m a n E x a
dipaterone	d i p> a t> E r O n E
kamoreng	k> a m O r E N
seleejana	s E l E E d0Z a n a
fetseng	f E ts> E N
lefitshwana	l E f i tsh w a n a
butung	b u t> u N
bodiredipuso	b O d i r E d i p> u s O
tlhaselwa	tlh a s E l w a
bokebekwa	b O k> E b E k> w a
teleko	t> l E k> O
phiri	ph i r i
fegelwa	f E x E l w a
ditlamong	d i tl> a m O N
lekelediwa	l E k> E l E d i w a
morudu	m O r u d u
tlhakore	tlh a k> O r E
tswalega	ts> w a l E x a
jono	d0Z O n O
digalase	d i x a l a s E
arogane	a r O x a n E
melamebedi	m E l a m E b E d i
beteri	b E t> E r i
tetlanyo	t> E tl> a J O
tlhaela	tlh a E l a
boineelo	b O i n E E l O
bosadi	b O s a d i
bosena	b O s E n a
ithutile	i th u t> i l E
itaole	i t> a O l E
nolofatse	n O l O f a ts> E
dipholo	d i ph O l O
tlhatlhojwa	tlh a tlh O d0Z w a
lotletseng	l O tl> E ts> E N
dipuong	d i p> u O N
golela	x O l E l a
diletswa	d i l E ts> w a
kgongwa	kx O N w a
mpaletse	m p> a l E ts> E
pitsokakaretso	p> i ts> O k> a k> a r E ts> O
dikgogo	d i kx O x O
utlwisitsweng	u tl> w i s i ts> w E N
tshenyego	tsh E J E x O
kgara	kx a r a
diphatlhana	d i ph a tlh a n a
tiriso	t> i r i s O
arogantsweng	a r O x a n ts> w E N
dithotloetso	d i th O tl> O E ts> O
nonneng	n O n n E N
bothati	b O th a t> i
moetapele	m O E t> a p> E l E
tlhaka	tlh a k> a
isiwang	i s i w a N
po	p> O
iphelela	i ph E l E l a
batlhophi	b a tlh O ph i
fokodiwe	f O k> O d i w E
lebenkele	l E b E n k> E l E
golegelwe	x O l E x E l w E
tsibosa	ts> i b O s a
morabeng	m O r a b E N
lemogiwang	l E m O x i w a N
bentsha	b E n tsh a
gakala	x a k> a l a
tseneleleng	ts> E n E l E l E N
sephologolo	s E ph O l O x O l O
tlhotlheleditsweng	tlh O tlh E l E d i ts> w E N
fetotse	f E t> O ts> E
amogedisiwa	a m O x E d i s i w a
kwena	k> w E n a
khoune	kh O u n E
nyalong	J a l O N
pilara	p> i l a r a
ditshupelo	d i tsh u p> E l O
sekeng	s E k> E N
maibing	m a i b i N
togagano	t> O x a x a n O
kaetsa	k> a E ts> a
ratileng	r a t> i l E N
ungwelang	u N w E l a N
kofi	k> O f i
fodiseng	f O d i s E N
moruni	m O r u n i
diyunibesithi	d i j u n i b E s i th i
meedi	m E E d i
neetswe	n E E ts> w E
goge	x O x E
botokololong	b O t> O k> O l O l O N
adimiwang	a d i m i w a N
ithola	i th O l a
malatsinyana	m a l a ts> i J a n a
dipolata	d i p> O l a t> a
temokerasing	t> E m O k> E r a s i N
seretseng	s E r E ts> E N
ipusang	i p> u s a N
tlela	tl> E l a
dikologileng	d i k> O l O x i l E N
kopano	k> O p> a n O
dipoelo	d i p> O E l O
mosupatsela	m O s u p> a ts> E l a
lowe	l O w E
tlhagelela	tlh a x E l E l a
leboa	l E b O a
tlotlong	tl> O tl> O N
nolofaditsweng	n O l O f a d i ts> w E N
tsengwang	ts> E N w a N
matshwenyego	m a tsh w E J E x O
ikanya	i k> a J a
inanatha	i n a n a th a
ikuetse	i k> u E ts> E
kalediwa	k> a l E d i w a
tsoopedi	ts> O O p> E d i
thunya	th u J a
boditšhabatšhaba	b O d i tSh a b a tSh a b a
batlweng	b a tl> w E N
maungo	m a u N O
tlhwaafalo	tlh w a f a l O
alelwa	a l E l w a
torong	t> O r O N
bofelelang	b O f E l E l a N
dikwalong	d i k> w a l O N
tsepaletse	ts> E p> a l E ts> E
dipitse	d i p> i ts> E
matshosetsing	m a tsh O s E ts> i N
dumetswe	d u m E ts> w E
kgontsha	kx O n tsh a
latlhegelwang	l a tlh E x E l w a N
akaretsega	a k> a r E ts> E x a
adimilweng	a d i m i l w E N
kolobediwang	k> O l O b E d i w a N
tlhatlhamololwe	tlh a tlh a m O l O l w E
lenyatso	l E J a ts> O
baporofeti	b a p> O r O f E t> i
bonnyaneng	b O n J a n E N
dilepe	d i l E p> E
utlwileng	u tl> w i l E N
mositlha	m O s i tlh a
gatise	x a t> i s E
pelegong	p> E l E x O N
moloko	m O l O k> O
omisa	O m i s a
palelwe	p> a l E l w E
laotswe	l a O ts> w E
dinotagi	d i n O t> a x i
batlhami	b a tlh a m i
modiragatsimogolo	m O d i r a x a ts> i m O x O l O
akareditswe	a k> a r E d i ts> w E
tesetamente	t> E s E t> a m E n t> E
ditlolomolao	d i tl> O l O m O l a O
tlhasetseng	tlh a s E ts> E N
atolositsweng	a t> O l O s i ts> w E N
mebepe	m E b E p> E
itebaganyang	i t> E b a x a J a N
ikgolaganyang	i kx O l a x a J a N
lekanyetswa	l E k> a J E ts> w a
oketsegile	O k> E ts> E x i l E
tlhatloso	tlh a tl> O s O
maokwane	m a O k> w a n E
motšhining	m O tSh i n i N
retelelwe	r E t> E l E l w E
didiko	d i d i k> O
sotlaka	s O tl> a k> a
bokaobontsi	b O k> a O b O n ts> i
kaetse	k> a E ts> E
lengwe	l E N w E
tlaleletsanang	tl> a l E l E ts> a n a N
busetswang	b u s E ts> w a N
popota	p> O p> O t> a
gogelang	x O x E l a N
moatlhodimogolo	m O a tlh O d i m O x O l O
phuruphudiwa	ph u r u ph u d i w a
reketse	r E k> E ts> E
matseme	m a ts> E m E
nnyala	n J a l a
nyelediwa	J E l E d i w a
amanngwa	a m a n N w a
tlhobaeditswe	tlh O b a E d i ts> w E
noka	n O k> a
farafarilwe	f a r a f a r i l w E
tlhatswadiatla	tlh a ts> w a d i a tl> a
polanete	p> O l a n E t> E
ditsebe	d i ts> E b E
mofero	m O f E r O
tsenetsweng	ts> E n E ts> w E N
ponelopele	p> O n E l O p> E l E
ntshwenyang	n tsh w E J a N
mafura	m a f u r a
laleditsweng	l a l E d i ts> w E N
ntshiwe	n tsh i w E
ngwageng	N w a x E N
tsosa	ts> O s a
fankase	f a n k> a s E
lokwalokgang	l O k> w a l O kx a N
matso	m a ts> O
magala	m a x a l a
somarelwang	s O m a r E l w a N
tlhatlogo	tlh a tl> O x O
bannaleseabe	b a n n a l E s E a b E
buledisa	b u l E d i s a
itatola	i t> a t> O l a
tshwaele	tsh w a E l E
papatsong	p> a p> a ts> O N
molao	m O l a O
tshwantshanyo	tsh w a n tsh a J O
ditekolo	d i t> E k> O l O
meratiso	m E r a t> i s O
fedisitse	f E d i s i ts> E
lekau	l E k> a u
khanseleng	kh a n s E l E N
biletsa	b i l E ts> a
lebelong	l E b E l O N
feme	f E m E
tisong	t> i s O N
lekolwane	l E k> O l w a n E
tshupatefo	tsh u p> a t> E f O
potefoliong	p> O t> E f O l i O N
lema	l E m a
bakopi	b a k> O p> i
tswelelang	ts> w E l E l a N
taletsong	t> a l E ts> O N
boiteko	b O i t> E k> O
ruang	r u a N
khupetsa	kh u p> E ts> a
begeng	b E x E N
serokwa	s E r O k> w a
tlhagoleng	tlh a x O l E N
fenena	f E n E n a
fokoditsweng	f O k> O d i ts> w E N
sotlileng	s O tl> i l E N
mpogisetsang	m p> O x i s E ts> a N
jara	d0Z a r a
ngomaela	N O m a E l a
ungwa	u N w a
looditswe	l O O d i ts> w E
rumolwa	r u m O l w a
itsiwe	i ts> i w E
bopilwe	b O p> i l w E
athikeleng	a th i k> E l E N
medumo	m E d u m O
kolote	k> O l O t> E
bue	b u E
kgolokwe	kx O l O k> w E
thataro	th a t> a r O
diphiso	d i ph i s O
ikatisetsa	i k> a t> i s E ts> a
dikgoreletso	d i kx O r E l E ts> O
tsosoloseng	ts> O s O l O s E N
bolaiwe	b O l a i w E
dirisa	d i r i s a
rakgadi	r a kx a d i
omanya	O m a J a
bongola	b O N O l a
toro	t> O r O
sejanaga	s E d0Z a n a x a
kgwebong	kx w E b O N
tshiamiso	tsh i a m i s O
tshwarelela	tsh w a r E l E l a
mokgokoloseng	m O kx O k> O l O s E N
godimo	x O d i m O
diege	d i E x E
modibo	m O d i b O
thoko	th O k> O
melao	m E l a O
bonyaneng	b O J a n E N
tlhabo	tlh a b O
sefala	s E f a l a
itekanyeng	i t> E k> a J E N
tshabile	tsh a b i l E
duetseng	d u E ts> E N
setediamong	s E t> E d i a m O N
diforomo	d i f O r O m O
bolokiwa	b O l O k> i w a
phuthetswe	ph u th E ts> w E
mmalabadi	m m a l a b a d i
kanya	k> a J a
rekisang	r E k> i s a N
gasitswe	x a s i ts> w E
dikhutlong	d i kh u tl> O N
batsamai	b a ts> a m a i
bosetlhogo	b O s E tlh O x O
kgothosa	kx O th O s a
kwadilwe	k> w a d i l w E
mefero	m E f E r O
letsela	l E ts> E l a
ša	S a
menopi	m E n O p> i
eteletsa	E t> E l E ts> a
tlhophilweng	tlh O ph i l w E N
emisitsweng	E m i s i ts> w E N
epiwa	E p> i w a
kgonegeng	kx O n E x E N
bapiswa	b a p> i s w a
balatofadiwa	b a l a t> O f a d i w a
fologa	f O l O x a
gagotswe	x a x O ts> w E
anaanela	a n a n E l a
ntshegetse	n tsh E x E ts> E
tshwenyegile	tsh w E J E x i l E
digetse	d i x E ts> E
baba	b a b a
banetetshi	b a n E t> E tsh i
pelaelo	p> E l a E l O
tswelelo	ts> w E l E l O
nitamong	n i t> a m O N
sebaka	s E b a k> a
tlwaelegile	tl> w a E l E x i l E
buelelwa	b u E l E l w a
motlhokomedi	m O tlh O k> O m E d i
dikgopolo	d i kx O p> O l O
pota	p> O t> a
malomo	m a l O m O
