tsebe	ts> E b E
letlelelwe	l E tl> E l E l w E
ditshiamelo	d i tsh i a m E l O
tlhophiwe	tlh O ph i w E
kgantele	kx a n t> E l E
amoga	a m O x a
robongwe	r O b O N w E
boramolao	b O r a m O l a O
dithekenoloji	d i th E k> E n O l O d0Z i
tlhomagana	tlh O m a x a n a
ikokomela	i k> O k> O m E l a
runya	r u J a
ganetsanang	x a n E ts> a n a N
dibe	d i b E
arabela	a r a b E l a
utlwagale	u tl> w a x a l E
diphedi	d i ph E d i
malomaago	m a l O m a x O
bokwaledi	b O k> w a l E d i
tshwarelele	tsh w a r E l E l E
fosagala	f O s a x a l a
ithobalele	i th O b a l E l E
kgaphelwa	kx a ph E l w a
sebeka	s E b E k> a
tseneletse	ts> E n E l E ts> E
tlhakanye	tlh a k> a J E
jwalwa	d0Z w a l w a
nesetsa	n E s E ts> a
anaanya	a n a J a
matlhogela	m a tlh O x E l a
magareng	m a x a r E N
baitseanape	b a i ts> E a n a p> E
morwadi	m O r w a d i
tsosolosa	ts> O s O l O s a
ikwadiswang	i k> w a d i s w a N
baemanokeng	b a E m a n O k> E N
lekwalothebolo	l E k> w a l O th E b O l O
goreng	x O r E N
dithekesing	d i th E k> E s i N
dipolotiki	d i p> O l O t> i k> i
leso	l E s O
dibelang	d i b E l a N
gokela	x O k> E l a
ngaparetse	N a p> a r E ts> E
wena	w E n a
patiwa	p> a t> i w a
saene	s a E n E
letheka	l E th E k> a
oketsa	O k> E ts> a
dikontinente	d i k> O n t> i n E n t> E
dikgorong	d i kx O r O N
amegang	a m E x a N
longwa	l O N w a
laetseng	l a E ts> E N
nakonyaneng	n a k> O J a n E N
poeletsong	p> O E l E ts> O N
tlhofofaletsa	tlh O f O f a l E ts> a
terakeng	t> E r a k> E N
moletsi	m O l E ts> i
botlhatlhobi	b O tlh a tlh O b i
mosi	m O s i
tlhomamisetse	tlh O m a m i s E ts> E
fenyang	f E J a N
dumeletswe	d u m E l E ts> w E
kabakanngwang	k> a b a k> a n N w a N
morutegi	m O r u t> E x i
makwalokgang	m a k> w a l O kx a N
tlhomileng	tlh O m i l E N
gatang	x a t> a N
setlhakanatlhogo	s E tlh a k> a n a tlh O x O
thetelelo	th E t> E l E l O
tlhoke	tlh O k> E
loa	l O a
thekisong	th E k> i s O N
dikago	d i k> a x O
gwanta	x w a n t> a
abile	a b i l E
nthusa	n th u s a
setshwaro	s E tsh w a r O
bobogelo	b O b O x E l O
ikilela	i k> i l E l a
ditlhakgolo	d i tlh a kx O l O
benya	b E J a
tšhomi	tSh O m i
magodimong	m a x O d i m O N
ntemositse	n t> E m O s i ts> E
emisitswe	E m i s i ts> w E
tikwatikwe	t> i k> w a t> i k> w E
bomma	b O m m a
tagiwa	t> a x i w a
potlakela	p> O tl> a k> E l a
okola	O k> O l a
borraetshomogolo	b O r r a E tsh O m O x O l O
moano	m O a n O
dumeletsweng	d u m E l E ts> w E N
netefaditse	n E t> E f a d i ts> E
tanka	t> a n k> a
tshitshinya	tsh i tsh i J a
mosesane	m O s E s a n E
bega	b E x a
magong	m a x O N
tsholeletsang	tsh O l E l E ts> a N
boikemelo	b O i k> E m E l O
boeteledipele	b O E t> E l E d i p> E l E
bolekanyetsi	b O l E k> a J E ts> i
balebeledi	b a l E b E l E d i
tlogelo	tl> O x E l O
pegang	p> E x a N
setheong	s E th E O N
motlhotlheletsi	m O tlh O tlh E l E ts> i
gantsi	x a n ts> i
mabenkeleng	m a b E n k> E l E N
tseo	ts> E O
bapile	b a p> i l E
gakololang	x a k> O l O l a N
tsholegang	tsh O l E x a N
mokaedi	m O k> a E d i
tlogileng	tl> O x i l E N
phuthelwa	ph u th E l w a
taya	t> a j a
tlhabologa	tlh a b O l O x a
letlotlo	l E tl> O tl> O
setlamong	s E tl> a m O N
imelega	i m E l E x a
itshetlegile	i tsh E tl> E x i l E
kgwebopotlana	kx w E b O p> O tl> a n a
kgobokantsha	kx O b O k> a n tsh a
lekanyang	l E k> a J a N
boatlhodi	b O a tlh O d i
bogola	b O x O l a
mothelesi	m O th E l E s i
mareetsane	m a r E E ts> a n E
kanamo	k> a n a m O
tshege	tsh E x E
meriana	m E r i a n a
tlhogile	tlh O x i l E
sente	s E n t> E
selegae	s E l E x a E
ngwanaka	N w a n a k> a
tlontlololwa	tl> O n tl> O l O l w a
buisegeng	b u i s E x E N
botlhogisetso	b O tlh O x i s E ts> O
tlhorungwe	tlh O r u N w E
neiwa	n E i w a
kelelong	k> E l E l O N
boifisitse	b O i f i s i ts> E
setlha	s E tlh a
moela	m O E l a
thothela	th O th E l a
hutsafala	h u ts> a f a l a
pena	p> E n a
mokgweng	m O kx w E N
saenne	s a E n n E
tlotlega	tl> O tl> E x a
begile	b E x i l E
tlhabege	tlh a b E x E
tlhaga	tlh a x a
itlamela	i tl> a m E l a
ikgogonne	i kx O x O n n E
rekoteng	r E k> O t> E N
dipaakanyo	d i p> a k> a J O
botsereganying	b O ts> E r E x a J i N
motheo	m O th E O
petelelo	p> E t> E l E l O
boithabiso	b O i th a b i s O
phulo	ph u l O
kgatlhisa	kx a tlh i s a
dithwadi	d i th w a d i
feditsweng	f E d i ts> w E N
ikutlwetse	i k> u tl> w E ts> E
tlhokofala	tlh O k> O f a l a
pharakanong	ph a r a k> a n O N
baithaopi	b a i th a O p> i
atlholetse	a tlh O l E ts> E
morakeng	m O r a k> E N
matsetseleko	m a ts> E ts> l E k> O
rokelelang	r O k> E l E l a N
ponalo	p> O n a l O
batlisisa	b a tl> i s i s a
senye	s E J E
kaseteng	k> a s E t> E N
popegotheo	p> O p> E x O th E O
betsi	b E ts> i
tokafatseng	t> O k> a f a ts> E N
tlhokomologo	tlh O k> O m O l O x O
itharabologetswe	i th a r a b O l O x E ts> w E
keng	k> E N
tsofetse	ts> O f E ts> E
itekanye	i t> E k> a J E
totisiwa	t> O t> i s i w a
nele	n E l E
bommampodi	b O m m a m p> O d i
sesiro	s E s i r O
swa	s w a
anamisa	a n a m i s a
tshwaraganang	tsh w a r a x a n a N
marinini	m a r i n i n i
dinkgwe	d i n kx w E
borasaense	b O r a s a E n s E
bathating	b a th a t> i N
lekgarebe	l E kx a r E b E
banni	b a n n i
phalolo	ph a l O l O
lemoragong	l E m O r a x O N
inyalanya	i J a l a J a
lekantsweng	l E k> a n ts> w E N
sedirisiwa	s E d i r i s i w a
sekasekilwe	s E k> a s E k> i l w E
boleele	b O l E E l E
morwaaka	m O r w a k> a
tikatiko	t> i k> a t> i k> O
lefarong	l E f a r O N
agente	a x E n t> E
tšheke	tSh E k> E
tlhabologong	tlh a b O l O x O N
ngwagatlola	N w a x a tl> O l a
phure	ph u r E
ditlhotshwana	d i tlh O tsh w a n a
bongweng	b O N w E N
agisana	a x i s a n a
dipalong	d i p> a l O N
phokoletso	ph O k> O l E ts> O
dumalanwe	d u m a l a n w E
tsikinya	ts> i k> i J a
monni	m O n n i
mesi	m E s i
ditharabololo	d i th a r a b O l O l O
dikutung	d i k> u t> u N
kakaretso	k> a k> a r E ts> O
ntshang	n tsh a N
bonosi	b O n O s i
bagodi	b a x O d i
tsenyang	ts> E J a N
gategile	x a t> E x i l E
maloba	m a l O b a
bolelwa	b O l E l w a
motshameki	m O tsh a m E k> i
boruning	b O r u n i N
iphetotse	i ph E t> O ts> E
sokodisa	s O k> O d i s a
mophato	m O ph a t> O
ithate	i th a t> E
ikwatlhaele	i k> w a tlh a E l E
lateletseng	l a t> E l E ts> E N
bodutu	b O d u t> u
tshwetso	tsh w E ts> O
modirammogo	m O d i r a m m O x O
dinokwane	d i n O k> w a n E
biditswe	b i d i ts> w E
pedi	p> E d i
seakong	s E a k> O N
kgabaganyo	kx a b a x a J O
dikgotlatshekelokgolo	d i kx O tl> a tsh E k> E l O kx O l O
kgarakgadiwang	kx a r a kx a d i w a N
letelele	l E t> E l E l E
dilekane	d i l E k> a n E
semelele	s E m E l E l E
tlhokofalela	tlh O k> O f a l E l a
bolokileng	b O l O k> i l E N
lekwalokao	l E k> w a l O k> a O
supana	s u p> a n a
botlaseng	b O tl> a s E N
tiisetso	t> i i s E ts> O
batlhanka	b a tlh a n k> a
tlhagisiwa	tlh a x i s i w a
tlotlwang	tl> O tl> w a N
kgontshiwa	kx O n tsh i w a
rutwa	r u t> w a
tlhomola	tlh O m O l a
lorwaneng	l O r w a n E N
ntshosetsa	n tsh O s E ts> a
logamaano	l O x a m a n O
diregile	d i r E x i l E
tswelelele	ts> w E l E l E l E
fitlheletse	f i tlh E l E ts> E
serala	s E r a l a
elwa	E l w a
rwalwa	r w a l w a
lalediwang	l a l E d i w a N
kgabisa	kx a b i s a
kgethegile	kx E th E x i l E
tseno	ts> E n O
batlameding	b a tl> a m E d i N
phetisong	ph E t> i s O N
ikgafetsa	i kx a f E ts> a
dikhutlhwaneng	d i kh u tlh w a n E N
bopelotelele	b O p> E l O t> E l E l E
ntsaneng	n ts> a n E N
diphofo	d i ph O f O
bolokesegileng	b O l O k> E s E x i l E N
ditsala	d i ts> a l a
tsholeditse	tsh O l E d i ts> E
tlogelelang	tl> O x E l E l a N
mmagwe	m m a x w E
lebeleleng	l E b E l E l E N
dithanolong	d i th a n O l O N
mokgaoganyi	m O kx a O x a J i
mafaratlhatlha	m a f a r a tlh a tlh a
katisetsa	k> a t> i s E ts> a
mokete	m O k> E t> E
kalafing	k> a l a f i N
fedise	f E d i s E
dielemente	d i E l E m E n t> E
dutseng	d u ts> E N
latetseng	l a t> E ts> E N
rusa	r u s a
dipalangwa	d i p> a l a N w a
tlhamileng	tlh a m i l E N
gontle	x O n tl> E
tlhwatlhwagodimo	tlh w a tlh w a x O d i m O
mojamorago	m O d0Z a m O r a x O
itshupile	i tsh u p> i l E
bakile	b a k> i l E
bobegakgang	b O b E x a kx a N
itlhaoletse	i tlh a O l E ts> E
ikanyegang	i k> a J E x a N
gonyela	x O J E l a
sasankang	s a s a n k> a N
thibelong	th i b E l O N
tlhama	tlh a m a
mmelaelwa	m m E l a E l w a
thapotswe	th a p> O ts> w E
itapisa	i t> a p> i s a
lomeletsa	l O m E l E ts> a
tlhatlhobela	tlh a tlh O b E l a
thibang	th i b a N
sireletswa	s i r E l E ts> w a
totobadiwang	t> O t> O b a d i w a N
barui	b a r u i
tlhokela	tlh O k> E l a
melomong	m E l O m O N
letleletsweng	l E tl> E l E ts> w E N
emang	E m a N
kannweng	k> a n n w E N
dibokose	d i b O k> O s E
khiba	kh i b a
kgaosetsang	kx a O s E ts> a N
godile	x O d i l E
lopang	l O p> a N
tshwanelana	tsh w a n E l a n a
ditshidilo	d i tsh i d i l O
laolegang	l a O l E x a N
boto	b O t> O
tshotlako	tsh O tl> a k> O
popelelo	p> O p> E l E l O
loeto	l O E t> O
rebola	r E b O l a
ditekanyo	d i t> E k> a J O
ntshetsang	n tsh E ts> a N
meagong	m E a x O N
diphologolong	d i ph O l O x O l O N
diharaka	d i h a r a k> a
kikeng	k> i k> E N
nko	n k> O
leretseng	l E r E ts> E N
kaedi	k> a E d i
thutano	th u t> a n O
dipolokelong	d i p> O l O k> E l O N
dinakwana	d i n a k> w a n a
ikgogona	i kx O x O n a
boditswe	b O d i ts> w E
itlhagisetsa	i tlh a x i s E ts> a
metsamaong	m E ts> a m a O N
bakweng	b a k> w E N
rulela	r u l E l a
pegelo	p> E x E l O
laolegeng	l a O l E x E N
magadi	m a x a d i
nepagalong	n E p> a x a l O N
konotela	k> O n O t> E l a
lekalekanang	l E k> a l E k> a n a N
leokwane	l E O k> w a n E
jaanong	d0Z a n O N
itokafatsa	i t> O k> a f a ts> a
latlhaganya	l a tlh a x a J a
bapisiwa	b a p> i s i w a
kgokelo	kx O k> E l O
jaaka	d0Z a k> a
dithuanyi	d i th u a J i
atlhama	a tlh a m a
kagisanyo	k> a x i s a J O
phologa	ph O l O x a
tšhaneleng	tSh a n E l E N
imolola	i m O l O l a
tlhagolwa	tlh a x O l w a
tsenwetsenwe	ts> E n w E ts> E n w E
setefikeiti	s E t> E f i k> E i t> i
tokofatsang	t> O k> O f a ts> a N
dithotho	d i th O th O
leswabi	l E s w a b i
lekwa	l E k> w a
letshwenyo	l E tsh w E J O
ikaga	i k> a x a
tlhokomelwe	tlh O k> O m E l w E
ngwako	N w a k> O
laisololang	l a i s O l O l a N
motlatsatona	m O tl> a ts> a t> O n a
batlamedi	b a tl> a m E d i
folosiwang	f O l O s i w a N
khutshwafatso	kh u tsh w a f a ts> O
diragaditseng	d i r a x a d i ts> E N
letlwe	l E tl> w E
tulo	t> u l O
kapodiso	k> a p> O d i s O
babalesega	b a b a l E s E x a
tswalwa	ts> w a l w a
tia	t> i a
motlhapisa	m O tlh a p> i s a
kgonong	kx O n O N
noolwane	n O O l w a n E
tlhabetswe	tlh a b E ts> w E
kgololong	kx O l O l O N
rotogang	r O t> O x a N
baruanyi	b a r u a J i
ikgolagantse	i kx O l a x a n ts> E
mefago	m E f a x O
bakwang	b a k> w a N
fatsheng	f a tsh E N
tokafetse	t> O k> a f E ts> E
seritibatsi	s E r i t> i b a ts> i
phimolwe	ph i m O l w E
netefatseng	n E t> E f a ts> E N
ditsweletsong	d i ts> w E l E ts> O N
ditheko	d i th E k> O
dithato	d i th a t> O
boobedi	b O O b E d i
sentlesentle	s E n tl> E s E n tl> E
dumelesegeng	d u m E l E s E x E N
morokotsong	m O r O k> O ts> O N
bafetoleding	b a f E t> O l E d i N
tlamaganya	tl> a m a x a J a
dinaleng	d i n a l E N
bonagala	b O n a x a l a
marakanelo	m a r a k> a n E l O
itlhaganedisiwa	i tlh a x a n E d i s i w a
tlhaole	tlh a O l E
ntse	n ts> E
thoto	th O t> O
selwa	s E l w a
tlhotlheletsang	tlh O tlh E l E ts> a N
budulelang	b u d u l E l a N
gadima	x a d i m a
pagamisa	p> a x a m i s a
mpoleletse	m p> O l E l E ts> E
tshugo	tsh u x O
thanodi	th a n O d i
baka	b a k> a
sepikara	s E p> i k> a r a
tlwaelwe	tl> w a E l w E
molekanyetsi	m O l E k> a J E ts> i
nnetse	n n E ts> E
rwalelang	r w a l E l a N
betsa	b E ts> a
ditlwaelong	d i tl> w a E l O N
tiisetsa	t> i i s E ts> a
bokapi	b O k> a p> i
ditsholofetso	d i tsh O l O f E ts> O
bonakonako	b O n a k> O n a k> O
itlhopholotseng	i tlh O ph O l O ts> E N
bakgweetsi	b a kx w E E ts> i
itlameng	i tl> a m E N
mmusi	m m u s i
diragadiwang	d i r a x a d i w a N
repaboliki	r E p> a b O l i k> i
tshwarela	tsh w a r E l a
pataganngwa	p> a t> a x a n N w a
maipolelo	m a i p> O l E l O
bulele	b u l E l E
modiga	m O d i x a
nyelelang	J E l E l a N
badilwe	b a d i l w E
dithoba	d i th O b a
dibukathuto	d i b u k> a th u t> O
fitlhelelang	f i tlh E l E l a N
mantsiboa	m a n ts> i b O a
dibuka	d i b u k> a
seyalemoweng	s E j a l E m O w E N
lekgotlha	l E kx O tlh a
bakaedi	b a k> a E d i
ithwesa	i th w E s a
ditsholetsi	d i tsh O l E ts> i
sedidi	s E d i d i
dumalaneng	d u m a l a n E N
lwalelang	l w a l E l a N
tlamparelwe	tl> a m p> a r E l w E
dipaking	d i p> a k> i N
tselafefong	ts> E l a f E f O N
thikga	th i kx a
maitseboana	m a i ts> E b O a n a
thalele	th a l E l E
letliwa	l E tl> i w a
saenwang	s a E n w a N
kutlwelobotlhoko	k> u tl> w E l O b O tlh O k> O
goka	x O k> a
senyega	s E J E x a
seaforika	s E a f O r i k> a
ditokologo	d i t> O k> O l O x O
letlhareng	l E tlh a r E N
fitlhang	f i tlh a N
phophoma	ph O ph O m a
botlhokwatlhokwa	b O tlh O k> w a tlh O k> w a
ano	a n O
godisitswe	x O d i s i ts> w E
thopilweng	th O p> i l w E N
badiragatsi	b a d i r a x a ts> i
disampole	d i s a m p> O l E
nkitla	n k> i tl> a
maši	m a S i
phuruphutsong	ph u r u ph u ts> O N
laleditseng	l a l E d i ts> E N
ngapilweng	N a p> i l w E N
dumang	d u m a N
tlhomamisang	tlh O m a m i s a N
dikhurumelong	d i kh u r u m E l O N
apeile	a p> E i l E
pila	p> i l a
ntlwaetseng	n tl> w a E ts> E N
mophasalatsi	m O ph a s a l a ts> i
puisanong	p> u i s a n O N
kgakolo	kx a k> O l O
boradipolotiki	b O r a d i p> O l O t> i k> i
oketseng	O k> E ts> E N
phuagantse	ph u a x a n ts> E
tsamaya	ts> a m a j a
rekisitswe	r E k> i s i ts> w E
kanedi	k> a n E d i
belela	b E l E l a
dintlhathuto	d i n tlh a th u t> O
lerang	l E r a N
palamenteng	p> a l a m E n t> E N
seganana	s E x a n a n a
megolong	m E x O l O N
bataki	b a t> a k> i
lekitikiti	l E k> i t> i k> i t> i
tlhamatsegang	tlh a m a ts> E x a N
naane	n a n E
masigo	m a s i x O
dinepe	d i n E p> E
lefa	l E f a
agelelweng	a x E l E l w E N
tlhatlhelela	tlh a tlh E l E l a
dikgokagano	d i kx O k> a x a n O
bilione	b i l i O n E
menontshaneng	m E n O n tsh a n E N
boitlamong	b O i tl> a m O N
kgopololwa	kx O p> O l O l w a
rraago	r r a x O
ditekelelo	d i t> E k> E l E l O
nyetsweng	J E ts> w E N
maketse	m a k> E ts> E
seemo	s E E m O
ntshwanela	n tsh w a n E l a
legetla	l E x E tl> a
khokheine	kh O kh E i n E
rapitso	r a p> i ts> O
ipelafatsa	i p> E l a f a ts> a
dikabetla	d i k> a b E tl> a
dutlang	d u tl> a N
baabi	b a b i
timela	t> i m E l a
alemanakeng	a l E m a n a k> E N
latelela	l a t> E l E l a
lowa	l O w a
mediro	m E d i r O
maseka	m a s E k> a
bajanala	b a d0Z a n a l a
motlhomamisi	m O tlh O m a m i s i
metseseteropo	m E ts> E s E t> E r O p> O
atamela	a t> a m E l a
itulelang	i t> u l E l a N
moraga	m O r a x a
mmusa	m m u s a
fologelelang	f O l O x E l E l a N
ikgaola	i kx a O l a
tserwe	ts> E r w E
tlhokafale	tlh O k> a f a l E
semane	s E m a n E
rolelang	r O l E l a N
felegetsa	f E l E x E ts> a
rraabo	r r a b O
gwelwa	x w E l w a
dipeo	d i p> E O
dikgamelo	d i kx a m E l O
bahumagatsana	b a h u m a x a ts> a n a
letlelelwang	l E tl> E l E l w a N
dikgopolong	d i kx O p> O l O N
ija	i d0Z a
mogoga	m O x O x a
nyenyefatsang	J E J E f a ts> a N
tlhalefetse	tlh a l E f E ts> E
leratleng	l E r a tl> E N
ditlotla	d i tl> O tl> a
lesea	l E s E a
dingangisano	d i N a N i s a n O
mafelo	m a f E l O
kgolaganyo	kx O l a x a J O
kgathalelang	kx a th a l E l a N
bonesa	b O n E s a
polotwana	p> O l O t> w a n a
rekisiwa	r E k> i s i w a
tsiboso	ts> i b O s O
thulang	th u l a N
dinyana	d i J a n a
itshwarisa	i tsh w a r i s a
tsholofetso	tsh O l O f E ts> O
seledung	s E l E d u N
matlhatswetsong	m a tlh a ts> w E ts> O N
kgatshang	kx a tsh a N
molaodi	m O l a O d i
ribegiwa	r i b E x i w a
tlhatlhetswe	tlh a tlh E ts> w E
terateng	t> E r a t> E N
tlhomogele	tlh O m O x E l E
lobotaneng	l O b O t> a n E N
letseleng	l E ts> E l E N
agisanang	a x i s a n a N
kokoanngwa	k> O k> O a n N w a
mapaing	m a p> a i N
tlhabololong	tlh a b O l O l O N
lapile	l a p> i l E
sisimoga	s i s i m O x a
difenitšhara	d i f E n i tSh a r a
tshwantshanngwa	tsh w a n tsh a n N w a
boagisani	b O a x i s a n i
tsamaisopuso	ts> a m a i s O p> u s O
setlhotshwaneng	s E tlh O tsh w a n E N
jang	d0Z a N
tsetsepetseng	ts> E ts> E p> E ts> E N
sugwa	s u x w a
mmoneng	m m O n E N
timeletswe	t> i m E l E ts> w E
didibeng	d i d i b E N
polokelo	p> O l O k> E l O
thaya	th a j a
agelelang	a x E l E l a N
kgatlhano	kx a tlh a n O
phetlhi	ph E tlh i
sweditsweng	s w E d i ts> w E N
madiba	m a d i b a
lolea	l O l E a
gatakaka	x a t> a k> a k> a
rekegele	r E k> E x E l E
ineeletse	i n E E l E ts> E
madimabe	m a d i m a b E
twantsho	ts> w a n tsh O
digele	d i x E l E
dibolokong	d i b O l O k> O N
kopanye	k> O p> a J E
dikuku	d i k> u k> u
ikutla	i k> u tl> a
tlhologelelong	tlh O l O x E l E l O N
dikgobo	d i kx O b O
falolang	f a l O l a N
letlelelwa	l E tl> E l E l w a
batsei	b a ts> E i
diriseditsweng	d i r i s E d i ts> w E N
bopelokgale	b O p> E l O kx a l E
meletsa	m E l E ts> a
tlhontse	tlh O n ts> E
lekape	l E k> a p> E
supa	s u p> a
thamela	th a m E l a
thaetlele	th a E tl> E l E
babuisi	b a b u i s i
ratiwa	r a t> i w a
emetseng	E m E ts> E N
tlhakanetse	tlh a k> a n E ts> E
apesitsweng	a p> E s i ts> w E N
iphimole	i ph i m O l E
felelwe	f E l E l w E
meletlo	m E l E tl> O
boboko	b O b O k> O
ditekong	d i t> E k> O N
dikhoutu	d i kh O u t> u
dituelong	d i t> u E l O N
ratile	r a t> i l E
lori	l O r i
borobedi	b O r O b E d i
gatelelwa	x a t> E l E l w a
dikhomišene	d i kh O m i S E n E
itheile	i th E i l E
beneng	b E n E N
disekerete	d i s E k> E r E t> E
tsamatsamayang	ts> a m a ts> a m a j a N
neetse	n E E ts> E
motlha	m O tlh a
bogakolodi	b O x a k> O l O d i
kutlo	k> u tl> O
eleleng	E l E l E N
sejana	s E d0Z a n a
phakeletse	ph a k> E l E ts> E
adimileng	a d i m i l E N
gapilweng	x a p> i l w E N
mopotokisi	m O p> O t> O k> i s i
thulamele	th u l a m E l E
tsamayang	ts> a m a j a N
aroganyetswa	a r O x a J E ts> w a
gadikega	x a d i k> E x a
resetšhuranta	r E s E tSh u r a n t> a
dianelaphologolo	d i a n E l a ph O l O x O l O
kgorogo	kx O r O x O
phela	ph E l a
metswedithusong	m E ts> w E d i th u s O N
tshikinya	tsh i k> i J a
motsamaising	m O ts> a m a i s i N
fetele	f E t> E l E
tlhamega	tlh a m E x a
natefisa	n a t> E f i s a
tharabololo	th a r a b O l O l O
moswang	m O s w a N
pegilwe	p> E x i l w E
kgatlhegelweng	kx a tlh E x E l w E N
bopape	b O p> a p> E
gasetsa	x a s E ts> a
otsela	O ts> E l a
baswi	b a s w i
mookodi	m O O k> O d i
disireletsi	d i s i r E l E ts> i
bogone	b O x O n E
seitshwarelelo	s E i tsh w a r E l E l O
tshwentseng	tsh w E n ts> E N
thanolo	th a n O l O
bonokwane	b O n O k> w a n E
diperekisi	d i p> E r E k> i s i
megare	m E x a r E
fitlhole	f i tlh O l E
matshwaro	m a tsh w a r O
utlwelela	u tl> w E l E l a
golaganya	x O l a x a J a
tlhale	tlh a l E
baesekopo	b a E s E k> O p> O
abelanang	a b E l a n a N
matamo	m a t> a m O
metlhatlogong	m E tlh a tl> O x O N
setlhogo	s E tlh O x O
ditlamelong	d i tl> a m E l O N
bedisitsweng	b E d i s i ts> w E N
kgotlelwa	kx O tl> E l w a
saji	s a d0Z i
akga	a kx a
katlaatleloloago	k> a tl> a tl> E l O l O a x O
segolo	s E x O l O
sekametse	s E k> a m E ts> E
mantshonyana	m a n tsh O J a n a
lekgotlana	l E kx O tl> a n a
phaletšhe	ph a l E tSh E
matsatsing	m a ts> a ts> i N
tlhaeletsane	tlh a E l E ts> a n E
basekisi	b a s E k> i s i
ikgatlha	i kx a tlh a
tsweletse	ts> w E l E ts> E
moreketoro	m O r E k> E t> O r O
robang	r O b a N
disakarete	d i s a k> a r E t> E
iphina	i ph i n a
tlhaloganye	tlh a l O x a J E
dithoto	d i th O t> O
atolosiwa	a t> O l O s i w a
gagamalang	x a x a m a l a N
leelefatsa	l E E l E f a ts> a
boikgogomoso	b O i kx O x O m O s O
gololosega	x O l O l O s E x a
tsamaisano	ts> a m a i s a n O
bapalang	b a p> a l a N
tuelelo	t> u E l E l O
malatsi	m a l a ts> i
dikgaba	d i kx a b a
abelwang	a b E l w a N
hiriwang	h i r i w a N
siling	s i l i N
tshwaetsega	tsh w a E ts> E x a
lekile	l E k> i l E
tlogelele	tl> O x E l E l E
motlhotlhomisi	m O tlh O tlh O m i s i
bosupi	b O s u p> i
tlhwekile	tlh w E k> i l E
mmamodise	m m a m O d i s E
tshilo	tsh i l O
setshwari	s E tsh w a r i
tlhagiswa	tlh a x i s w a
tshwenyegileng	tsh w E J E x i l E N
kopanngwang	k> O p> a n N w a N
ditumelonyana	d i t> u m E l O J a n a
rwaletse	r w a l E ts> E
mojo	m O d0Z O
dipalopalo	d i p> a l O p> a l O
mmenejara	m m E n E d0Z a r a
bobopi	b O b O p> i
tshekelo	tsh E k> E l O
bofelelwa	b O f E l E l w a
tatelano	t> a t> E l a n O
temothuong	t> E m O th u O N
thekeletso	th E k> E l E ts> O
golo	x O l O
tlhaba	tlh a b a
moruo	m O r u O
iphile	i ph i l E
tlotlegile	tl> O tl> E x i l E
diphalane	d i ph a l a n E
tebegong	t> E b E x O N
lebone	l E b O n E
mosito	m O s i t> O
kopaneng	k> O p> a n E N
dikgakologelo	d i kx a k> O l O x E l O
ubuga	u b u x a
sireletsege	s i r E l E ts> E x E
mokgoro	m O kx O r O
tsepamisiwe	ts> E p> a m i s i w E
magatwe	m a x a t> w E
biditsweng	b i d i ts> w E N
bolaye	b O l a j E
golelang	x O l E l a N
bathuti	b a th u t> i
mogobe	m O x O b E
netefaleditse	n E t> E f a l E d i ts> E
pereko	p> E r E k> O
yosi	j O s i
mebu	m E b u
fokoditseng	f O k> O d i ts> E N
khiriso	kh i r i s O
gadimile	x a d i m i l E
baeteledipeleng	b a E t> E l E d i p> E l E N
barutisi	b a r u t> i s i
mesego	m E s E x O
laoleng	l a O l E N
bolokesege	b O l O k> E s E x E
barerisani	b a r E r i s a n i
kakaretsong	k> a k> a r E ts> O N
itetlang	i t> E tl> a N
dilalome	d i l a l O m E
sulafaletswe	s u l a f a l E ts> w E
bolekanyetsing	b O l E k> a J E ts> i N
segole	s E x O l E
jewe	d0Z E w E
ngotla	N O tl> a
tetla	t> E tl> a
bontshong	b O n tsh O N
gokagane	x O k> a x a n E
metlotlo	m E tl> O tl> O
tlhamiwang	tlh a m i w a N
nnang	n n a N
botšhotšhisi	b O tSh O tSh i s i
apara	a p> a r a
fetisediwe	f E t> i s E d i w E
lobelo	l O b E l O
sutisiwa	s u t> i s i w a
pelong	p> E l O N
dipapiso	d i p> a p> i s O
menamo	m E n a m O
mephato	m E ph a t> O
thelelo	th E l E l O
dikgetsana	d i kx E ts> a n a
thelela	th E l E l a
babeeletsi	b a b E E l E ts> i
kgwelo	kx w E l O
agwa	a x w a
mararanyana	m a r a r a J a n a
mokgweetsi	m O kx w E E ts> i
atlege	a tl> E x E
falotsweng	f a l O ts> w E N
lotlhaka	l O tlh a k> a
dikaeding	d i k> a E d i N
dithadiso	d i th a d i s O
tlhagisiwe	tlh a x i s i w E
dinta	d i n t> a
makala	m a k> a l a
ditlhakwana	d i tlh a k> w a n a
ditlhatshana	d i tlh a tsh a n a
ikwadiso	i k> w a d i s O
dumeletse	d u m E l E ts> E
petso	p> E ts> O
masakeng	m a s a k> E N
boopa	b O O p> a
maswana	m a s w a n a
sekasekeng	s E k> a s E k> E N
namune	n a m u n E
thusitseng	th u s i ts> E N
lemosege	l E m O s E x E
tlhaloganyo	tlh a l O x a J O
botlhami	b O tlh a m i
makhubu	m a kh u b u
kgweleng	kx w E l E N
tlhoboge	tlh O b O x E
tsamaisana	ts> a m a i s a n a
kepo	k> E p> O
tlhagela	tlh a x E l a
rraetsho	r r a E tsh O
ditswalo	d i ts> w a l O
tshwanelong	tsh w a n E l O N
khuduthamageng	kh u d u th a m a x E N
