&	and
IT	Integrated Technology
ITA	International Trade Administration
ITA	International Trade Administration Act
ITAC	International Trade Administration Commission
ITAC	International Trade Administration Commission of South Africa
ITAC	International Trade Administration of South Africa
ITAC	International Trade and Administration Commission
ITC	Information Technology Communication
ITU	Inter Telecommunications Union
ITU	International Telecommunications Union
IUSS	Infrastructure Unit Support Systems
IV	Four
IX	Nine
IYDS	Integrated Youth Development Strategy
IYP	Intando ye Sizwe Party
Icasa	Independent Communications Authority of South Africa
Infraco	Infrastructure Company
Interfront	International Frontier Technologies
JCC	Joint Cooperation Council
JCPS	Justice Crime Prevention and Security
JCPS	Justice and Crime Prevention Strategy
JDAS	Justice Deposit Account System
JDAS	Justice Deposit Accounting System
JICS	Judicial Inspectorate for Correctional Services
JMIS	Joint Management Information System
JOC	Joint Operation Centre
JOSHCO	Johannesburg Housing Company
JRC	Joint Rules Committee
JSCD	Joint Standing Committee on Defence
JTM	Joint Tagging Mechanism
KAM	Key Account Management
KCC	Karoo Core Centre
KEMSA	Kenya Medical Supplies Agency
KM	Knowledge Management
KNP	Kruger National Park
KOBWA	Komati Basin Water Authority
KOBWA	Komati River Basin Water Authority
KPA	Key Performance Area
KPAs	Key Performance Areas
KPI	Key Performance Indicator
KPIs	Key Performance Indicators
KWSAP	Komati Water Scheme Augmentation Project
KZN	KwaZulu Natal
LA-ICP-MS	Laser Ablation Inductively Coupled Plasma Mass Spectrometer
LAN	Local Area Network
LARP	Land and Agrarian Reform Project
LASS	Lowveld Airspace Control Sector
LC	Labour Centre
LCOE	Levelised Cost of Electricity
LDAC	Local Drug Action Committee
LDACs	Local Drug Action Committees
LDCs	Least Developed Countries
LDP	Leadership Development Programme
LDPW	Limpopo Department of Public Works
LED	Limpopo Education Department
LED	Local Economic Development
LEDET	Limpopo Economic Development and Tourism Department
LEDs	Local Economic Development Plans
LEGDP	Limpopo Employment Growth and Development Plan
LES	Local Equitable Share
LGES	Local Government Equitable Share
LGISSG	Local Government Institutional and Systems Support Grant
LGSETA	Local Government Sector Education and Training Authority
LHWP	Lesotho Highlands Water Project
LIBSA	Limpopo Business Support Agency
LIRP	Logistic Intervention and Repositioning Programme
LNW	Lepelle Northern Water
LPOE	Land Ports of Entry
LRA	Labour Relations Act
LRAD	Land Redistribution for Agricultural Development
LRAD	Land Reform for Agricultural Development
LRB	Late Registration of Birth
LRB	Late Registration of Births
LRBs	Late Registration of Births
LSM	Living Standard Measure
LSN	Learners with Special Needs
LSSA	Law Society of South Africa
LTA	Lesotho Telecommunications Authority
LTMS	Long Term Mitigation Scenarios
LTSM	Learner Teacher Support Material
LTSM	Learning and Teaching Support Material
LTSM	Learning and Teaching Support Materials
LTTS	Long Term Turnaround Strategy
LUMB	Land Use Management Bill
Lamosa	Land Access Movement of South Africa
M&E	Monitoring and Evaluation
M&R	Murray and Roberts
MAB	Military Arbitration Board
MACC	Minimum Age of Criminal Capacity
MAFISA	Micro Agricultural Financial Institutions of South Africa
MARPOL	Marine Pollution from Ships
MBBP	Metsi Bophelo Borehold Project
MBC	Military Bargaining Council
MBOP	Medical Bureau for Occupational Diseases
MBWA	Management by Walking Around
MCM	Marine and Coastal Management
MCS	Movement Control System
MCWAP	Mokolo Crocodile Water Augmentation Project
MCWAP1	Mokolo-Crocodile River Water Augmentation Project Phase One
MD	Managing Director
MDDA	Media Development and Diversity Agency
MDG	Millennium Development Goal
MDG	Millennium Development Goals
MDGs	Millennium Development Goals
MDI	Mortgage Default Insurance
MDP	Management Development Programme
MEA	Multilateral Environmental Agreement
MEA's	Multilateral Environmental Agreements
MEC	Member of the Executive Committee
MEC	Member of the Executive Council
MECs	Members of Executive Councils
MECs	Members of the Executive Councils
MED	Monitoring and Evaluation Directorate
MEDUNSA	Medical University of Southern Africa
MENA	Middle East North Africa
MENA	Middle East and North Africa
MERSETA	Manufacturing and Related Services Sector Education and Training Authority
MF	Minority Front
MFI	Micro Finance Institution
MFIs	Micro Finance Institutions
MFMA	Municipal Finance Management Act
MFN	Most Favoured Nations
MHA	Municipal Housing Association
MHSA	Mine Health Safety Act
MHSA	Mine Health and Safety Act
MHSC	Mine Health and Safety Council
MIG	Municipal Infrastructure Grant
MIGDETT	Mining Industry Growth Development and Employment Task Team
MINMEC	Minister and Members of the Executive Council
MINSA	Mthatha Independent Schools Association
MIP	Manufacturing Investments Programmes
MIS	Management Information System
MISA	Municipal Infrastructure Support Agency
MISTRA	Mapungubwe Institute for Strategic Reflection
MITT	Ministerial Intervention Task Team
MK	Mkhonto we Sizwe
ML/d	Mega litres per day
MLI	Medupi Leadership Initiative
MLM	Madibeng Local Municipality
MLM	Makhado Local Municipality
MLM	Mbombela local Municipality
MLRA	Marine Living Resources Act
MLRF	Marine Living Resource Fund
MLRF	Marine Living Resources Fund
MLTSF	Medium to Long Term Strategic Framework
MM	Municipal Manager
MMC	Member of the Mayoral Council
MMLP	Management Learning Programme
MMTS2	Mooi-Mgeni Transfer Scheme Phase Two
MOD	Minister of Defence
MOU	Memorandum of Understanding
MOUs	Memoranda of Understanding
MP	Member of Parliament
MPA	Marine Protected Area
MPAC	Municipal Public Accounts
MPAC	Municipal Public Accounts Committee
MPACs	Municipal Public Accounts Committees
MPAT	Management Performance Assessment Tool
MPAs	Marine Protected Areas
MPHTL	Mpumalanga Provincial House of Traditional Leaders
MPL	Member of the Provincial Legislature
MPLs	Members of Parliament in the Legislature
MPLs	Members of the Provincial Legislature
MPO	Milk Producers Organisation
MPRDA	Mineral Petroleum Resources Development Act
MPRDA	Mineral and Petroleum Resources Development Act
MPRDAA	Minerals and Petroleum Resources Development Amendment Act
MPS	Metropolitan Police Services
MQA	Mine Qualifications Authority
MQA	Mining Qualifications Authority
MRC	Medical Research Council
MSA	Municipal Systems Act
MSDS	Military Skills Development System
MSIG	Municipal Systems Improvement Grant
MSIG	Municipal Systems Infrastructure Grant
MSP	Master Systems Plan
MTBF	Medium Term Budget Framework
MTBPS	Medium Term Budget Policy Statement
MTEF	Medium Term Expenditure Framework
MTO	Mountain to Ocean
MTP	Medium Term Plan
MTRMP	Medium Term Risk Mitigation Plan
MTSF	Medium Term Strategic Framework
MTT	Ministerial Task Team
MVA	Megavolt ampere
MW	Megawatt
MW	Megawatts
MWIG	Municipal Water Infrastructure Grant
MYPP	Masupa Tsela Youth Pioneer Programme
Mafisa	Micro agricultural Financial Institutions of South Africa
MoLM	Molemole Local Municipality
MoU	Memorandum of Understanding
MoUs	Memoranda of Understanding
MoUs	Memorandums of Understanding
Mr	Mister
Mrs	misses
N2GP	En Two Gateway Project
NA	National Assembly
NAADS	National Agricultural Advisory System
NAASP	New Asian African Strategic Partnership
NABSSA	National Association of Burial Societies of South Africa
NAC	National Arts Council
NACF	National Anti Corruption Forum
NACI	National Advisory Council on Innovation
NACYCW	National Association of Child and Youth Care Workers
NAD	Norwegian Association of Disabled
NAFU	National African Farmers Union
NAM	New Africa Mining Company
NAM	New African Mining
NAMB	National Artisan Moderating Body
NAMB	National Artisans Moderation Body
NAMC	National Agricultural Marketing Council
NAPTOSA	National Professional Teachers Organisation of South Africa
NAPTOSA	National and Professional Teachers of South Africa
NARYSEC	National Rural Youth Service Corps
NASCA	National Senior Certificate for Adults
NASFAS	National Student Financial Aid Scheme
NATMAP	National Transport Master Plan
NATT	National Audit Task Team
NATU	National Teachers Union
NAYRSEC	National Youth Rural Services Corps
NBF	National Biodiversity Framework
NBT	National Benchmark Test
NBTs	National Benchmark Tests
NC	Northern Cape
NCACC	National Conventional Arms Control Committee
NCCS	National Council for Correctional Services
NCD	Non Communicable Disease
NCDOE	Northern Cape Department of Education
NCDs	Non Communicable Diseases
NCLIS	National Council for Library and Information Services
NCOP	National Council of Provinces
NCR	National Credit Regulator
NCRF	National Community Radio Forum
NCS	National Core Standards
NCS	National Curriculum Statement
NCSMT	National Coordination Strategic Management Team
NCSMT	National Coordination and Strategic Management
NCV	National Certificate Vocational
NCV	National Certificates Vocational
NDA	National Development Agency
NDC	New Diamond Corporation
NDFT	Namaqua Diamond Fund Trust
NDMP	National Drug Master Plan
NDOH	National Department of Health
NDP	National Development Plan
NDPG	Neighbourhood Development Partnership Grant
NDPP	National Director of Public Prosecutions
NDPW	National Department of Public Works
NDoH	National Department of Housing
NECSA	Nuclear Energy Corporation of South Africa
NEDLAC	National Economic Development Labour Advisory Council
NEDLAC	National Economic Development and Labour Advisory Council
NEDLAC	National Economic Development and Labour Council
NEEDU	National Education Evaluation and Development Unit
NEF	National Economic Forum
NEF	National Empowerment Fund
NEHAWU	National Education and Health Allied Workers Union
NEIMS	National Education Infrastructure Management System
NELDS	National Early Learning and Development Standards
NEMA	National Environmental Management Act
NEMLA	National Environmental Management Laws First and Second Amendment
NEPAD	New Partnership for Africa's Development
NEPAD	New Partnership for African Development
NER	National Electricity Regulator
NERSA	National Energy Regulator of South Africa
NESS	National Extension Support Services
NFTN	National Foundry Technology Network
NGO	Non Governmental Organization
NGOs	Non Governmental Organizations
NGP	National Growth Path
NGP	National Growth Plan
NGP	New Growth Path
NHBRC	National Home Builders Registration Council
NHBRC	National Housing Builders Registration Council
NHFC	National Housing Finance Corporation
NHI	National Health Insurance
NHLS	National Health Laboratory Service
NHLS	National Health Laboratory Services
NHTL	National House of Traditional Leaders
NIA	National Intelligence Agency
NIA	National Interest Analysis
NICD	National Institute for Communicable Disease
NICPD	National Institute for Curriculum and Professional Development
NICRO	National Institute for Crime Prevention and Reintegration of Offenders
NICs	Nanotechnology Innovation Centres
NIHE	National Institute for Higher Education
NIHE	National Institutes for Higher Education
NIHL	Noise Induced Hearing Loss
NIMART	Nurse Initiated Management Antiretroviral Therapy
NIMES	National Integrated Monitoring and Evaluation System
NIP	National Infrastructure Plan
NIPMO	National Intellectual Property Management Office
NIPP	National Industrial Participation Programme
NIPRO	National Intellectual Property Rights Office
NISIS	National Integrated Social Information System
NKPA	National Key Point Act
NLDTF	National Lotteries Distribution Trust Fund
NLM	Nkomazi Local Municipality
NLTA	National Land Transport Act
NMB	Nelson Mandela Bay
NMBM	Nelson Mandela Bay Municipality
NMC	National Manpower Commission
NMET-WG	National Monitoring and Evaluation Technical Working Group
NMMU	Nelson Mandela Metropolitan University
NMOS	National Macro Organisation of the State
NMPP	National Multi Products Pipeline
NMT	Non Motorised Transport
NNR	National Nuclear Regulator
NNSSF	Norms and Standards for School Funding
NOC	National Oil Company
NP	National Party
NPA	National Ports Authority
NPA	National Prosecuting Authority
NPA	National Prosecution Authority
NPA	National Prosecutions Authority
NPAC	National Plan of Action for Children
NPC	National Planning Commission
NPCC	National Ports Consultative Committee
NPDE	National Professional Diploma in Education
NPM	National Preventative Mechanism
NPO	Non Profit Organisation
NPO	Non Profit Organisations
NPOs	Not For Profit Organisations
NPR	National Population Register
NQF	National Qualification Framework
NQF	National Qualifications Framework
NRCS	National Regulator for Compulsory Specifications
NRDS	National Research and Development Strategy
NRF	National Research Foundation
NRF	National Research Fund
NRF	National Revenue Fund
NRPL	National Recognition of Prior Learning
NRS	National Recordal System
NSA	National Skills Authority
NSC	National Senior Certificate
NSC	National Senior Certification
NSDS	National Skills Development Strategy
NSF	National Skills Fund
NSFAS	National Student Financial Aid Scheme
NSI	National System of Innovation
NSLA	National Strategy for Learner Attainment
NSNP	National School Nutrition Programme
NSNP	National Schools Nutrition Programme
NSRO	National Register for Sexual Offenders
NSRP	National Sport and Recreation Plan
NST	Natural Sciences and Technology
NT	National Treasury
NTEU	National Tertiary Education Union
NTSS	National Tourism Sector Strategy
NTeMBI	Nuclear Technologies in Medicine and the Bioscience Initiative
NUM	National Union and Mineworkers
NUM	National Union of Mineworkers
NUMSA	National Union of Metalworkers of South Africa
NUMSA	National Union of Mineworkers of South Africa
NVC	New Venture Creation
NVC	New Venture Creations
NWBN	National Wireless Broadband Network
NWHC	North West Housing Cooperation
NWHC	North West Housing Corporation
NWRS2	National Water Resource Strategy Two
NWU	North West University
NYC	National Youth Commission
NYDA	National Youth Development Agency
NYS	National Youth Service
Naacam	National Association of Automobile Component and Allied Manufacturers
Naamsa	National Association of Automobile Manufacturers of South Africa National
Nato	North Atlantic Treaty Organisation
Nedlac	National Economic Development and Labour Council
Nepad	New Partnership for Africa's Development
Nersa	National Regulator Energy of South Africa
O&M	Operating and Maintenance
OAG	Old Age Grant
OAS	Organisation of American States
OB	Outside Broadcast
OBE	Outcomes Based Education
OBP	Onderstepoort Biological Products
OBT	Output Budgeting Tool
OCGT	Open Cycle Gas Turbines
OCIO	Office of the Chief Information Officer
OCJ	Office of Chief Justice
OCJ	Office of the Chief Justice
ODA	Official Development Assistance
ODC	Owners Development Cost
ODIHR	Office for Democratic Institutions and Human Rights
OECD	Organisation for Economic Commonwealth Development
OECD	Organisation for Economic Cooperation and Development
OECD	of Economic Cooperation and Development
OEM	Original Equipment Manufacturer
OEMs	Original Equipment Manufacturers
OFSP	Orange-Fleshed Sweet Potato
OHS	Occupational Health and Safety
OHSA	Occupational Health and Safety Act
OHSC	Office for Health Standards Compliance
OISD	Office on Institutions Supporting Democracy
OLB	Operation Licensing Boards
OME	Outcomes Monitoring and Evaluation
OOP	Out of Pocket
OPCAT	Optional Protocol to the Convention Against Torture
OPD	Outpatient Department
OPD	Outpatients Department
OPM	Office of the Prime Minister
OPP	Office of the Public Protector
OPT	Occupied Palestinian Territories
ORC	Office on the Rights of the Child
ORP	Offender Rehabilitation Path
ORTIA	OH ARE Tambo International Airport
ORWRDP2	Olifants River Water Resource Development Project Phase Two
OSCE	Organization for Security and Cooperation in Europe
OSD	Occupation Specific Dispensation
OSD	Occupational Specific Dispensation
OSD	Organisation Specific Dispensation
OSDP	Office on the Status of Disabled Persons
OSDs	Occupational Specific Dispensations
OSIS	Operating Support Information System
OSIS	Operational Support Information System
OSW	Office on the Status of Women
OTTs	Offices of Technology Transfer
OVC	Orphans and Vulnerable Children
OVI	Onderstepoort Veterinary Institute
OVRI	Onderstepoort Veterinary Research Institute
P5	Permanent Five
PA	Partnership Agreement
PA	Performance Agreement
PAA	Provincial Annual Assessment
PAA	Public Audit Act
PAC	Pan Africanist Congress
PACs	Public Accounts Committees
PAEIC	Provincial Assessment and Examination Irregularity Committee
PAIA	Promotion of Access to Information Act
PAJA	Promotion of Administrative Justice Act
PALAMA	Public Administration Leadership and Management Academy
PAMSA	Paper Manufacturers Association of South Africa
PANSALB	Pan South African Language Board
PAP	Pan African Parliament
PAS	Performance Appraisal System
PASA	Petroleum Agency South Africa
PASA	Petroleum Agency of South Africa
PAT	Practical Assessment Task
PATU	Pan African Telecommunications Union
PATs	Practical Assessment Tasks
PAWO	Pan African Women's Organisation
PAYC	Pan African Youth Council
PAYE	Pay As You Earn
PAs	Performance Agreements
PBC	People's Budget Coalition
PBL	Problem Based Learning
PBMR	Pebble Bed Modular Reactor
PBO	Parliamentary Budget Office
PBS	Public Broadcast Services
PBS	Public Broadcasting Service
PCODMV	Portfolio Committee on Defence and Military Veterans
PCRD	Post Conflict Reconstruction and Development
PCS	Public Commercial Services
PDA	Payment Distribution Agent
PDA	Planning and Development Act
PDE	Patient Day Equivalent
PDE	Provincial Department of Education
PDE	Provincial Departments of Education
PDIs	Previously Disadvantaged Individuals
PDO	Predetermined Objectives
PDOH	Provincial Department of Health
PDRPW	Provincial Department of Roads and Public Works
PE	Physical Education
PE	Port Elizabeth
PEAP	Poverty and Employment Action Plan
PED	Provincial Education Department
PEDs	Provincial Education Departments
PELRC	Provincial Education Labour Relations Council
PER	Public Expenditure Review
PERs	Public Expenditure Reviews
PES	Provincial Equitable Share
PES	Public Employment Services
PET	Positron Emission Tomography
PETS	Public Expenditure Tracking Surveys
PETS	Public Expenditure Tracking System
PEU	Professional Educators' Union
PFA	Pension Fund Adjudicator
PFA	Policy on Financial Awards
PFM	Public Financial Management
PFMA	Public Finance Management Act
PFMA	Public Funds Management Act
PGDS	Provincial Growth and Development Strategies
PGDS	Provincial Growth and Development Strategy
PGDSs	Provincial Growth and Development Strategies
PGE	Pele Green Energy
PGIR	Parliamentary Group on International Relations
PGM	Platinum Group Metal
PGWC-Health	Provincial Government of the Western Cape Health
PHC	Primary Health Care
PHC	Primary Health Care Services
PHC	Primary Healthcare
PHP	People's Housing Process
PHRA	Provincial Heritage Resources Authority
PHSDSBC	Public Health and Social Development Sector Bargaining Council
PIC	Personal Income Tax
PIC	Public Investment Corporation
PICC	Presidential Infrastructure Coordinating Commission
PICC	Presidential Infrastructure Coordinating Committee
PICC	Presidential Infrastructure Coordination Commission
PICI	Presidential Infrastructure Championing Initiative
PIDA	Programme for Infrastructure Development in Africa
PIDA	programme for infrastructure development in Africa
PIE	Prevention of Illegal Eviction
PIESA	Power Institute for East and Southern Africa
PIMS	Performance Information Management System
PIT	Personal Income Tax
PIT	Public Internet Terminal
PITs	Public Internet Terminals
PLA	Project Labour Agreement
PLAS	Proactive Land Acquisition Strategy
PLM	Phalaborwa Local Municipality
PLO	Palestinian Liberation Organisation
PLO	Parliamentary Liaison Officer
PM&E	Performance Monitoring and Evaluation
PMDS	Performance Management Development System
PMDS	Performance Management and Development System
PME	Prime Mission Equipment
PMG	Parliamentary Monitoring Group
PMIS	Prime Minister's Integrated Management Information System
PMO	Programme Management Office
PMO	Project Management Office
PMP	Parliamentary Millennium Project
PMP	Pretoria Metal Pressing
PMP	Pretoria Metal Pressings
PMPP	Principals Management Development Programme
PMS	Performance Management System
PMS	Performance Measured Systems
PMTCT	Prevention of Mother to Child Transmission
PMU	Programme Management Unit
PMU	Project Management Unit
POA	Parliamentary Oversight Authority
POA	Programme of Action
POCA	Prevention of Organised Crimes Act
POD	Proof of Delivery
POE	Portfolio of Evidence
POHAMBA	President of the Republic of Namibia
POPCRU	Police and Prisons Civil Rights Union
POPs	Points of Presence
POWA	People Opposing Women Abuse
PPA	Petroleum Products Act
PPA's	Power Purchase Agreements
PPAA	Petroleum Products Amendment Act
PPC	Provincial Portfolio Committee
PPMS	Programme and Project Management System
PPMS	Properties Measurement System
PPP	Private Partnership
PPP	Private Partnerships
PPP	Public Private Partnership
PPP's	Public Private Partnerships
PPPs	Private Partnerships
PPPs	Private-Public Partnerships
PPPs	Public Partnerships
PQM	Programme Qualification Mix
PRASA	Passenger Rail Agency of South Africa
PRAU	Policy Research and Analysis Unit
PRI	Penal Reform International
PRSP	Poverty Reduction Strategy Paper
PRT	Professional Resource Teams
PSA	Public Service Association
PSAF	Provincial Substance Abuse Forum
PSAF	Provincial Substance Abuse Forums
PSC	Provincial Steering Committee
PSC	Public Service Commission
PSCBC	Public Service Coordinating Bargaining Council
PSDFs	Provincial Skills Development Forums
PSE	Post School Education
PSERP	PeopleSoft Enterprise Resource Planning
PSET	Post School Education
PSET	Post School Education and Training
PSETA	Public Service Sector Education Training Authority
PSG	Patient Safety Group
PSIRA	Private Security Industry Regulatory Agency
PSIRA	Private Security Industry Regulatory Authority
PSJV	Pooling and Sharing Joint Venture
PSO	Public Sector Oversight
PSP	Parliamentary Support Project
PSP	Private Sector Participation
PSPPD	Programme to Support Pro poor Policy Development
PSU	Project Support Unit
PTC	Pharmaceutics and Therapeutics Committee
PTIG	Public Transport Infrastructure Grant
PTIS	Public Transport Infrastructure Systems
PTRMs	Part Time Regulator Members
PV	Photovoltaic
PWC	Price Waterhouse Coopers
PWHT	Post Weld Heat Treatment
PanSALB	Pan South African Language Board
Pansalb	Pan-South Africa Language Board
Pansalb	Pan-South African Language Board
PetroSA	Petroleum Oil and Gas Corporation
PoP	Points of Presence
Pty	Property
PwC	Price Waterhouse Coopers
QCAC	Quality Control Assessment Committee
QCTO	Quality Council for Trade and Occupation
QCTO	Quality Council for Trades and Occupations
QCTO	Quality Council on Trades and Occupation
QCTO	Quality Council on Trades and Occupations
QCs	Quality Councils
QLTC	Quality Learning and Teaching Campaign
QLTC	Quality and Teaching Campaign
QSEs	Qualifying Small Enterprises
R&D	Research and Development
R&D	research and development
RABS	Road Accident Benefit Scheme
RADP	Recapitalization and Development Programme
RAF	Road Accident Fund
RAMP	Rehabilitation and Maintenance Programme
RAMP	Repair and Maintenance Programme
RAMP	Restoration and Maintenance Project
RAMS	Road Asset Management Systems
RAPCAN	Resources Aimed at the Prevention of Child Abuse and Neglect
RAS	Recirculation Aquaculture System
RBCT	Richards Bay Coal Terminal
RBF	Radio Broadcast Facilities
RBIG	Regional Bulk Infrastructure Grant
RBIG	Regional Bulk Infrastructure Programme
RDP	Reconstruction and Development Programme
REA	Regulatory Agencies
REACH	Rural Education Awareness and Community Health
REAM	Real Estate Asset Managers
REAs	Rural Electrification Agencies
REC	Regional Economic Community
RECs	Regional Economic Communities
REDs	Regional Electricity Distributors
REIPPP	Renewable Energy Independent Power Producer Procurement Programme
REIPPPP	Renewable Energy Independent Power Producers Procurement Programme
REMT	Renewable Energy Market Transformation
REP	Resource Establishment Plan
RERA	Regulatory Association of Southern Africa
RETIF	Renewable Energy Feed In Tariffs
RFI	Radio Frequency Interference
RFIs	Retail Financial Institutions
RFIs	Retail Financial Intermediaries
RFP	Request for Proposal
RFP	Request for Proposals
RGA	Registered Government Auditors
RHIG	Rural Household Infrastructure Grant
RHIG	Rural Households Infrastructure Grant
RHIG	Rural Housing Infrastructure Grant
RHIP	Rural Household Infrastructure Programme
RHLF	Rural Home Loan Fund
RIAs	Regulatory Impact Assessments
RICAD	Regional Initiative for Capacity Development
RID	Rural Infrastructure Development
RIM	Research Institute Manager
RISDP	Regional Indicative Strategic Development Plan
RLCC	Regional Land Claims Commissioner
RLCCs	Regional Land Claims Commissioners
RMC	Richtersveld Mining Company
RML	Risk Management Learnership
ROA	Return On Assets
ROD	Record of Decision
RP	Report
RPL	Recognition of Prior Learning
RPMS	Regulatory Performance Measurement System
RRC	Revenue Raising Component
RROs	Refugee Reception Offices
RRU	Rapid Response Unit
RTC	Regional Training Centre
RTG	Rubber Tyre Gantry
RTIA	Road Traffic Infringement Agency
RTMC	Road Traffic Management Corporation
RTWST	Roodeplaat Temba Water Services Trust
RWST	Rustenburg Water Services Trust
Remco	Remuneration Committee
S&T	Science and Technology
SA	South Africa
SA	South African
SAA	South African Airways
SAAE	South African Academy of Engineering
SAAF	South African Air Force
SAAO	South African Astronomical Observatory
SAAPA	South African Agricultural Processors Association
SAARF	South African Advertising Research Foundation
SAARF	South African Advertising and Research Foundation
SAAT	South African Airways Technical
SAB	South African Breweries
SABC	South African Broadcasting Corporation
SABS	South African Bureau of Standards
SACAA	South African Civil Aviation Authority
SACBC	Southern African Catholic Bishops' Conference
SACCI	South African Chamber of Commerce and Industries
SACCOs	Savings and Credit Cooperatives
SACE	South African Council for Educators
SACOIR	South African Council on International Relations
SACP	South African Communist Party
SACPCMP	South African Council for the Project and Construction Management Professions
SACU	South African Customs Union
SACU	Southern African Customs Union
SADC	Southern African Development Community
SADC	sadeck
SADCC	Southern African Development Coordination Conference
SADESMO	South African Democratic Students Movement
SADF	South African Defence Force
SADPA	South African Development Partnership Agency
SADPMR	South African Diamond and Precious Metal Regulator
SADPMR	South African Diamond and Precious Metals Regulator
SADTU	South African Democratic Teachers Union
SAFCEI	South African Faith Community Environment Initiative
SAFCOL	South African Forestry Company Ltd
SAFM	South African Farm Management
SAHRA	South African Heritage Resource Agency
SAHRA	South African Heritage Resources Agency
SAHRC	South African Human Rights Commission
SAI	Supreme Audit Institution
SAICA	South African Institute for Chartered Accountants
SAICA	South African Institute of Chartered Accountants
SAIDS	South African Institute for Drug Free Sport
SAIEG	South African Institute of Engineering Geologists
SAIGA	South African Institute of Government Auditors
SAIVCET	South African Institute for Vocational Education and Training
SAIVCET	South African Institute for Vocational and Continuing Education and Training
SAIs	Supreme Audit Institutions
SALGA	South African Local Government Association
SALGA	South African Local Government Associations
SALT	Southern African Large Telescope
SAMAF	South African Micro Apex Finance
SAMAF	South African Micro Finance Apex Fund
SAMCODES	South African Mining Codes
SAMHS	South African Military Health Services
SAMRAD	South African Mineral Resources Administration
SAMRO	Southern Africa Music Rights Organisation
SAMS	School Administration and Management System
SAMSA	South African Maritime Safety Authority
SAN	South African Navy
SANAS	South African National Accreditation Society
SANBI	South African Biodiversity Institute
SANBI	South African National Biodiversity Institute
SANBS	South African National Blood Services
SANCO	South African National Civic Organisation
SANDF	Defence Force
SANDF	National Defence Force
SANDF	South African Defence Force
SANDF	South African National Defence Force
SANEC	South African Netherlands Chamber of Commerce
SANEDI	South African National Energy Development Institute
SANMVA	South African National Military Veterans Association
SANPARKS	South African National Parks
SANParks	South African National Parks
SANRAL	South African National Roads Agency Limited
SANReN	South African National Research Network
SANSA	South African National Space Agency
SANSN	South African National Seismograph Network
SANWIT	South African National Women in Transport
SAOBC	South African Ostrich Business Chamber
SAOGA	SA Oil and Gas Association
SAPA	South African Principals Association
SAPIA	South Africa Petroleum Industry Association
SAPO	South African Post Office
SAPS	Police
SAPS	Police Service
SAPS	South African Police Service
SAPS	South African Police Services
SAPTU	South African Parastatals and Tertiary Institutions Union
SAPU	South African Police Union
SAQA	South African Qualification Authority
SAQA	South African Qualifications Authority
SARAS	South African Radio Astronomy Standards
SARB	South African Reserve Bank
SARCC	South African Rail Commuter Corporation
SARChI	South African Research Chairs Initiative
SARPCCO	Southern African Region Police Chiefs Co-operation Organisation
SARS	South African Receiver of Revenue Services
SARS	South African Revenue Service
SARS	South African Revenue Services
SARi	South African Renewable Initiative
SAS	Specialised Audit Services
SASA	South African Schools Act
SASAWU	South African State and Allied Workers Union
SASCO	South African Students Congress
SASL	South African Sign Language
SASSA	South African Social Security Agency
SASSETA	Safety and Security Sector Education and Training Authority
SASTS	South African Students Travel Services
SATAWU	South African Transport and Allied Workers Union
SATAs	Sector Education and Training Authorities
SATRA	South African Telecommunications Regulatory Affairs
SATRA	South African Telecommunications Regulatory Association
SATSA	Southern African Tourism Services Association
SAUFF	South African United Fishing Front
SAUVCA	South African Universities Vice Chancellor Association
SAVE	Sexual Assault Victim Empowerment
SAWIT	South African Wine Industry Trust
SAWS	South African Weather Service
SAWS	South African Weather Services
SAX	South African Express
SAX	South African Express Airways
SAYAS	South African Young Academy of Sciences
SBA	School Based Assessment
SBA	Site Based Assessment
SBST	School Based Support Team
SCM	Student Centred model
SCM	Supply Chain Management
SCOA	Standard Chart of Accounts
SCOA	Standard Charts of Accounts
SCOA	Standing Committee on Appropriations
SCOAG	Standing Committee on Auditor General
SCOAG	Standing Committee on the Auditor General
SCOPA	Select Committee on Public Accounts
SCOPA	Standing Committee on Public Accounts
SCPA	Schmidtsdrift Communal Property Association
SCSR	Sekwele Centre for Social Reflections
SCoAG	Standing Committee on Auditor General
SCoAG	Standing Committee on the Auditor General
SD	Sustainable Development
SDA	Skills Development Act
SDC	Status Determination Committee
SDI	Service Delivery Indicator
SDIs	Service Delivery Indicators
SDM	Service Delivery Model
SDPMR	South African Diamond and Precious Metals Regulator
SDPs	Strategic Defence Packages
SDR	Special Drawing Rights
SDT	Staff Development Team
SDT	State Diamond Trader
SEDA	Small Enterprise Development Agency
SEDA	Small Enterprise and Development Agency
SEF	Sheltered Employment Factories
SEF	Solar Energy Facility
SEMs	Superintendent of Education Managers
SESSA	Sustainable Energy Society of Southern Africa
SET	Science Engineering and Technology
SETA	Sector Education and Training Authority
SETAs	Sector Education Training Authorities
SETAs	Sector Education and Training Authorities
SETAs	Sectoral Education and Training Authorities
SETAs	Skills Education Training Authorities
SGB	School Governing Bodies
SGB	School Governing Body
SGB's	School Governing Bodies
SGBs	School Governing Bodies
SHARP	South African char_latin_small_letter_h char_latin_small_letter_i char_latin_small_letter_v and Aids Research and Innovation Platform
SHI	Social Health Insurance
SHRA	Social Housing Regulatory Authority
SHS	Solar Home System
SHS	Solar Home Systems
SIA	Security Industry Alliance
SIBG	Schools Infrastructure Backlog Grant
SIDA	Swedish International Development Cooperation Agency
SIDs	Strategically Important Developments
