can't	k> a n t>
ditumatshwano	l` i t> u m a tsh w a n O
ditumedišo	l` i t> u m E l` i S O
ditumelano	l` i t> u m E l a n O
ditumelelano	l` i t> u m E l E l a n O
ditumelelanong	l` i t> u m E l E l a n O N
ditumelelo	l` i t> u m E l E l O
ditumellano	l` i t> u m E l l a n O
ditumelo	l` i t> u m E l O
ditumelong	l` i t> u m E l O N
ditumelwana	l` i t> u m E l w a n a
ditumišo	l` i t> u m i S O
ditumo	l` i t> u m O
ditwatši	l` i t> w a tS> i
diwekšopong	l` i w E k> O p> O N
diyalemoya	l` i j a l E m O j a
diyamaleng	l` i j a m a l E N
diyantle	l` i j a n tl> E
diyunibesithi	l` i j u n i B E s i th i
diyunibesithing	l` i j u n i B E s i th i N
diyunifomo	l` i j u n i f O m O
diyunione	l` i j u n i O n E
dokumente	l` O k> u m E n t> E
duba	l` u B a
dudiša	l` u l` i S a
dudišega	l` u l` i S E G a
dudišege	l` u l` i S E G E
dukologa	l` u k> O l O G a
dulago	l` u l a G O
dula	l` u l a
dulang	l` u l a N
dulego	l` u l E G O
dulelago	l` u l E l a G O
dulela	l` u l E l a
dule	l` u l E
dulelwa	l` u l E l w a
duletše	l` u l E tS> E
duletšeng	l` u l E tS> E N
dulwa	l` u l w a
dumaduma	l` u m a l` u m a
dumago	l` u m a G O
duma	l` u m a
dumediša	l` u m E l` i S a
dumedišana	l` u m E l` i S a n a
dumedišanwa	l` u m E l` i S a n w a
dumediše	l` u m E l` i S E
dumegago	l` u m E G a G O
dumelago	l` u m E l a G O
dumela	l` u m E l a
dumelanago	l` u m E l a n a G O
dumelana	l` u m E l a n a
dumelang	l` u m E l a N
dumelegago	l` u m E l E G a G O
dumelega	l` u m E l E G a
dumelelago	l` u m E l E l a G O
dumelela	l` u m E l E l a
dumelelanago	l` u m E l E l a n a G O
dumelelana	l` u m E l E l a n a
dumelelanego	l` u m E l E l a n E G O
dumelelane	l` u m E l E l a n E
dumelelang	l` u m E l E l a N
dumelelegago	l` u m E l E l E G a G O
dumelelega	l` u m E l E l E G a
dumelelego	l` u m E l E l E G O
dumelele	l` u m E l E l E
dumele	l` u m E l E
dumelelwago	l` u m E l E l w a G O
dumelelwa	l` u m E l E l w a
dumelelwanego	l` u m E l E l w a n E G O
dumelelwego	l` u m E l E l w E G O
dumelelwe	l` u m E l E l w E
dumeletšego	l` u m E l E tS> E G O
dumeletše	l` u m E l E tS> E
dumeletšwego	l` u m E l E tS> w E G O
dumeletšwe	l` u m E l E tS> w E
dumella	l` u m E l l a
dumellana	l` u m E l l a n a
dumellanego	l` u m E l l a n E G O
dumellane	l` u m E l l a n E
dumellwa	l` u m E l l w a
dume	l` u m E
dumelwago	l` u m E l w a G O
dumelwa	l` u m E l w a
dumelwanego	l` u m E l w a n E G O
dumetšego	l` u m E tS> E G O
dumetše	l` u m E tS> E
dumetšwe	l` u m E tS> w E
dumile	l` u m i l E
dumiša	l` u m i S a
dungwa	l` u N w a
dupelela	l` u p> E l E l a
duša	l` u S a
dute	l` u t> E
dutile	l` u t> i l E
dutlago	l` u tl> a G O
dutla	l` u tl> a
dutlela	l` u tl> E l a
dutle	l` u tl> E
dutšego	l` u tS> E G O
dutše	l` u tS> E
dutšwe	l` u tS> w E
eba	E B a
ebago	E B a G O
ebang	E B a N
ebego	E B E G O
ebela	E B E l a
ebile	E B i l E
ebilego	E B i l E G O
ebolwa	E B O l w a
edimola	E l` i m O l a
ediša	E l` i S a
edišitše	E l` i S i tS> E
editše	E l` i tS> E
ee	E E
efa	E f a
efago	E f a G O
efang	E f a N
efe	E f E
efela	E f E l a
efoga	E f O G a
efogago	E f O G a G O
efoge	E f O G E
efoša	E f O S a
ege	E G E
ehlwa	E K w a
ehwa	E h\ w a
eie	E i E
eja	E d0Z a
eka	E k> a
ekago	E k> a G O
ekego	E k> E G O
ekiša	E k> i S a
ekonomi	E k> O n O m i
ekonomikgolo	E k> O n O m i kx O l O
ekonoming	E k> O n O m i N
ekwa	E k> w a
ela	E l a
elago	E l a G O
elang	E l a N
eleditše	E l E l` i tS> E
eleditšego	E l E l` i tS> E G O
ele	E l E
elektroniki	E l E k> t> r O n i k> i
elela	E l E l a
elelago	E l E l a G O
eleletša	E l E l E tS> a
elelwa	E l E l w a
elelwe	E l E l w E
elemente	E l E m E n t> E
eleng	E l E N
eletša	E l E tS> a
eletšago	E l E tS> a G O
eletšana	E l E tS> a n a
eletše	E l E tS> E
eletšwa	E l E tS> w a
eletšwe	E l E tS> w E
elwa	E l w a
elwago	E l w a G O
elwe	E l w E
ema	E m a
emaema	E m a E m a
emago	E m a G O
emang	E m a N
eme	E m E
emego	E m E G O
emela	E m E l a
emelago	E m E l a G O
emele	E m E l E
emelego	E m E l E G O
emelela	E m E l E l a
emelele	E m E l E l E
emeletša	E m E l E tS> a
emelwa	E m E l w a
emelwago	E m E l w a G O
emelwe	E m E l w E
emetše	E m E tS> E
emetšego	E m E tS> E G O
emetšwe	E m E tS> w E
emetšwego	E m E tS> w E G O
emiša	E m i S a
emišago	E m i S a G O
emišang	E m i S a N
emiše	E m i S E
emišeng	E m i S E N
emišetša	E m i S E tS> a
emišitše	E m i S i tS> E
emišitšego	E m i S i tS> E G O
emišitšwe	E m i S i tS> w E
emišitšwego	E m i S i tS> w E G O
emišwa	E m i S w a
emišwe	E m i S w E
empa	E m p> a
ena	E n a
enela	E n E l a
enetši	E n E tS> i
eng	E N
eniša	E n i S a
enišwa	E n i S w a
enke	E n k> E
entše	E n tS> E
entšene	E n tS> E n E
enwa	E n w a
enya	E J a
enye	E J E
enywa	E J w a
enywago	E J w a G O
epa	E p> a
epela	E p> E l a
epelwa	E p> E l w a
epetšwego	E p> E tS> w E G O
epile	E p> i l E
epilwe	E p> i l w E
epilwego	E p> i l w E G O
epolla	E p> O l l a
epša	E pS> a
epšago	E pS> a G O
epšwago	E pS> w a G O
erefe	E r E f E
erekisi	E r E k> i s i
ešita	E S i t> a
ešitago	E S i t> a G O
esiti	E s i t> i
ešo	E S O
eta	E t> a
etago	E t> a G O
etego	E t> E G O
etela	E t> E l a
etelago	E t> E l a G O
etelana	E t> E l a n a
etelane	E t> E l a n E
etelang	E t> E l a N
etele	E t> E l E
etelela	E t> E l E l a
eteletše	E t> E l E tS> E
eteletšego	E t> E l E tS> E G O
eteletšwe	E t> E l E tS> w E
eteletšwego	E t> E l E tS> w E G O
etelwa	E t> E l w a
etelwago	E t> E l w a G O
etelwe	E t> E l w E
etetša	E t> E tS> a
etetšago	E t> E tS> a G O
etetše	E t> E tS> E
etetšego	E t> E tS> E G O
etetšwe	E t> E tS> w E
etetšwego	E t> E tS> w E G O
ethimola	E th i m O l a
etile	E t> i l E
etilego	E t> i l E G O
etilwe	E t> i l w E
etilwego	E t> i l w E G O
etiša	E t> i S a
etišitše	E t> i S i tS> E
etišitšego	E t> i S i tS> E G O
etla	E tl> a
etša	E tS> a
etše	E tS> E
etšwa	E tS> w a
etšwe	E tS> w E
etwa	E t> w a
etwe	E t> w E
eupša	E u pS> a
eya	E j a
faele	f a E l E
faeleng	f a E l E N
fafatla	f a f a tl> a
fago	f a G O
fagolwa	f a G O l w a
fahla	f a K a
fahlela	f a K E l a
fahlele	f a K E l E
fahlelwa	f a K E l w a
fahletše	f a K E tS> E
fahletšwego	f a K E tS> w E G O
fahlilwego	f a K i l w E G O
fahlogela	f a K O G E l a
fahlogele	f a K O G E l E
fahlolla	f a K O l l a
fahloša	f a K O S a
fahlwa	f a K w a
fahlwe	f a K w E
fakela	f a k> E l a
fakhwi	f a kh w i
fala	f a l a
falala	f a l a l a
falale	f a l a l E
falalela	f a l a l E l a
falalelago	f a l a l E l a G O
falaletše	f a l a l E tS> E
fana	f a n a
fanago	f a n a G O
fane	f a n E
fantisi	f a n t> i s i
fantising	f a n t> i s i N
fanwa	f a n w a
fanwego	f a n w E G O
fao	f a O
fapafana	f a p> a f a n a
fapafapana	f a p> a f a p> a n a
fapafapanago	f a p> a f a p> a n a G O
fapafapanego	f a p> a f a p> a n E G O
fapana	f a p> a n a
fapanafapana	f a p> a n a f a p> a n a
fapanago	f a p> a n a G O
fapane	f a p> a n E
fapanego	f a p> a n E G O
fapaneng	f a p> a n E N
fapantšha	f a p> a n tSh a
fapantšhitšwe	f a p> a n tSh i tS> w E
fapantšhwa	f a p> a n tSh w a
fapantšwe	f a p> a n tS> w E
fapantšwego	f a p> a n tS> w E G O
fapanya	f a p> a J a
fapoga	f a p> O G a
fapoge	f a p> O G E
fapogela	f a p> O G E l a
fapogele	f a p> O G E l E
fapogile	f a p> O G i l E
fapriki	f a p> r i k> i
farelwa	f a r E l w a
farelwe	f a r E l w E
farologana	f a r O l O G a n a
farologanego	f a r O l O G a n E G O
farologantšha	f a r O l O G a n tSh a
farologanya	f a r O l O G a J a
fasana	f a s a n a
fase	f a s E
fasefase	f a s E f a s E
fasenyana	f a s E J a n a
fata	f a t> a
fatišiša	f a t> i S i S a
feafea	f E a f E a
federeišene	f E l` E r E i S E n E
fedile	f E l` i l E
fedilego	f E l` i l E G O
fediša	f E l` i S a
fedišago	f E l` i S a G O
fediše	f E l` i S E
fedišitše	f E l` i S i tS> E
fedišitšwe	f E l` i S i tS> w E
fedišitšwego	f E l` i S i tS> w E G O
fedišwa	f E l` i S w a
fedišwago	f E l` i S w a G O
fedišwe	f E l` i S w E
feditše	f E l` i tS> E
feditšego	f E l` i tS> E G O
feditšwe	f E l` i tS> w E
feditšwego	f E l` i tS> w E G O
fe	f E
fefile	f E f i l E
fega	f E G a
fegago	f E G a G O
fege	f E G E
fegeletšwa	f E G E l E tS> w a
fegelwa	f E G E l w a
fegelwana	f E G E l w a n a
fegile	f E G i l E
fegilwe	f E G i l w E
fegilwego	f E G i l w E G O
fego	f E G O
fegolla	f E G O l l a
fegwa	f E G w a
fegwe	f E G w E
fehla	f E K a
fehlwa	f E K w a
feka	f E k> a
fekeetša	f E k> E E tS> a
fekse	f E k> s E
fela	f E l a
felago	f E l a G O
feleditše	f E l E l` i tS> E
feleditšego	f E l E l` i tS> E G O
fele	f E l E
felegeditše	f E l E G E l` i tS> E
felegeditšwe	f E l E G E l` i tS> w E
felegetša	f E l E G E tS> a
felegetšago	f E l E G E tS> a G O
felegetše	f E l E G E tS> E
felegetšwa	f E l E G E tS> w a
felegetšwe	f E l E G E tS> w E
felego	f E l E G O
felela	f E l E l a
felelago	f E l E l a G O
feleleditše	f E l E l E l` i tS> E
feleleditšego	f E l E l E l` i tS> E G O
felele	f E l E l E
felelela	f E l E l E l a
felelelago	f E l E l E l a G O
felelele	f E l E l E l E
feleletša	f E l E l E tS> a
feleletšago	f E l E l E tS> a G O
feleletše	f E l E l E tS> E
feleletšego	f E l E l E tS> E G O
feleletšwa	f E l E l E tS> w a
felelwa	f E l E l w a
felelwago	f E l E l w a G O
felelwe	f E l E l w E
feleng	f E l E N
feletša	f E l E tS> a
feletšago	f E l E tS> a G O
feletše	f E l E tS> E
feletšego	f E l E tS> E G O
feletšeng	f E l E tS> E N
feletšwe	f E l E tS> w E
feletšwego	f E l E tS> w E G O
felo	f E l O
felong	f E l O N
felwa	f E l w a
feme	f E m E
femeng	f E m E N
feng	f E N
fenišara	f E n i S a r a
fenitšhara	f E n i tSh a r a
fentše	f E n tS> E
fentšego	f E n tS> E G O
fentšwe	f E n tS> w E
fenya	f E J a
fenyago	f E J a G O
fenye	f E J E
fenyekolla	f E J E k> O l l a
fenywa	f E J w a
fepa	f E p> a
fepago	f E p> a G O
fepe	f E p> E
fepela	f E p> E l a
fepiwa	f E p> i w a
fepša	f E pS> a
fepšwago	f E pS> w a G O
fera	f E r a
ferehla	f E r E K a
ferehlago	f E r E K a G O
ferehlilego	f E r E K i l E G O
ferekana	f E r E k> a n a
ferekane	f E r E k> a n E
fereya	f E r E j a
feroga	f E r O G a
ferola	f E r O l a
fešene	f E S E n E
feta	f E t> a
fetafetana	f E t> a f E t> a n a
fetago	f E t> a G O
fetana	f E t> a n a
feteditše	f E t> E l` i tS> E
feteditšwego	f E t> E l` i tS> w E G O
fete	f E t> E
fetego	f E t> E G O
fetela	f E t> E l a
fetelago	f E t> E l a G O
fetelanago	f E t> E l a n a G O
fetele	f E t> E l E
fetelela	f E t> E l E l a
feteletša	f E t> E l E tS> a
feteletšego	f E t> E l E tS> E G O
feteletšwa	f E t> E l E tS> w a
fetelwa	f E t> E l w a
fetelwago	f E t> E l w a G O
fetelwe	f E t> E l w E
fetetša	f E t> E tS> a
fetetšago	f E t> E tS> a G O
fetetše	f E t> E tS> E
fetetšego	f E t> E tS> E G O
fetetšwa	f E t> E tS> w a
fetetšwago	f E t> E tS> w a G O
fetetšwe	f E t> E tS> w E
fetetšwego	f E t> E tS> w E G O
fetile	f E t> i l E
fetilego	f E t> i l E G O
fetileng	f E t> i l E N
fetilwe	f E t> i l w E
fetilwego	f E t> i l w E G O
fetiša	f E t> i S a
fetišago	f E t> i S a G O
fetišeditše	f E t> i S E l` i tS> E
fetišeditšwego	f E t> i S E l` i tS> w E G O
fetiše	f E t> i S E
fetišetša	f E t> i S E tS> a
fetišetšago	f E t> i S E tS> a G O
fetišetše	f E t> i S E tS> E
fetišetšwa	f E t> i S E tS> w a
fetišetšwago	f E t> i S E tS> w a G O
fetišetšwe	f E t> i S E tS> w E
fetišiša	f E t> i S i S a
fetišišago	f E t> i S i S a G O
fetišitše	f E t> i S i tS> E
fetišitšwe	f E t> i S i tS> w E
fetišitšwego	f E t> i S i tS> w E G O
fetišwa	f E t> i S w a
fetišwago	f E t> i S w a G O
fetišwe	f E t> i S w E
fetišweng	f E t> i S w E N
fetleka	f E tl> E k> a
fetlekolla	f E tl> E k> O l l a
fetlekwa	f E tl> E k> w a
fetofetogago	f E t> O f E t> O G a G O
fetoga	f E t> O G a
fetogafetoga	f E t> O G a f E t> O G a
fetogago	f E t> O G a G O
fetoge	f E t> O G E
fetogego	f E t> O G E G O
fetogela	f E t> O G E l a
fetogelago	f E t> O G E l a G O
fetogetše	f E t> O G E tS> E
fetogile	f E t> O G i l E
fetogilego	f E t> O G i l E G O
fetola	f E t> O l a
fetolafetola	f E t> O l a f E t> O l a
fetolago	f E t> O l a G O
fetole	f E t> O l E
fetolego	f E t> O l E G O
fetolela	f E t> O l E l a
fetolelago	f E t> O l E l a G O
fetolele	f E t> O l E l E
fetolelwa	f E t> O l E l w a
fetolelwago	f E t> O l E l w a G O
fetolelwe	f E t> O l E l w E
fetoleng	f E t> O l E N
fetoletše	f E t> O l E tS> E
fetoletšwe	f E t> O l E tS> w E
fetoletšwego	f E t> O l E tS> w E G O
fetolwa	f E t> O l w a
fetolwago	f E t> O l w a G O
fetolwe	f E t> O l w E
fetoša	f E t> O S a
fetošago	f E t> O S a G O
fetoše	f E t> O S E
fetošetšwa	f E t> O S E tS> w a
fetošetšwe	f E t> O S E tS> w E
fetošitše	f E t> O S i tS> E
fetošitšego	f E t> O S i tS> E G O
fetošitšwe	f E t> O S i tS> w E
fetošitšwego	f E t> O S i tS> w E G O
fetošwa	f E t> O S w a
fetošwago	f E t> O S w a G O
fetošwe	f E t> O S w E
fetotše	f E t> O tS> E
fetotšego	f E t> O tS> E G O
fetotšwe	f E t> O tS> w E
fetotšwego	f E t> O tS> w E G O
fetša	f E tS> a
fetšago	f E tS> a G O
fetše	f E tS> E
fetšego	f E tS> E G O
fetšeng	f E tS> E N
fetšiša	f E tS> i S a
fetšišitše	f E tS> i S i tS> E
fetšišwa	f E tS> i S w a
fetšwa	f E tS> w a
fetšwago	f E tS> w a G O
fetšwe	f E tS> w E
fetwa	f E t> w a
fetwago	f E t> w a G O
fetwe	f E t> w E
fetwego	f E t> w E G O
fifala	f i f a l a
fifetšego	f i f E tS> E G O
fihla	f i K a
fihlago	f i K a G O
fihle	f i K E
fihlego	f i K E G O
fihlela	f i K E l a
fihlelago	f i K E l a G O
fihlele	f i K E l E
fihlelela	f i K E l E l a
fihlelelago	f i K E l E l a G O
fihlelele	f i K E l E l E
fihlelelega	f i K E l E l E G a
fihlelelegago	f i K E l E l E G a G O
fihlelelege	f i K E l E l E G E
fihlelelego	f i K E l E l E G O
fihlelelwa	f i K E l E l w a
fihlelelwago	f i K E l E l w a G O
fihlelelwe	f i K E l E l w E
fihlelelwego	f i K E l E l w E G O
fihlelelweng	f i K E l E l w E N
fihleletše	f i K E l E tS> E
fihleletšego	f i K E l E tS> E G O
fihleletšwe	f i K E l E tS> w E
fihleletšwego	f i K E l E tS> w E G O
fihlelwa	f i K E l w a
fihlelwe	f i K E l w E
fihleng	f i K E N
fihletše	f i K E tS> E
fihletšwego	f i K E tS> w E G O
fihlile	f i K i l E
fihlilego	f i K i l E G O
fihlilwe	f i K i l w E
fihlilwego	f i K i l w E G O
fihliša	f i K i S a
fihliše	f i K i S E
fihlišeng	f i K i S E N
fihlišitše	f i K i S i tS> E
fihlišitšego	f i K i S i tS> E G O
fihlišwa	f i K i S w a
fihlišwago	f i K i S w a G O
fihlišwe	f i K i S w E
fihlola	f i K O l a
fihlwa	f i K w a
filego	f i l E G O
filimi	f i l i m i
filiming	f i l i m i N
filosofi	f i l O s O f i
filwe	f i l w E
filwego	f i l w E G O
fiša	f i S a
fišafiša	f i S a f i S a
fišago	f i S a G O
fiše	f i S E
fišega	f i S E G a
fišegela	f i S E G E l a
fišegelwa	f i S E G E l w a
fišego	f i S E G O
fišitše	f i S i tS> E
fišwa	f i S w a
fiwa	f i w a
fiwago	f i w a G O
fiwe	f i w E
fiwego	f i w E G O
flouru	f l O u r u
foa	f O a
fodile	f O l` i l E
fodilego	f O l` i l E G O
fodiša	f O l` i S a
fodišago	f O l` i S a G O
fodišwa	f O l` i S w a
fofa	f O f a
fofafofa	f O f a f O f a
fofago	f O f a G O
fofela	f O f E l a
fofetše	f O f E tS> E
fofile	f O f i l E
fofiša	f O f i S a
fo	f O
foka	f O k> a
fokago	f O k> a G O
foke	f O k> E
fokile	f O k> i l E
fokodiša	f O k> O l` i S a
fokodišago	f O k> O l` i S a G O
fokodišwa	f O k> O l` i S w a
fokoditše	f O k> O l` i tS> E
fokoditšego	f O k> O l` i tS> E G O
fokoditšwe	f O k> O l` i tS> w E
fokoditšwego	f O k> O l` i tS> w E G O
fokola	f O k> O l a
fokolago	f O k> O l a G O
fokole	f O k> O l E
fokoletša	f O k> O l E tS> a
fokoletšwa	f O k> O l E tS> w a
fokotša	f O k> O tS> a
fokotšago	f O k> O tS> a G O
fokotše	f O k> O tS> E
fokotšega	f O k> O tS> E G a
fokotšegago	f O k> O tS> E G a G O
fokotšege	f O k> O tS> E G E
fokotšegile	f O k> O tS> E G i l E
fokotšegilego	f O k> O tS> E G i l E G O
fokotšwa	f O k> O tS> w a
fokotšwago	f O k> O tS> w a G O
fokotšwe	f O k> O tS> w E
fokwago	f O k> w a G O
fola	f O l a
folaga	f O l a G a
folago	f O l a G O
fole	f O l E
folego	f O l E G O
folete	f O l E t> E
foloditše	f O l O l` i tS> E
foloditšego	f O l O l` i tS> E G O
fologa	f O l O G a
fologe	f O l O G E
fologetša	f O l O G E tS> a
fologile	f O l O G i l E
fološa	f O l O S a
fološetša	f O l O S E tS> a
fološitše	f O l O S i tS> E
fološwa	f O l O S w a
fološwe	f O l O S w E
folotša	f O l O tS> a
folotšago	f O l O tS> a G O
folouru	f O l O u r u
folwa	f O l w a
fomo	f O m O
fonimi	f O n i m i
fora	f O r a
foraforetša	f O r a f O r E tS> a
forana	f O r a n a
foromane	f O r O m a n E
foromo	f O r O m O
foromong	f O r O m O N
forwa	f O r w a
foša	f O S a
fošagala	f O S a G a l a
fošagetše	f O S a G E tS> E
fošagetšego	f O S a G E tS> E G O
fošago	f O S a G O
foše	f O S E
fošetša	f O S E tS> a
fosfate	f O s f a t> E
fosforase	f O s f O r a s E
fosforo	f O s f O r O
fosili	f O s i l i
fošitše	f O S i tS> E
fošwa	f O S w a
fothela	f O th E l a
fotlela	f O tl> E l a
fotše	f O tS> E
foufala	f O u f a l a
foufatša	f O u f a tS> a
foufetše	f O u f E tS> E
founela	f O u n E l a
freime	f r E i m E
fšega	p\S E G a
fudiša	f u l` i S a
fudišago	f u l` i S a G O
fudišwa	f u l` i S w a
fufula	f u f u l a
fula	f u l a
fulago	f u l a G O
fulara	f u l a r a
fule	f u l E
fulela	f u l E l a
fulwa	f u l w a
furalela	f u r a l E l a
furaletše	f u r a l E tS> E
furu	f u r u
futšwego	f u tS> w E G O
gaba	G a B a
gabedi	G a B E l` i
gabjale	G a BZ a l E
gabobona	G a B O B O n a
gabo	G a B O
gabohloko	G a B O K O k> O
gaboima	G a B O i m a
gaboleta	G a B O l E t> a
gabomohu	G a B O m O h\ u
gabonolo	G a B O n O l O
gaborena	G a B O r E n a
gabosele	G a B O s E l E
gabotsana	G a B O ts> a n a
gabotsebotse	G a B O ts> E B O ts> E
gabotse	G a B O ts> E
gabotšona	G a B O tS> O n a
gadika	G a l` i k> a
gadikilwego	G a l` i k> i l w E G O
gadikwa	G a l` i k> w a
gadima	G a l` i m a
gae	G a E
gafa	G a f a
gafela	G a f E l a
gafelwa	G a f E l w a
gafetše	G a f E tS> E
gafetšwe	G a f E tS> w E
gafilwego	G a f i l w E G O
gafiša	G a f i S a
gafišwa	G a f i S w a
ga	G a
gagaba	G a G a B a
gagabiša	G a G a B i S a
gagabo	G a G a B O
gagalala	G a G a l a l a
gago	G a G O
gagola	G a G O l a
gagolo	G a G O l O
gagologolo	G a G O l O G O l O
gagwe	G a G w E
gahlana	G a K a n a
gahlanago	G a K a n a G O
gahlane	G a K a n E
gahlanego	G a K a n E G O
gahlanetša	G a K a n E tS> a
gahlanetše	G a K a n E tS> E
gahlanetšwa	G a K a n E tS> w a
gahlano	G a K a n O
gakaaka	G a k> a a k> a
gakaakang	G a k> a a k> a N
gakaalo	G a k> a a l O
gakae	G a k> a E
gaka	G a k> a
gakala	G a k> a l a
gakale	G a k> a l E
gakalela	G a k> a l E l a
gakanega	G a k> a n E G a
gakanege	G a k> a n E G E
gakanegile	G a k> a n E G i l E
gakanegilego	G a k> a n E G i l E G O
gakantšha	G a k> a n tSh a
gakantšhago	G a k> a n tSh a G O
gakantšhe	G a k> a n tSh E
gakantšhitše	G a k> a n tSh i tS> E
gakantšhitšwe	G a k> a n tSh i tS> w E
gakantšhwa	G a k> a n tSh w a
gakatša	G a k> a tS> a
gakatšwa	G a k> a tS> w a
gaketše	G a k> E tS> E
gakolla	G a k> O l l a
galagala	G a l a G a l a
galaka	G a l a k> a
galampela	G a l a m p> E l a
galase	G a l a s E
galaseng	G a l a s E N
galasetlhale	G a l a s E tlh a l E
galefa	G a l E f a
galefela	G a l E f E l a
galefile	G a l E f i l E
galefiša	G a l E f i S a
galekgolo	G a l E kx O l O
galesome	G a l E s O m E
galogilego	G a l O G i l E G O
gama	G a m a
gamela	G a m E l a
gammalwa	G a m m a l w a
gammogo	G a m m O G O
gamola	G a m O l a
gamolla	G a m O l l a
gamolwa	G a m O l w a
gampa	G a m p> a
gampe	G a m p> E
gana	G a n a
ganago	G a n a G O
ganana	G a n a n a
gananago	G a n a n a G O
ganane	G a n a n E
ganeditše	G a n E l` i tS> E
ganeditšwe	G a n E l` i tS> w E
ganeditšwego	G a n E l` i tS> w E G O
gane	G a n E
ganela	G a n E l a
ganelago	G a n E l a G O
ganelela	G a n E l E l a
ganeletše	G a n E l E tS> E
ganelwa	G a n E l w a
ganetša	G a n E tS> a
ganetšago	G a n E tS> a G O
ganetšana	G a n E tS> a n a
ganetšanago	G a n E tS> a n a G O
ganetšane	G a n E tS> a n E
ganetše	G a n E tS> E
ganetšwa	G a n E tS> w a
ganetšwago	G a n E tS> w a G O
ganetšwe	G a n E tS> w E
ganetšwego	G a n E tS> w E G O
gangwa	G a N w a
gangwago	G a N w a G O
gangwe	G a N w E
ganne	G a n n E
gannego	G a n n E G O
gannwe	G a n n w E
gannyane	G a n J a n E
gannyanegannyane	G a n J a n E G a n J a n E
ganong	G a n O N
gantši	G a n tS> i
gantšintši	G a n tS> i n tS> i
gantšinyana	G a n tS> i J a n a
ganwa	G a n w a
ganwe	G a n w E
ganyane	G a J a n E
ganyenyane	G a J E J a n E
gapa	G a p> a
gapago	G a p> a G O
gapegape	G a p> E G a p> E
gapela	G a p> E l a
gapelago	G a p> E l a G O
gapeleditše	G a p> E l E l` i tS> E
gapeleditšego	G a p> E l E l` i tS> E G O
gapeleditšwe	G a p> E l E l` i tS> w E
gapeleditšwego	G a p> E l E l` i tS> w E G O
gapeletsa	G a p> E l E ts> a
gapeletša	G a p> E l E tS> a
gapeletšago	G a p> E l E tS> a G O
gapeletšega	G a p> E l E tS> E G a
gapeletšegago	G a p> E l E tS> E G a G O
gapeletše	G a p> E l E tS> E
gapeletšege	G a p> E l E tS> E G E
gapeletšegile	G a p> E l E tS> E G i l E
gapeletšwa	G a p> E l E tS> w a
gapeletšwago	G a p> E l E tS> w a G O
gapeletšwe	G a p> E l E tS> w E
gapelwa	G a p> E l w a
gapetše	G a p> E tS> E
gapile	G a p> i l E
gapša	G a pS> a
garafo	G a r a f O
gara	G a r a
gararo	G a r a r O
gare	G a r E
garegare	G a r E G a r E
gareng	G a r E N
garetene	G a r E t> E n E
garetse	G a r E ts> E
gaša	G a S a
gašago	G a S a G O
gaše	G a S E
gašetša	G a S E tS> a
gašetše	G a S E tS> E
gašetšwa	G a S E tS> w a
gašitšwego	G a S i tS> w E G O
gašwa	G a S w a
gašwago	G a S w a G O
gašwe	G a S w E
gata	G a t> a
gatago	G a t> a G O
gataka	G a t> a k> a
gatakelwa	G a t> a k> E l w a
gatakilwe	G a t> a k> i l w E
gatakilwego	G a t> a k> i l w E G O
gatakwa	G a t> a k> w a
gatana	G a t> a n a
gatee	G a t> E E
gateetee	G a t> E E t> E E
gatela	G a t> E l a
gatelago	G a t> E l a G O
gatelela	G a t> E l E l a
gatelelago	G a t> E l E l a G O
gatelele	G a t> E l E l E
gatelelwa	G a t> E l E l w a
gatelelwago	G a t> E l E l w a G O
gatelelwe	G a t> E l E l w E
gateletše	G a t> E l E tS> E
gateletšego	G a t> E l E tS> E G O
gateletšwe	G a t> E l E tS> w E
gateletšwego	G a t> E l E tS> w E G O
gatella	G a t> E l l a
gatetše	G a t> E tS> E
gatetšego	G a t> E tS> E G O
gatile	G a t> i l E
gatilego	G a t> i l E G O
gatiša	G a t> i S a
gatiše	G a t> i S E
gatišitše	G a t> i S i tS> E
gatišitšego	G a t> i S i tS> E G O
gatišitšwe	G a t> i S i tS> w E
gatišitšwego	G a t> i S i tS> w E G O
gatišwa	G a t> i S w a
gatišwago	G a t> i S w a G O
gatišwe	G a t> i S w E
gatoga	G a t> O G a
gatšwa	G a tS> w a
gatwa	G a t> w a
gaugela	G a u G E l a
gauta	G a u t> a
gedigetša	G E l` i G E tS> a
ge	G E
gegea	G E G E a
gelela	G E l E l a
gempe	G E m p> E
genereithara	G E n E r E i th a r a
geno	G E n O
gerema	G E r E m a
gerula	G E r u l a
gešo	G E S O
getlagetla	G E tl> a G E tl> a
getše	G E tS> E
getsola	G E ts> O l a
gm	G m
goa	G O a
gobaditše	G O B a l` i tS> E
gobaditšwe	G O B a l` i tS> w E
goba	G O B a
gobala	G O B a l a
gobalago	G O B a l a G O
gobale	G O B a l E
gobane	G O B a n E
gobaneng	G O B a n E N
gobatša	G O B a tS> a
gobatšago	G O B a tS> a G O
gobatše	G O B a tS> E
gobatšwa	G O B a tS> w a
gobatšwago	G O B a tS> w a G O
gobela	G O B E l a
gobetše	G O B E tS> E
gobetšego	G O B E tS> E G O
goboša	G O B O S a
gobošitše	G O B O S i tS> E
gobošwa	G O B O S w a
godilego	G O l` i l E G O
godile	G O l` i l E
godimodimo	G O l` i m O l` i m O
godimo	G O l` i m O
