'n	@
beswadder	b @ s w a d @ r
besware	b @ s w A: r @
besweer	b @ s w i@ r
beswyk	b @ s w @i k
beswyming	b @ s w @i m @ N
beta	b i@ t a
betaal	b @ t A: l
betaalbaar	b @ t A: l b A: r
betaalbare	b @ t A: l b A: r @
betaalde	b @ t A: l d @
betaalkanaal	b @ t A: l k a n A: l
betaalkanale	b @ t A: l k a n A: l @
betaalpunte	b @ t A: l p 9 n t @
betaam	b @ t A: m
betalende	b @ t A: l @ n d @
betaling	b @ t A: l @ N
betalings	b @ t A: l @ N s
betalingsbalans	b @ t A: l @ N s b a l A: n s
betani	b @ t A: n i
betas	b @ t a s
beteken	b @ t i@ k @ n
betekening	b @ t i@ k @ n @ N
betekenis	b @ t i@ k @ n @ s
betekenisloos	b @ t i@ k @ n @ s l u@ s
betekenisse	b @ t i@ k @ n @ s @
betekenisverandering	b @ t i@ k @ n @ s f @ r a n d @ r @ N
betekenisvol	b @ t i@ k @ n @ s f O l
betekenisvolheid	b @ t i@ k @ n @ s f O l h\ @i t
betekenisvolle	b @ t i@ k @ n @ s f O l @
betekeniswaarde	b @ t i@ k @ n @ s v A: r d @
beter	b i@ t @ r
betig	b @ t @ x
betogende	b @ t u@ x @ n d @
betoger	b @ t u@ x @ r
betogers	b @ t u@ x @ r s
betoging	b @ t u@ x @ N
betogings	b @ t u@ x @ N s
beton	b @ t O n
betonmuur	b @ t O n m y r
betoog	b @ t u@ x
betoon	b @ t u@ n
betower	b @ t u@ v @ r
betowerende	b @ t u@ v @ r @ n d @
betraande	b @ t r A: n d @
betrag	b @ t r a x
betrap	b @ t r a p
betree	b @ t r i@
betref	b @ t r E f
betreffende	b @ t r E f @ n d @
betrek	b @ t r { k
betrekking	b @ t r { k @ N
betrekkinge	b @ t r { k @ N @
betrekkings	b @ t r { k @ N s
betrekkingswoord	b @ t r { k @ N s v u@ r t
betrekkingswoorde	b @ t r { k @ N s v u@ r d @
betreklik	b @ t r { k l @ k
betreklike	b @ t r { k l @ k @
betreur	b @ t r 2: r
betreurenswaardig	b @ t r 2: r @ n s v A: r d @ x
betrokke	b @ t r O k @
betrokkenes	b @ t r O k @ n @ s
betrokkenheid	b @ t r O k @ n h\ @i t
betroubaar	b @ t r @u b A: r
betroubaarheid	b @ t r @u b A: r h\ @i t
betroubaarste	b @ t r @u b A: r s t @
betroubare	b @ t r @u b A: r @
betuig	b @ t 9y x
betwis	b @ t w @ s
betwiste	b @ t w @ s t @
betwyfel	b @ t w @i f @ l
betyds	b @ t @i t s
beukes	b 2: k @ s
beur	b 2: r
beurs	b 2: r s
beurse	b 2: r s @
beursie	b 2: r s i
beursies	b 2: r s i s
beurt	b 2: r t
beurte	b 2: r t @
beurtkrag	b 2: r t k r a x
beurtspel	b 2: r t s p { l
bevalling	b @ f a l @ N
bevallings	b @ f a l @ N s
bevat	b @ f a t
beveel	b @ f i@ l
beveg	b @ f { x
beveilig	b @ f @i l @ x
beveiliging	b @ f @i l @ x @ N
bevel	b @ f { l
bevele	b @ f i@ l @
bevelsin	b @ f { l s @ n
bevelsinne	b @ f { l s @ n @
bevelvoerder	b @ f { l f u r d @ r
bevelvoerders	b @ f { l f u r d @ r s
bevestig	b @ f E s t @ x
bevestigend	b @ f E s t @ x @ n t
bevestigende	b @ f E s t @ x @ n d @
bevestiging	b @ f E s t @ x @ N
bevind	b @ f @ n t
bevinding	b @ f @ n d @ N
bevindinge	b @ f @ n d @ N @
bevindings	b @ f @ n d @ N s
bevlek	b @ f l { k
bevoeg	b @ f u x
bevoegdhede	b @ f u x t h\ i@ d @
bevoegdheid	b @ f u x t h\ @i t
bevolking	b @ f O l k @ N
bevolkingsamestelling	b @ f O l k @ N s A: m @ s t { l @ N
bevolkingsdigtheid	b @ f O l k @ N s d @ x t h\ @i t
bevolkingsdinamika	b @ f O l k @ N s d i n A: m i k a
bevolkingsgetalle	b @ f O l k @ N s x @ t a l @
bevolkingsgroei	b @ f O l k @ N s x r ui
bevolkingsgroepe	b @ f O l k @ N s x r u p @
bevolkingsontploffing	b @ f O l k @ N s O n t p l O f @ N
bevolkingsontwikkeling	b @ f O l k @ N s O n t v @ k @ l @ N
bevolkingsregistrasiewet	b @ f O l k @ N s r E x @ s t r A: s i v E t
bevolkte	b @ f O l k t @
bevoordeel	b @ f u@ r d i@ l
bevoordeelde	b @ f u@ r d i@ l d @
bevoordeling	b @ f u@ r d i@ l @ N
bevoorreg	b @ f u@ r { x
bevoorregte	b @ f u@ r { x t @
bevoorregtes	b @ f u@ r { x t @ s
bevoorregting	b @ f u@ r { x t @ N
bevorder	b @ f O r d @ r
bevordering	b @ f O r d @ r @ N
bevorderings	b @ f O r d @ r @ N s
bevorderlik	b @ f O r d @ r l @ k
bevraagteken	b @ f r A: x t i@ k @ n
bevraagtekening	b @ f r A: x t i@ k @ n @ N
bevredig	b @ f r i@ d @ x
bevredigend	b @ f r i@ d @ x @ n t
bevredigende	b @ f r i@ d @ x @ n d @
bevrediging	b @ f r i@ d @ x @ N
bevrees	b @ f r i@ s
bevriend	b @ f r i n t
bevries	b @ f r i s
bevriesing	b @ f r i s @ N
bevrore	b @ f r u@ r @
bevrug	b @ f r 9 x
bevrugte	b @ f r 9 x t @
bevry	b @ f r @i
bevryde	b @ f r @i d @
bevrydende	b @ f r @i d @ n d @
bevryding	b @ f r @i d @ N
bevrydingsorganisasie	b @ f r @i d @ N s O r x a n i s A: s i
bevrydingsteologie	b @ f r @i d @ N s t i u l u x i
bevrydingstryd	b @ f r @i d @ N s t r @i t
bewaak	b @ v A: k
bewaar	b @ v A: r
bewaarde	b @ v A: r d @
bewaarder	b @ v A: r d @ r
bewaarders	b @ v A: r d @ r s
bewaarheid	b @ v A: r h\ @i t
bewaker	b @ v A: k @ r
bewaking	b @ v A: k @ N
bewandel	b @ v a n d @ l
bewapen	b @ v A: p @ n
bewaring	b @ v A: r @ N
bewaringsbewustes	b @ v A: r @ N s b @ v 9 s t @ s
bewaringsgebied	b @ v A: r @ N s x @ b i t
bewaringsgebiede	b @ v A: r @ N s x @ b i d @
bewe	b i@ v @
beweeg	b @ v i@ x
beweegbare	b @ v i@ x b A: r @
beweeglikheid	b @ v i@ x l @ k h\ @i t
beweegrede	b @ v i@ x r i@ d @
beweegruimte	b @ v i@ x r 9y m t @
beweer	b @ v i@ r
beweerde	b @ v i@ r d @
bewegende	b @ v i@ x @ n d @
beweging	b @ v i@ x @ N
bewegingloos	b @ v i@ x @ N l u@ s
bewegings	b @ v i@ x @ N s
bewegingsaktiwiteite	b @ v i@ x @ N s a k t i v i t @i t @
bewegingskunde	b @ v i@ x @ N s k 9 n d @
bewegingskundige	b @ v i@ x @ N s k 9 n d @ x @
bewegingsles	b @ v i@ x @ N s l E s
bewegingsontwikkeling	b @ v i@ x @ N s O n t v @ k @ l @ N
bewegingsuitvoering	b @ v i@ x @ N s 9y t f u r @ N
bewerig	b i@ v @ r @ x
bewerige	b i@ v @ r @ x @
bewering	b @ v i@ r @ N
beweringe	b @ v i@ r @ N @
bewerings	b @ v i@ r @ N s
bewerk	b @ v { r k
bewerking	b @ v { r k @ N
bewerkings	b @ v { r k @ N s
bewerkstellig	b @ v { r k s t { l @ x
bewerkte	b @ v { r k t @
bewese	b @ v i@ s @
bewillig	b @ v @ l @ x
bewind	b @ v @ n t
bewindsoorname	b @ v @ n t s u@ r n A: m @
bewolk	b @ v O l k
bewolkte	b @ v O l k t @
bewonder	b @ v O n d @ r
bewonderaars	b @ v O n d @ r A: r s
bewondering	b @ v O n d @ r @ N
bewoners	b @ v u@ n @ r s
bewoning	b @ v u@ n @ N
bewoon	b @ v u@ n
bewoonde	b @ v u@ n d @
bewoord	b @ v u@ r t
bewoorde	b @ v u@ r d @
bewoording	b @ v u@ r d @ N
bewoë	b @ v u @
bewus	b @ v 9 s
bewussyn	b @ v 9 s @i n
bewuste	b @ v 9 s t @
bewustelik	b @ v 9 s t @ l @ k
bewusteloos	b @ v 9 s t @ l u@ s
bewustelose	b @ v 9 s t @ l u@ s @
bewustheid	b @ v 9 s t h\ @i t
bewuswording	b @ v 9 s v O r d @ N
bewys	b @ v @i s
bewysbare	b @ v @i s b A: r @
bewyse	b @ v @i s @
bewysgebaseerde	b @ v @i s x @ b a s i@ r d @
bewyslas	b @ v @i s l a s
bewyslasdraer	b @ v @i s l a s d r A: @ r
bewyslewering	b @ v @i s l i@ v @ r @ N
bewysreg	b @ v @i s r { x
bewysstukke	b @ v @i s s t 9 k @
beywer	b @ @i v @ r
beëdigde	b @ i@ d @ x d @
beëindig	b @ @i n d @ x
beëindiging	b @ @i n d @ x @ N
beïnvloed	b @ @ n f l u t
beïnvloeding	b @ @ n f l u d @ N
bi	b i
bibliografiese	b @ b l i u x r A: f i s @
biblioteek	b @ b l i u t i@ k
biblioteekboeke	b @ b l i u t i@ k b u k @
biblioteke	b @ b l i u t i@ k @
bid	b @ t
biddend	b @ d @ n t
bie	b i
bied	b i t
biefstuk	b i f s t 9 k
bieg	b i x
bielie	b i l i
biep	b i p
bier	b i r
biesies	b i s i s
bietjie	b i k i
bietjies	b i k i s
bifida	b @ f i d a
bikini	b i k i n i
bilabiale	b i l a b i A: l @
bilateraal	b i l a t @ r A: l
bilaterale	b i l a t @ r A: l @
bilateria	b i l a t @ r i a
biljart	b @ l j a r t
billik	b @ l @ k
billike	b @ l @ k @
biltong	b @ l t O N
bind	b @ n t
bindende	b @ n d @ n d @
binding	b @ n d @ N
bindings	b @ n d @ N s
bindweefsel	b @ n t v i@ f s @ l
binne	b @ n @
binneaarse	b @ n @ A: r s @
binnebaan	b @ n @ b A: n
binnegaan	b @ n @ x A: n
binnegegaan	b @ n @ x @ x A: n
binnegekom	b @ n @ x @ k O m
binnegestap	b @ n @ x @ s t a p
binnegestroom	b @ n @ x @ s t r u@ m
binnegeval	b @ n @ x @ f a l
binnehandel	b @ n @ h\ a n d @ l
binnehof	b @ n @ h\ O f
binnekamer	b @ n @ k A: m @ r
binnekant	b @ n @ k a n t
binnekom	b @ n @ k O m
binnekort	b @ n @ k O r t
binnekring	b @ n @ k r @ N
binnekringe	b @ n @ k r @ N @
binneland	b @ n @ l a n t
binnelandse	b @ n @ l a n t s @
binnenshuis	b @ n @ n s h\ 9y s
binnenshuise	b @ n @ n s h\ 9y s @
binneontwerp	b @ n @ O n t v { r p
binneruim	b @ n @ r 9y m
binnery	b @ n @ r @i
binnesenter	b @ n @ s E n t @ r
binneste	b @ n @ s t @
binnetoe	b @ n @ t u
binnetuin	b @ n @ t 9y n
binneval	b @ n @ f a l
binneversiering	b @ n @ f @ r s i r @ N
binêre	b i n { r @
biobeskikbaarheid	b i u b @ s k @ k b A: r h\ @i t
biobrandstof	b i u b r a n t s t O f
biochemiese	b i u x i@ m i s @
biodiesel	b i u d i s @ l
biodiversiteit	b i u d i v { r s i t @i t
biofisiese	b i u f i s i s @
biograaf	b i u x r A: f
biografie	b i u x r a f i
biografiese	b i u x r A: f i s @
biografieë	b i u x r a f i @
biokinetikus	b i u k @ n i@ t i k 9 s
biologie	b i u l u x i
biologies	b i u l u@ x i s
biologiese	b i u l u@ x i s @
biomassa	b i u m a s a
biome	b i u@ m @
biomeganiese	b i u m @ x A: n i s @
biomeganika	b i u m @ x A: n i k a
biomolekules	b i u m O l @ k y l @ s
bioom	b i u@ m
biopsie	b i O p s i
biosfeer	b i u s f i@ r
bioskoop	b i u s k u@ p
biotegnologie	b i u t { x n u l u x i
biotiese	b i u@ t i s @
bisantynse	b i s a n t @i n s @
bisar	b i z a r
bisarre	b i z a r @
biskop	b @ s k O p
bits	b @ t s
bitsig	b @ t s @ x
bitter	b @ t @ r
bittere	b @ t @ r @
bittereinders	b @ t @ r @i n d @ r s
bitterheid	b @ t @ r h\ @i t
bittersoet	b @ t @ r s u t
blaadjie	b l A:i k i
blaai	b l A:i
blaaie	b l A:i @
blaam	b l A: m
blaar	b l A: r
blaarslaai	b l A: r s l A:i
blaas	b l A: s
blaaskans	b l A: s k A: n s
blaaskansie	b l A: s k A: n s i
blad	b l a t
bladlees	b l a t l i@ s
bladmusiek	b l a t m 9 s i k
bladsy	b l a t s @i
bladsye	b l a t s @i @
bladsynommer	b l a t s @i n O m @ r
bladsyverwysings	b l a t s @i f @ r v @i s @ N s
bladwisselende	b l a t v @ s @ l @ n d @
blaf	b l a f
blakend	b l A: k @ n t
blameer	b l a m i@ r
blank	b l a N k
blanke	b l a N k @
blankes	b l a N k @ s
blaps	b l a p s
blapse	b l a p s @
blare	b l A: r @
blas	b l a s
blase	b l A: s @
blaser	b l A: s @ r
blasers	b l A: s @ r s
blasies	b l A: s i s
blatante	b l a t a n t @
blatjang	b l a t j a N
blaue	b l @u @
bleek	b l i@ k
bleekheid	b l i@ k h\ @i t
bleeksiel	b l i@ k s i l
blerrie	b l { r i
bles	b l E s
blesbokke	b l E s b O k @
blik	b l @ k
blikke	b l @ k @
blikkie	b l @ k i
blikkies	b l @ k i s
blikkieskos	b l @ k i s k O s
bliksem	b l @ k s @ m
bliksems	b l @ k s @ m s
blind	b l @ n t
blinde	b l @ n d @
blindederm	b l @ n d @ d { r @ m
blindes	b l @ n d @ s
blindheid	b l @ n t h\ @i t
blindings	b l @ n d @ N s
blink	b l @ N k
blinker	b l @ N k @ r
blinkste	b l @ N k s t @
blits	b l @ t s
blitsbesoek	b l @ t s b @ s u k
blitse	b l @ t s @
blitsig	b l @ t s @ x
blitsige	b l @ t s @ x @
blitskrieket	b l @ t s k r i k @ t
blitspatrollie	b l @ t s p a t r O l i
blitsvinnig	b l @ t s f @ n @ x
blitsvinnige	b l @ t s f @ n @ x @
bloed	b l u t
bloedarmoede	b l u t a r @ m u d @
bloedbad	b l u t b a t
bloedbank	b l u t b a N k
bloedbelope	b l u t b @ l u@ p @
bloeddorstige	b l u t d O r s t @ x @
bloeddruk	b l u t d r 9 k
bloedgroep	b l u t x r u p
bloedig	b l u d @ x
bloedige	b l u d @ x @
bloedigste	b l u d @ x s t @
bloeding	b l u d @ N
bloedjong	b l u t j O N
bloedklonte	b l u t k l O n t @
bloedlose	b l u t l u@ s @
bloedmonsters	b l u t m O n s t @ r s
bloedoortappings	b l u t u@ r t a p @ N s
bloedplasma	b l u t p l a s m a
bloedrivier	b l u t r @ f i r
bloedrooi	b l u t r O:i
bloedselle	b l u t s { l @
bloedskande	b l u t s k a n d @
bloedsomloop	b l u t s O m l u@ p
bloedsomloopstelsel	b l u t s O m l u@ p s t { l s @ l
bloedspatsels	b l u t s p a t s @ l s
bloedspoor	b l u t s p u@ r
bloedstroom	b l u t s t r u@ m
bloedsuiker	b l u t s 9y k @ r
bloedtoets	b l u t t u t s
bloedtoetse	b l u t t u t s @
bloedvat	b l u t f a t
bloedvate	b l u t f A: t @
bloedvergieting	b l u t f @ r x i t @ N
bloedverwante	b l u t f @ r v a n t @
bloedvolume	b l u t v O l y m @
bloei	b l ui
bloeias	b l ui a s
bloeityd	b l ui t @i t
bloekomboom	b l u k O m b u@ m
bloekoms	b l u k O m s
bloemfonteinse	b l u m f O n t @i n s @
bloemlesings	b l u m l i@ s @ N s
bloes	b l u s
blog	b l O g
blogs	b l O g z
blok	b l O k
blokfluit	b l O k f l 9y t
blokfluitrepertorium	b l O k f l 9y t r E p @ r t u@ r i 9 m
blokkade	b l O k A: d @
blokke	b l O k @
blokkeer	b l O k i@ r
blokkies	b l O k i s
blokkiesraaisel	b l O k i s r A:i s @ l
blokprogram	b l O k p r u x r a m
blom	b l O m
blomdekblare	b l O m d { k b l A: r @
blomme	b l O m @
blommeskou	b l O m @ s k @u
blomplante	b l O m p l a n t @
blompot	b l O m p O t
blomtyd	b l O m t @i t
blomvorming	b l O m f O r @ m @ N
blond	b l O n t
blonde	b l O n d @
blondekop	b l O n d @ k O p
blondine	b l O n d i n @
bloot	b l u@ t
blootgelê	b l u@ t x @ l E
blootgestel	b l u@ t x @ s t { l
blootlegging	b l u@ t l { x @ N
blootlê	b l u@ t l E
bloots	b l u@ t s
blootstel	b l u@ t s t { l
blootstelling	b l u@ t s t { l @ N
blos	b l O s
blosend	b l u@ s @ n t
blote	b l u@ t @
blou	b l @u
bloue	b l @u @
bloues	b l @u @ s
blougroen	b l @u x r u n
blouputs	b l @u p 9 t s
bloute	b l @u t @
bloutjie	b l @u k i
blues	b l u z
blus	b l 9 s
bly	b l @i
blydskap	b l @i t s k a p
blye	b l @i @
blyk	b l @i k
blykbaar	b l @i k b A: r
blyke	b l @i k @
blyplek	b l @i p l { k
blyplekke	b l @i p l { k @
blywend	b l @i v @ n t
blywende	b l @i v @ n d @
bo	b u@
boa	b u a
boaan	b u@ A: n
boarm	b u@ a r @ m
bobaas	b u@ b A: s
bobbejaan	b O b @ j A: n
bobbejaandraai	b O b @ j A: n d r A:i
bobbejane	b O b @ j A: n @
bobelasting	b u@ b @ l a s t @ N
bobene	b u@ b i@ n @
bobotie	b u b u@ t i
bod	b O t
bodem	b u@ d @ m
bodemlose	b u@ d @ m l u@ s @
boe	b u
boeboe	b u b u
boeddha	b u d a
boeddhas	b u d a s
boeddhisme	b u d @ s m @
boeddhiste	b u d @ s t @
boedel	b u d @ l
boedelbates	b u d @ l b A: t @ s
boedelbelasting	b u d @ l b @ l a s t @ N
boedelsamesmelting	b u d @ l s A: m @ s m { l t @ N
boef	b u f
boeg	b u x
boegoe	b u x u
boei	b ui
boeiend	b ui @ n t
boeiende	b ui @ n d @
boeiing	b @u i N
boek	b u k
boekdele	b u k d i@ l @
boeke	b u k @
boeken	b u k @ n
boekhandel	b u k h\ a n d @ l
boekhandelaars	b u k h\ a n d @ l A: r s
boekhuis	b u k h\ 9y s
boekie	b u k i
boekies	b u k i s
boekjaar	b u k j A: r
boekjare	b u k j A: r @
boekklub	b u k k l 9 b
boekrakke	b u k r a k @
boekstaaf	b u k s t A: f
boekvorm	b u k f O r @ m
boekwinkel	b u k v @ N k @ l
boekwinkels	b u k v @ N k @ l s
boel	b u l
boelie	b u l i
boem	b u m
boemelaars	b u m @ l A: r s
boemerang	b u m @ r a N
boendoe	b u n d u
boer	b u r
boerboel	b u r b u l
boerdery	b u r d @ r @i
boerderybedrywighede	b u r d @ r @i b @ d r @i v @ x h\ i@ d @
boere	b u r @
boerebedryf	b u r @ b @ d r @i f
boeremag	b u r @ m a x
boeremagte	b u r @ m a x t @
boeren	b u r @ n
boereoorlog	b u r @ u@ r l O x
boeresport	b u r @ s p O r t
boerevereniging	b u r @ f @ r i@ n @ x @ N
boerevroue	b u r @ f r @u @
boerewors	b u r @ v O r s
boerpot	b u r p O t
boers	b u r s
boerseun	b u r s 2: n
boesem	b u s @ m
boesemvriend	b u s @ m f r i n t
boesemvriende	b u s @ m f r i n d @
boet	b u t
boeta	b u t a
boetatjie	b u t ai k i
boete	b u t @
boetes	b u t @ s
boetie	b u t i
boetiek	b u t i k
boetieks	b u t i k s
boeties	b u t i s
boetman	b u t m a n
boewe	b u v @
boewery	b u v @ r @i
bof	b O f
bofhou	b O f h\ @u
bofhoue	b O f h\ @u @
bog	b O x
bogemiddeld	b u@ x @ m @ d @ l t
bogenoemde	b u@ x @ n u m d @
bogrond	b u@ x r O n t
bogrondse	b u@ x r O n t s @
bohaai	b u h\ A:i
boikot	b Oi k O t
boikotte	b Oi k O t @
bok	b O k
bokant	b u@ k a n t
bokke	b O k @
bokkie	b O k i
bokkies	b O k i s
bokoste	b u@ k O s t @
bokpoot	b O k p u@ t
boks	b O k s
boksbeheerraad	b O k s b @ h\ i@ r r A: t
bokse	b O k s @
bokser	b O k s @ r
boksers	b O k s @ r s
boksie	b O k s i
bokskryt	b O k s k r @i t
bokspan	b O k s p a n
bokspring	b O k s p r @ N
boksquad	b O k s k u a d
bokstoernooi	b O k s t u r n O:i
bol	b O l
bolaag	b u@ l A: x
bolip	b u@ l @ p
bolla	b O l a
bolyf	b u@ l @i f
bom	b O m
bomaanval	b O m A: n f a l
bomaanvalle	b O m A: n f a l @
bombaai	b O m b A:i
bombardement	b O m b a r d @ m E n t
bomdreigemente	b O m d r @i x @ m E n t @
bome	b u@ m @
bomme	b O m @
bomontploffing	b O m O n t p l O f @ N
bomontploffings	b O m O n t p l O f @ N s
bomplanter	b O m p l a n t @ r
bomplanters	b O m p l a n t @ r s
bomskok	b O m s k O k
bomwerpers	b O m v { r p @ r s
bon	b O n
bona	b @u n a
bonanza	b u n a n z a
bonatuurlike	b u@ n a t y r l @ k @
bond	b O n t
bonde	b O n d @
bondel	b O n d @ l
bondels	b O n d @ l s
bondeltjie	b O n d @ l k i
bondgenoot	b O n t x @ n u@ t
bondgenote	b O n t x @ n u@ t @
bondig	b O n d @ x
bondige	b O n d @ x @
bondigheid	b O n d @ x h\ @i t
bone	b u@ n @
bonhomie	b O n h\ u m i
bons	b O n s
bont	b O n t
bontstaan	b O n t s t A: n
bonus	b u@ n 9 s
bonuspunt	b u@ n 9 s p 9 n t
bonuspunte	b u@ n 9 s p 9 n t @
bonusse	b u@ n 9 s @
boodskap	b u@ t s k a p
boodskappe	b u@ t s k a p @
boodskapper	b u@ t s k a p @ r
boogskiet	b u@ x s k i t
booi	b O:i
boom	b u@ m
boomdiagram	b u@ m d i a x r a m
boompie	b u@ m p i
boompies	b u@ m p i s
boomplantdag	b u@ m p l a n t d a x
boomstam	b u@ m s t a m
boomstompe	b u@ m s t O m p @
boomtoppe	b u@ m t O p @
boon	b u@ n
boonop	b u@ n O p
boonste	b u@ n s t @
boontjie	b O:i N k i
boontjies	b O:i N k i s
boontoe	b u@ n t u
boor	b u@ r
boord	b u@ r t
boorde	b u@ r d @
boordjie	b u@ r k i
boorgat	b u@ r x a t
boorgate	b u@ r x A: t @
boorling	b u@ r l @ N
boorwerk	b u@ r v { r k
boos	b u@ s
boosheid	b u@ s h\ @i t
booswig	b u@ s v @ x
booswigte	b u@ s v @ x t @
boot	b u@ t
bootjie	b O:i k i
bootreis	b u@ t r @i s
bootsman	b u@ t s m a n
bopunt	b u@ p 9 n t
bord	b O r t
borde	b O r d @
bordeel	b O r d i@ l
bordjie	b O r k i
bordjies	b O r k i s
borduur	b O r d y r
bore	b u@ r @
borg	b O r x
borgaansoek	b O r x A: n s u k
borge	b O r g @
borggeld	b O r x x { l t
borgskap	b O r x s k a p
borgskappe	b O r x s k a p @
borgtog	b O r x t O x
borgtogaansoek	b O r x t O x A: n s u k
borgtogvoorwaardes	b O r x t O x f u@ r v A: r d @ s
borgvoorwaardes	b O r x f u@ r v A: r d @ s
borrel	b O r @ l
borrelende	b O r @ l @ n d @
borrels	b O r @ l s
bors	b O r s
borsbeeld	b O r s b i@ l t
borsbeen	b O r s b i@ n
borskanker	b O r s k a N k @ r
borskas	b O r s k a s
borsmelk	b O r s m { l k
borsslag	b O r s s l a x
borste	b O r s t @
borsvoed	b O r s f u t
borsvoeding	b O r s f u d @ N
borsweefsel	b O r s v i@ f s @ l
bos	b O s
bosberaad	b O s b @ r A: t
bosbokrand	b O s b O k r a n t
bosbou	b O s b @u
bose	b u@ s @
bosniese	b O s n i s @
bosoorlog	b O s u@ r l O x
bosse	b O s @
bossie	b O s i
bossies	b O s i s
bostaande	b u@ s t A: n d @
bostuk	b u@ s t 9 k
bosveld	b O s f { l t
bot	b O t
botaniese	b u t A: n i s @
bote	b u@ t @
botha	b u@ t a
botoon	b u@ t u@ n
bots	b O t s
botsende	b O t s @ n d @
botsing	b O t s @ N
botsings	b O t s @ N s
bottel	b O t @ l
bottels	b O t @ l s
botteltjie	b O t @ l k i
botter	b O t @ r
botweg	b O t v { x
bou	b @u
boubedryf	b @u b @ d r @i f
boubedrywighede	b @u b @ d r @i v @ x h\ i@ d @
boublokke	b @u b l O k @
boud	b @u t
boude	b @u d @
bouer	b @u @ r
bouers	b @u @ r s
bouery	b @u @ r @i
bougenootskap	b @u x @ n u@ t s k a p
boukontrakteur	b @u k O n t r a k t 2: r
boukontrakteurs	b @u k O n t r a k t 2: r s
boukuns	b @u k 9 n s
boul	b @u l
boulaanval	b @u l A: n f a l
boulbeurt	b @u l b 2: r t
boulbeurte	b @u l b 2: r t @
boulers	b @u l @ r s
boulevard	b u l @ v A: r t
boulontleding	b @u l O n t l i@ d @ N
boulsyfers	b @u l s @i f @ r s
boulwerk	b @u l v { r k
boumateriaal	b @u m a t i r i A: l
bouperseel	b @u p { r s i@ l
bouplan	b @u p l a n
bouprojek	b @u p r u j E k
bouprojekte	b @u p r u j E k t @
bouregulasies	b @u r E x y l A: s i s
bourekenaars	b @u r i@ k @ n A: r s
bousteen	b @u s t i@ n
boustene	b @u s t i@ n @
bout	b @u t
bouterrein	b @u t @ r @i n
boutjie	b @u k i
bouvereniging	b @u f @ r i@ n @ x @ N
bouwerk	b @u v { r k
bovermelde	b u@ f @ r m { l d @
bowe	b u@ v @
bowenal	b u@ v @ n a l
bowendien	b u@ v @ n d i n
boyden	b Oi d @ n
boytjie	b Oi k i
bra	b r A:
braaf	b r A: f
braai	b r A:i
braaidag	b r A:i d a x
braaigeriewe	b r A:i x @ r i v @
braaipan	b r A:i p a n
braaiplek	b r A:i p l { k
braais	b r A:i s
braaivleis	b r A:i f l @i s
bragiale	b r a x i A: l @
braille	b r @i l
braking	b r A: k @ N
brand	b r a n t
brandarm	b r a n t a r @ m
brandblussers	b r a n t b l 9 s @ r s
brande	b r a n d @
brandende	b r a n d @ n d @
brander	b r a n d @ r
branderplank	b r a n d @ r p l a N k
branderplankryers	b r a n d @ r p l a N k r @i @ r s
branderryers	b r a n d @ r r @i @ r s
branders	b r a n d @ r s
brandewyn	b r a n d @ v @i n
brandgevaar	b r a n t x @ f A: r
branding	b r a n d @ N
brandmerk	b r a n t m { r k
brandoffer	b r a n t O f @ r
brandpunte	b r a n t p 9 n t @
brandpyn	b r a n t p @i n
brandskade	b r a n t s k A: d @
brandstapel	b r a n t s t A: p @ l
brandstigting	b r a n t s t @ x t @ N
brandstof	b r a n t s t O f
brandstofheffing	b r a n t s t O f h\ E f @ N
brandstofinspuiting	b r a n t s t O f @ n s p 9y t @ N
brandstofpryse	b r a n t s t O f p r @i s @
brandstowwe	b r a n t s t O v @
brandwag	b r a n t v a x
brandweer	b r a n t v i@ r
brandweerdienste	b r a n t v i@ r d i n s t @
brandweerhoof	b r a n t v i@ r h\ u@ f
brandweermanne	b r a n t v i@ r m a n @
brandweerstasie	b r a n t v i@ r s t A: s i
brandweerwa	b r a n t v i@ r v A:
brandweerwaens	b r a n t v i@ r v A: @ n s
brandwonde	b r a n t v O n d @
brasiliaanse	b r a s @ l i A: n s @
bravo	b r A: v u
bredie	b r i@ d i
breed	b r i@ t
breedste	b r i@ t s t @
breedt	b r i@ t
breedte	b r i@ t @
breedtes	b r i@ t @ s
breedvoerig	b r i@ t f u r @ x
breek	b r i@ k
breekgoed	b r i@ k x u t
breekpunt	b r i@ k p 9 n t
breekpunte	b r i@ k p 9 n t @
breekslag	b r i@ k s l a x
breekware	b r i@ k v A: r @
brei	b r @i
breier	b r @i @ r
breiers	b r @i @ r s
brein	b r @i n
breinbeserings	b r @i n b @ s i@ r @ N s
breindood	b r @i n d u@ t
breinkaart	b r @i n k A: r t
breinkind	b r @i n k @ n t
breinkrag	b r @i n k r a x
breinselle	b r @i n s { l @
breinskade	b r @i n s k A: d @
breinvliesontsteking	b r @i n f l i s O n t s t i@ k @ N
breinvolume	b r @i n v O l y m @
breiwerk	b r @i v { r k
brekfis	b r E k f @ s
breking	b r i@ k @ N
breuk	b r 2: k
breukdeel	b r 2: k d i@ l
breuke	b r 2: k @
breë	b r i @
breër	b r i @ r
brief	b r i f
briefhoof	b r i f h\ u@ f
briefhoofde	b r i f h\ u@ f d @
briefie	b r i f i
briefies	b r i f i s
briefliggaam	b r i f l @ x A: m
briefskrywer	b r i f s k r @i v @ r
