'em	@ m
cots	k Q t s
cottage	k Q t i d0Z
cottages	k Q t i d0Z @ z
cottar	k Q t @ r\
cottars	k Q t @ z
cotter	k Q t @ r\
cotters	k Q t @ z
cotton	k Q t @ n
cottoned	k Q t @ n d
cottoning	k Q t n i N
cottons	k Q t @ n z
cottontail	k Q t @ n t @i l
cottontails	k Q t @ n t @i l z
cotyledon	k Q t i l i: d @ n
cotyledons	k Q t i l i: d @ n z
couch	k au tS
couchant	k au tS @ n t
couched	k au tS t
couches	k au tS @ z
couchette	k u: S E t
couchettes	k u: S E t s
couching	k au tS i N
cougar	k u: g @ r\
cougars	k u: g @ z
cough	k Q f
coughed	k Q f t
coughing	k Q f i N
coughs	k Q f s
could	k U d
couldn't	k U d n t
couldst	k U d s t
coulter	k @u l t @ r\
coulters	k @u l t @ z
council	k au n s @ l
councillor	k au n s @ l @ r\
councillors	k au n s @ l @ z
councils	k au n s @ l z
counsel	k au n s @ l
counselled	k au n s @ l d
counselling	k au n s @ l i N
counsellor	k au n s @ l @ r\
counsellors	k au n s @ l @ z
counsels	k au n s @ l z
count	k au n t
countable	k au n t @ b @ l
countdown	k au n t d au n
countdowns	k au n t d au n z
counted	k au n t @ d
countenance	k au n t @ n @ n s
countenanced	k au n t @ n @ n s t
countenances	k au n t @ n @ n s @ s
countenancing	k au n t @ n @ n s i N
counter	k au n t @ r\
counteract	k au n t @ r\ { k t
counteracted	k au n t @ r\ { k t @ d
counteracting	k au n t @ r\ { k t i N
counteraction	k au n t @ r\ { k S @ n
counteractions	k au n t @ r\ { k S @ n z
counteracts	k au n t @ r\ { k t s
counterattack	k au n t @ r\ @ t { k
counterattacked	k au n t @ r\ @ t { k t
counterattacking	k au n t @ r\ @ t { k i N
counterattacks	k au n t @ r\ @ t { k s
counterattraction	k au n t @ r\ @ t r\ { k S @ n
counterattractions	k au n t @ r\ @ t r\ { k S @ n z
counterbalance	k au n t @ b { l @ n s
counterbalanced	k au n t @ b { l @ n s t
counterbalances	k au n t @ b { l @ n s @ s
counterbalancing	k au n t @ b { l @ n s i N
counterblast	k au n t @ b l A: s t
counterblasts	k au n t @ b l A: s t s
counterclaim	k au n t @ k l @i m
counterclaims	k au n t @ k l @i m z
counterclockwise	k au n t @ k l Q k w ai z
countered	k au n t @ d
counterespionage	k au n t @ r\ E s p i@ n A: Z
counterfeit	k au n t @ f @ t
counterfeited	k au n t @ f @ t @ d
counterfeiter	k au n t @ f @ t @ r\
counterfeiters	k au n t @ f @ t @ z
counterfeiting	k au n t @ f i t i N
counterfeits	k au n t @ f @ t s
counterfoil	k au n t @ f Oi l
counterfoils	k au n t @ f Oi l z
countering	k au n t @ r\ i N
counterintelligence	k au n t @ r\ @ n t E l i d0Z @ n s
counterirritant	k au n t @ r\ @ r\ @ t @ n t
counterirritants	k au n t @ r\ @ r\ @ t @ n t s
countermand	k au n t @ m A: n d
countermanded	k au n t @ m A: n d @ d
countermanding	k au n t @ m A: n d i N
countermands	k au n t @ m A: n d z
countermine	k au n t @ m ai n
countermined	k au n t @ m ai n d
countermines	k au n t @ m ai n z
countermining	k au n t @ m ai n i N
counteroffer	k au n t @ r\ Q f @ r\
counteroffers	k au n t @ r\ Q f @ z
counterpane	k au n t @ p @i n
counterpanes	k au n t @ p @i n z
counterpart	k au n t @ p A: t
counterparts	k au n t @ p A: t s
counterplot	k au n t @ p l Q t
counterplots	k au n t @ p l Q t s
counterplotted	k au n t @ p l Q t @ d
counterplotting	k au n t @ p l Q t i N
counterpoint	k au n t @ p Oi n t
counterpoints	k au n t @ p Oi n t s
counterpoise	k au n t @ p Oi z
counterpoised	k au n t @ p Oi z d
counterpoises	k au n t @ p Oi z @ z
counterpoising	k au n t @ p Oi z i N
counterrevolution	k au n t @ r\ E v @ l u: S @ n
counterrevolutionary	k au n t 3: r\ E v @ l u: S @ n r\ i
counters	k au n t @ z
countersank	k au n t @ s { N k
countersign	k au n t @ s ai n
countersigned	k au n t @ s ai n d
countersigning	k au n t @ s ai n i N
countersigns	k au n t @ s ai n z
countersink	k au n t @ s i N k
countersinking	k au n t @ s i N k i N
countersinks	k au n t @ s i N k s
countersunk	k au n t @ s a N k
countertenor	k au n t @ t E n @ r\
countertenors	k au n t @ t E n @ z
countervail	k au n t @ v @i l
countervailed	k au n t @ v @i l d
countervailing	k au n t @ v @i l i N
countervails	k au n t @ v @i l z
countess	k au n t @ s
countesses	k au n t @ s @ s
counties	k au n t i z
counting	k au n t i N
countless	k au n t l @ s
countries	k a n t r\ i z
countrified	k a n t r\ @ f ai d
country	k a n t r\ i
countryman	k a n t r\ @ m @ n
countrymen	k a n t r\ @ m @ n
countryside	k a n t r\ @ s ai d
countrywoman	k a n t r\ @ w U m @ n
countrywomen	k a n t r\ @ w @ m @ n
counts	k au n t s
county	k au n t i
coup	k u:
coupe	k u: p @i
couple	k a p @ l
coupled	k a p @ l d
couples	k a p @ l z
couplet	k a p l @ t
couplets	k a p l @ t s
coupling	k a p l i N
couplings	k a p l i N z
coupon	k u: p Q n
coupons	k u: p Q n z
coups	k u: z
courage	k a r\ i d0Z
courageous	k @ r\ @i d0Z @ s
courageously	k @ r\ @i d0Z @ s l i
courbet	k O: b @i
courgette	k u@ Z E t
courgettes	k u@ Z E t s
courier	k U r\ i@ r\
couriers	k U r\ i@ z
course	k O: s
coursed	k O: s t
courser	k O: s @ r\
coursers	k O: s @ z
courses	k O: s @ s
coursing	k O: s i N
coursings	k O: s i N z
court	k O: t
courted	k O: t @ d
courteous	k 3: t i@ s
courteously	k 3: t i@ s l i
courter	k O: t 3:
courtesan	k O: t i z { n
courtesans	k O: t i z { n z
courtesies	k 3: t @ s i s
courtesy	k 3: t @ s i
courtier	k O: t i@ r\
courtiers	k O: t i@ z
courting	k O: t i N
courtlier	k O: t l i@ r\
courtliest	k O: t l i @ s t
courtliness	k O: t l @ n @ s
courtly	k O: t l i
courtroom	k O: t r\ u: m
courtrooms	k O: t r\ u: m z
courts	k O: t s
courtship	k O: t S @ p
courtships	k O: t S @ p s
courtyard	k O: t j A: d
courtyards	k O: t j A: d z
cousin	k a z @ n
cousinly	k a z n l i
cousins	k a z @ n z
couture	k @ t j u@ r\
cove	k @u v
coven	k a v @ n
covenant	k a v @ n @ n t
covenanted	k a v @ n @ n t @ d
covenanting	k a v @ n @ n t i N
covenants	k a v @ n @ n t s
covens	k a v @ n z
coventry	k Q v @ n t r\ i
cover	k a v @ r\
coverage	k a v @ r\ i d0Z
covered	k a v @ d
covering	k a v @ r\ i N
coverings	k a v @ r\ i N z
coverlet	k a v @ l @ t
coverlets	k a v @ l @ t s
covers	k a v @ z
covert	k a v @ t
covertly	k a v @ t l i
coverts	k a v @ t s
coves	k @u v z
covet	k a v @ t
coveted	k a v @ t @ d
coveting	k a v i t i N
covetous	k a v @ t @ s
covetously	k a v @ t @ s l i
covetousness	k a v @ t @ s n @ s
covets	k a v @ t s
covey	k a v i
coveys	k a v i z
cow	k au
coward	k au @ d
cowardice	k au @ d @ s
cowardly	k au @ d l i
cowards	k au @ d z
cowbell	k au b E l
cowbells	k au b E l z
cowboy	k au b Oi
cowboys	k au b Oi z
cowcatcher	k au k { tS @ r\
cowcatchers	k au k { tS @ z
cowdenbeath	k au d @ n b i: T
cowed	k au d
cower	k au @ r\
cowered	k au @ d
cowering	k au @ r\ i N
cowers	k au @ z
cowes	k au z
cowhand	k au h\ { n d
cowhands	k au h\ { n d z
cowherd	k au h\ 3: d
cowherds	k au h\ 3: d z
cowhide	k au h\ ai d
cowhides	k au h\ ai d z
cowhouse	k au h\ au s
cowhouses	k au h\ au z @ z
cowing	k au i N
cowl	k au l
cowling	k au l i N
cowlings	k au l i N z
cowls	k au l z
cowman	k au m { n
cowmen	k au m E n
cowpox	k au p Q k s
cowpoxes	k au p Q k s @ s
cowrie	k au r\ i
cowries	k au r\ i z
cows	k au z
cowshed	k au S E d
cowsheds	k au S E d z
cowskin	k au s k i n
cowskins	k au s k i n z
cowslip	k au s l @ p
cowslips	k au s l @ p s
cox	k Q k s
coxcomb	k Q k s k @u m
coxcombs	k Q k s k @u m z
coxed	k Q k s t
coxes	k Q k s @ s
coxing	k Q k s i N
coxswain	k Q k s @ n
coxswains	k Q k s @ n z
coy	k Oi
coyer	k Oi @ r\
coyest	k Oi @ s t
coyly	k Oi l i
coyness	k Oi n @ s
coyote	k Oi @u t
coyotes	k Oi @u t s
coypu	k Oi p u:
coypus	k Oi p u: z
cozen	k a z @ n
cozened	k a z @ n d
cozening	k a z n i N
cozens	k a z @ n z
cozier	k @u z i@ r\
coziest	k @u z i @ s t
cozy	k @u z i
crab	k r\ { b
crabbed	k r\ { b @ d
crabbing	k r\ { b i N
crabs	k r\ { b z
crack	k r\ { k
cracked	k r\ { k t
cracker	k r\ { k @ r\
crackers	k r\ { k @ z
cracking	k r\ { k i N
crackle	k r\ { k @ l
crackled	k r\ { k @ l d
crackles	k r\ { k @ l z
crackleware	k r\ { k @ l w e@ r\
crackling	k r\ { k l i N
crackpot	k r\ { k p Q t
crackpots	k r\ { k p Q t s
cracks	k r\ { k s
cracksman	k r\ { k s m @ n
cracksmen	k r\ { k s m @ n
cradle	k r\ @i d @ l
cradled	k r\ @i d @ l d
cradles	k r\ @i d @ l z
cradling	k r\ @i d l i N
craft	k r\ A: f t
craftier	k r\ A: f t i@ r\
craftiest	k r\ A: f t i @ s t
craftily	k r\ A: f t i l i
craftiness	k r\ A: f t @ n @ s
crafts	k r\ A: f t s
craftsman	k r\ A: f t s m @ n
craftsmanship	k r\ A: f t m @ n S @ p
craftsmen	k r\ A: f t s m @ n
crafty	k r\ A: f t i
crag	k r\ { g
cragged	k r\ { g @ d
craggier	k r\ { g i@ r\
craggiest	k r\ { g i @ s t
craggy	k r\ { g i
crags	k r\ { g z
cragsman	k r\ { g z m @ n
cragsmen	k r\ { g z m @ n
crake	k r\ @i k
crakes	k r\ @i k s
cram	k r\ { m
cramlington	k r\ { m l i N t @ n
crammed	k r\ { m d
crammer	k r\ { m @ r\
crammers	k r\ { m @ z
cramming	k r\ { m i N
cramp	k r\ { m p
cramped	k r\ { m p t
cramping	k r\ { m p i N
crampon	k r\ { m p Q n
crampons	k r\ { m p Q n z
cramps	k r\ { m p s
crams	k r\ { m z
cranberries	k r\ { n b @ r\ i z
cranberry	k r\ { n b @ r\ i
crane	k r\ @i n
craned	k r\ @i n d
cranes	k r\ @i n z
cranial	k r\ @i n i@ l
craning	k r\ @i n i N
cranium	k r\ @i n i@ m
craniums	k r\ @i n i@ m z
crank	k r\ { N k
cranked	k r\ { N k t
crankier	k r\ { N k i@ r\
crankiest	k r\ { N k i @ s t
cranking	k r\ { N k i N
cranks	k r\ { N k s
crankshaft	k r\ { n k S A: f t
crankshafts	k r\ { n k S A: f t s
cranky	k r\ { N k i
crannied	k r\ { n i d
crannies	k r\ { n i z
cranny	k r\ { n i
crap	k r\ { p
crape	k r\ @i p
crapped	k r\ { p t
crapping	k r\ { p i N
craps	k r\ { p s
crash	k r\ { S
crashed	k r\ { S t
crashes	k r\ { S @ z
crashing	k r\ { S i N
crass	k r\ { s
crate	k r\ @i t
crated	k r\ @i t @ d
crater	k r\ @i t @ r\
craters	k r\ @i t @ z
crates	k r\ @i t s
crating	k r\ @i t i N
cravat	k r\ @ v { t
cravats	k r\ @ v { t s
crave	k r\ @i v
craved	k r\ @i v d
craven	k r\ @i v @ n
cravens	k r\ @i v @ n z
craves	k r\ @i v z
craving	k r\ @i v i N
cravings	k r\ @i v i N z
crawfish	k r\ O: f i S
crawfishes	k r\ O: f i S @ z
crawl	k r\ O: l
crawled	k r\ O: l d
crawler	k r\ O: l @ r\
crawlers	k r\ O: l @ z
crawley	k r\ O: l i
crawling	k r\ O: l i N
crawls	k r\ O: l z
crayfish	k r\ @i f i S
crayfishes	k r\ @i f i S @ z
crayon	k r\ @i @ n
crayoned	k r\ @i @ n d
crayoning	k r\ @i @ n i N
crayons	k r\ @i @ n z
craze	k r\ @i z
crazed	k r\ @i z d
crazes	k r\ @i z @ z
crazier	k r\ @i z i@ r\
craziest	k r\ @i z i @ s t
crazily	k r\ @i z i l i
craziness	k r\ @i z @ n @ s
crazy	k r\ @i z i
creak	k r\ i: k
creaked	k r\ i: k t
creakier	k r\ i: k i@ r\
creakiest	k r\ i: k i @ s t
creakily	k r\ i: k i l i
creaking	k r\ i: k i N
creaks	k r\ i: k s
creaky	k r\ i: k i
cream	k r\ i: m
creamed	k r\ i: m d
creameries	k r\ i: m @ r\ i z
creamery	k r\ i: m @ r\ i
creamier	k r\ i: m i@ r\
creamiest	k r\ i: m i @ s t
creaming	k r\ i: m i N
creams	k r\ i: m z
creamy	k r\ i: m i
crease	k r\ i: s
creased	k r\ i: s t
creases	k r\ i: s @ s
creasing	k r\ i: s i N
create	k r\ i: @i t
created	k r\ i: @i t @ d
creates	k r\ i: @i t s
creating	k r\ i: @i t i N
creation	k r\ i: @i S @ n
creations	k r\ i: @i S @ n z
creative	k r\ i: @i t @ v
creatively	k r\ i: @i t @ v l i
creativeness	k r\ i: @i t @ v n @ s
creator	k r\ i: @i t @ r\
creators	k r\ i: @i t @ z
creature	k r\ i: tS @ r\
creatures	k r\ i: tS @ z
credence	k r\ i: d @ n s
credentials	k r\ i d E n S @ l z
credibility	k r\ E d i b i l i t i
credible	k r\ E d @ b @ l
credibly	k r\ E d @ b l i
credit	k r\ E d @ t
creditable	k r\ E d @ t @ b @ l
creditably	k r\ E d @ t @ b l i
credited	k r\ E d @ t @ d
crediting	k r\ E d i t i N
creditor	k r\ E d @ t @ r\
creditors	k r\ E d @ t @ z
credits	k r\ E d @ t s
credo	k r\ i: d @u
credos	k r\ i: d @u z
credulities	k r\ i d j u: l i t i z
credulity	k r\ i d j u: l i t i
credulous	k r\ E d j U l @ s
credulously	k r\ E d j U l @ s l i
creed	k r\ i: d
creeds	k r\ i: d z
creek	k r\ i: k
creeks	k r\ i: k s
creel	k r\ i: l
creels	k r\ i: l z
creep	k r\ i: p
creeper	k r\ i: p @ r\
creepers	k r\ i: p @ z
creepier	k r\ i: p i@ r\
creepiest	k r\ i: p i @ s t
creeping	k r\ i: p i N
creeps	k r\ i: p s
creepy	k r\ i: p i
cremate	k r\ i m @i t
cremated	k r\ i m @i t @ d
cremates	k r\ i m @i t s
cremating	k r\ i m @i t i N
cremation	k r\ i m @i S @ n
cremations	k r\ i m @i S @ n z
crematoria	k r\ E m @ t O: r\ i@
crematories	k r\ E m @ t @ r\ i z
crematorium	k r\ E m @ t O: r\ i@ m
crematoriums	k r\ E m @ t O: r\ i@ m z
crematory	k r\ E m @ t @ r\ i
crenellated	k r\ E n @ l @i t @ d
creole	k r\ i: @u l
creoles	k r\ i: @u l z
creosote	k r\ i@ s @u t
crepe	k r\ @i p
crepitate	k r\ E p @ t @i t
crepitated	k r\ E p @ t @i t @ d
crepitates	k r\ E p @ t @i t s
crepitating	k r\ E p @ t @i t i N
crepitation	k r\ E p @ t @i S @ n
crepitations	k r\ E p @ t @i S @ n z
crept	k r\ E p t
crepuscular	k r\ i p a s k j U l @ r\
cres	k r\ E z
crescendo	k r\ i S E n d @u
crescendos	k r\ i S E n d @u z
crescent	k r\ E s @ n t
crescents	k r\ E s @ n t s
cress	k r\ E s
crest	k r\ E s t
crested	k r\ E s t @ d
crestfallen	k r\ E s t f O: l @ n
cresting	k r\ E s t i N
crests	k r\ E s t s
creswell	k r\ E s w @ l
cretaceous	k r\ i t @i S @ s
crete	k r\ i: t
cretin	k r\ E t @ n
cretinous	k r\ E t @ n @ s
cretins	k r\ E t @ n z
cretonne	k r\ E t Q n
crevasse	k r\ i v { s
crevasses	k r\ i v { s @ s
crevice	k r\ E v @ s
crevices	k r\ E v @ s @ s
crew	k r\ u:
crewe	k r\ u:
crewed	k r\ u: d
crewing	k r\ u: i N
crews	k r\ u: z
crib	k r\ @ b
cribbage	k r\ i b i d0Z
cribbed	k r\ @ b d
cribbing	k r\ i b i N
cribs	k r\ @ b z
crick	k r\ i k
cricked	k r\ i k t
cricket	k r\ i k @ t
cricketer	k r\ i k @ t @ r\
cricketers	k r\ i k @ t @ z
crickets	k r\ i k @ t s
cricking	k r\ i k i N
cricks	k r\ i k s
cried	k r\ ai d
crieff	k r\ i: f
crier	k r\ ai @ r\
criers	k r\ ai @ z
cries	k r\ ai z
crikey	k r\ ai k i
crime	k r\ ai m
crimea	k r\ ai m i: @
crimed	k r\ ai m d
crimes	k r\ ai m z
criminal	k r\ @ m @ n @ l
criminality	k r\ @ m @ n { l i t i
criminally	k r\ @ m @ n @ l i
criminals	k r\ @ m @ n @ l z
criming	k r\ ai m i N
criminology	k r\ i m i n Q l @ d0Z i
crimp	k r\ @ m p
crimped	k r\ @ m p t
crimping	k r\ @ m p i N
crimps	k r\ @ m p s
crimson	k r\ @ m z @ n
crimsoned	k r\ @ m z @ n d
crimsoning	k r\ @ m z n i N
crimsons	k r\ @ m z @ n z
cringe	k r\ i n d0Z
cringed	k r\ i n d0Z d
cringes	k r\ i n d0Z @ z
cringing	k r\ i n d0Z i N
crinkle	k r\ i N k @ l
crinkled	k r\ i N k @ l d
crinkles	k r\ i N k @ l z
crinklier	k r\ i N k l i@ r\
crinkliest	k r\ i N k l i @ s t
crinkling	k r\ i N k l i N
crinkly	k r\ i N k l i
crinoline	k r\ @ n @ l @ n
crinolines	k r\ @ n @ l @ n z
cripes	k r\ ai p s
cripple	k r\ @ p @ l
crippled	k r\ @ p @ l d
cripples	k r\ @ p @ l z
crippling	k r\ i p l i N
crises	k r\ ai s i: z
crisis	k r\ ai s @ s
crisp	k r\ @ s p
crisped	k r\ @ s p t
crisper	k r\ @ s p @ r\
crispest	k r\ @ s p @ s t
crisping	k r\ i s p i N
crisply	k r\ @ s p l i
crispness	k r\ @ s p n @ s
crisps	k r\ @ s p s
crisscross	k r\ @ s k r\ Q s
crisscrossed	k r\ @ s k r\ Q s t
crisscrosses	k r\ @ s k r\ Q s @ s
crisscrossing	k r\ @ s k r\ Q s i N
cristiani	k r\ i s t i: { n i
criteria	k r\ ai t i@ r\ i@
criterion	k r\ ai t i@ r\ i@ n
criterions	k r\ ai t i@ r\ i@ n z
critic	k r\ i t i k
critical	k r\ i t i k @ l
critically	k r\ i t i k l i
criticism	k r\ @ t @ s @ z @ m
criticisms	k r\ @ t @ s @ z @ m z
criticize	k r\ @ t @ s ai z
criticized	k r\ @ t @ s ai z d
criticizes	k r\ @ t @ s ai z @ z
criticizing	k r\ @ t @ s ai z i N
critics	k r\ i t i k s
critique	k r\ i t i: k
critiques	k r\ i t i: k s
croak	k r\ @u k
croaked	k r\ @u k t
croaking	k r\ @u k i N
croaks	k r\ @u k s
croatia	k r\ @u @i S i@
croatian	k r\ @u @i S @ n
croatians	k r\ @u @i S @ n z
croats	k r\ Q { t s
crochet	k r\ @u S @i
crocheted	k r\ @u S @i d
crocheting	k r\ @u S @i i N
crochets	k r\ @u S @i z
crocidolite	k r\ @u s @ d @ l ai t
crock	k r\ Q k
crocked	k r\ Q k t
crockery	k r\ Q k @ r\ i
crocking	k r\ Q k i N
crocks	k r\ Q k s
crocodile	k r\ Q k @ d ai l
crocodiles	k r\ Q k @ d ai l z
crocus	k r\ @u k @ s
crocuses	k r\ @u k @ s @ s
croesus	k r\ i: s @ s
croft	k r\ Q f t
crofter	k r\ Q f t @ r\
crofters	k r\ Q f t @ z
crofts	k r\ Q f t s
cromer	k r\ @u m @ r\
cromlech	k r\ Q m l E k
cromlechs	k r\ Q m l E k s
crone	k r\ @u n
crones	k r\ @u n z
cronies	k r\ @u n i z
crony	k r\ @u n i
crook	k r\ U k
crooked	k r\ U k @ d
crookedly	k r\ U k @ d l i
crookedness	k r\ U k @ d n @ s
crooking	k r\ U k i N
crooks	k r\ U k s
croon	k r\ u: n
crooned	k r\ u: n d
crooner	k r\ u: n @ r\
crooners	k r\ u: n @ z
crooning	k r\ u: n i N
croons	k r\ u: n z
crop	k r\ Q p
cropped	k r\ Q p t
cropper	k r\ Q p @ r\
croppers	k r\ Q p @ z
cropping	k r\ Q p i N
crops	k r\ Q p s
croquet	k r\ @u k @i
croquette	k r\ @u k E t
croquettes	k r\ @u k E t s
crore	k r\ O: r\
crores	k r\ O: z
crosby	k r\ Q s b i
crosier	k r\ @u z i@ r\
crosiers	k r\ @u z i@ z
cross	k r\ Q s
crossbar	k r\ Q s b A: r\
crossbars	k r\ Q s b A: z
crossbeam	k r\ Q s b i: m
crossbeams	k r\ Q s b i: m z
crossbones	k r\ Q s b @u n z
crossbow	k r\ Q s b @u
crossbows	k r\ Q s b @u z
crossbred	k r\ Q s b r\ E d
crossbreed	k r\ Q s b r\ i: d
crossbreeding	k r\ Q s b r\ i: d i N
crossbreeds	k r\ Q s b r\ i: d z
crosscheck	k r\ Q s tS E k
crosschecked	k r\ Q s tS E k t
crosschecking	k r\ Q s tS E k i N
crosschecks	k r\ Q s tS E k s
crosscountry	k r\ Q s k a n t r\ i
crosscurrent	k r\ Q s k a r\ @ n t
crosscurrents	k r\ Q s k a r\ @ n t s
crosscut	k r\ Q s k a t
crosscuts	k r\ Q s k a t s
crosse	k r\ Q s
crossed	k r\ Q s t
crosses	k r\ Q s @ s
crosseyed	k r\ Q s ai d
crossfire	k r\ Q s f ai @ r\
crossfires	k r\ Q s f ai @ z
crossing	k r\ Q s i N
crossings	k r\ Q s i N z
crosskeys	k r\ Q s k i: z
crossly	k r\ Q s l i
crossness	k r\ Q s n @ s
crosspatch	k r\ Q s p { tS
crosspatches	k r\ Q s p { tS @ z
crosspiece	k r\ Q s p i: s
crosspieces	k r\ Q s p i: s @ s
crossroad	k r\ Q s r\ @u d
crossroads	k r\ Q s r\ @u d z
crosstalk	k r\ Q s t O: k
crosstrees	k r\ Q s t r\ i: z
crosswalk	k r\ Q s w O: k
crosswalks	k r\ Q s w O: k s
crosswind	k r\ Q s w @ n d
crosswinds	k r\ Q s w @ n d z
crosswise	k r\ Q s w ai z
crossword	k r\ Q s w 3: d
crosswords	k r\ Q s w 3: d z
crotch	k r\ Q tS
crotches	k r\ Q tS @ z
crotchet	k r\ Q tS @ t
crotchets	k r\ Q tS @ t s
crotchety	k r\ Q tS i t i
crouch	k r\ au tS
crouched	k r\ au tS t
crouches	k r\ au tS @ z
crouching	k r\ au tS i N
croup	k r\ u: p
croupier	k r\ u: p i @i
croupiers	k r\ u: p i @i z
croups	k r\ u: p s
crow	k r\ @u
crowbar	k r\ @u b A: r\
crowbars	k r\ @u b A: z
crowborough	k r\ @u b @ r\ @
crowd	k r\ au d
crowded	k r\ au d @ d
crowding	k r\ au d i N
crowds	k r\ au d z
crowe	k r\ @u
crowed	k r\ @u d
crowing	k r\ @u i N
crown	k r\ au n
crowned	k r\ au n d
crowning	k r\ au n i N
crowns	k r\ au n z
crows	k r\ @u z
crowthorne	k r\ @u T O: n
croydon	k r\ Oi d @ n
crozier	k r\ @u z i@ r\
croziers	k r\ @u z i@ z
crucial	k r\ u: S @ l
crucially	k r\ u: S @ l i
crucible	k r\ u: s @ b @ l
crucibles	k r\ u: s @ b @ l z
crucified	k r\ u: s @ f ai d
crucifies	k r\ u: s @ f ai z
crucifix	k r\ u: s i f i k s
crucifixes	k r\ u: s i f i k s @ s
crucifixion	k r\ u: s i f i k S @ n
crucifixions	k r\ u: s i f i k S @ n z
cruciform	k r\ u: s i f O: m
crucify	k r\ u: s @ f ai
crucifying	k r\ u: s @ f ai i N
crude	k r\ u: d
crudely	k r\ u: d l i
crudeness	k r\ u: d n @ s
cruder	k r\ u: d @ r\
crudest	k r\ u: d @ s t
crudities	k r\ u: d i t i z
crudity	k r\ u: d i t i
cruel	k r\ u@ l
crueller	k r\ u@ l @ r\
cruellest	k r\ u@ l @ s t
cruelly	k r\ u@ l i
cruelties	k r\ u: @ l t i z
cruelty	k r\ u: @ l t i
cruet	k r\ u: @ t
cruets	k r\ u: @ t s
cruise	k r\ u: z
cruised	k r\ u: z d
cruiser	k r\ u: z @ r\
cruisers	k r\ u: z @ z
cruises	k r\ u: z @ z
cruising	k r\ u: z i N
crumb	k r\ a m
crumble	k r\ a m b @ l
crumbled	k r\ a m b @ l d
crumbles	k r\ a m b @ l z
crumblier	k r\ a m b l i@ r\
crumbliest	k r\ a m b l i @ s t
crumbling	k r\ a m b l i N
crumbly	k r\ a m b l i
crumbs	k r\ a m z
crumpet	k r\ a m p @ t
crumpets	k r\ a m p @ t s
crumple	k r\ a m p @ l
crumpled	k r\ a m p @ l d
crumples	k r\ a m p @ l z
crumpling	k r\ a m p l i N
crunch	k r\ a n tS
crunched	k r\ a n tS t
crunches	k r\ a n tS @ z
crunching	k r\ a n tS i N
crupper	k r\ a p @ r\
cruppers	k r\ a p @ z
crusade	k r\ u: s @i d
crusaded	k r\ u: s @i d @ d
crusader	k r\ u: s @i d @ r\
crusaders	k r\ u: s @i d @ z
crusades	k r\ u: s @i d z
crusading	k r\ u: s @i d i N
cruse	k r\ u: z
cruses	k r\ u: z @ z
crush	k r\ a S
crushed	k r\ a S t
crushes	k r\ a S @ z
crushing	k r\ a S i N
crushingly	k r\ a S i N l i
crust	k r\ a s t
crustacean	k r\ a s t @i S @ n
crustaceans	k r\ a s t @i S @ n z
crusted	k r\ a s t @ d
crustier	k r\ a s t i@ r\
crustiest	k r\ a s t i @ s t
crusting	k r\ a s t i N
crusts	k r\ a s t s
crusty	k r\ a s t i
crutch	k r\ a tS
crutches	k r\ a tS @ z
crux	k r\ a k s
cruxes	k r\ a k s @ s
cruz	k r\ u: z
cruzeiro	k r\ u: z e@ r\ @u
cruzeiros	k r\ u: z e@ r\ @u z
cry	k r\ ai
crybabies	k r\ ai b @i b i z
crybaby	k r\ ai b @i b i
crying	k r\ ai i N
crypt	k r\ @ p t
cryptic	k r\ @ p t i k
cryptically	k r\ @ p t i k l i
cryptogram	k r\ @ p t @ g r\ { m
cryptograms	k r\ @ p t @ g r\ { m z
crypts	k r\ @ p t s
crystal	k r\ @ s t @ l
crystalline	k r\ @ s t @ l ai n
crystallization	k r\ @ s t @ l ai z @i S @ n
crystallizations	k r\ @ s t @ l ai z @i S @ n z
crystallize	k r\ @ s t @ l ai z
crystallized	k r\ @ s t @ l ai z d
crystallizes	k r\ @ s t @ l ai z @ z
crystallizing	k r\ @ s t @ l ai z i N
crystallography	k r\ @ s t @ l Q g r\ @ f i
crystals	k r\ @ s t @ l z
cub	k a b
cuba	k j u: b @
cuban	k j u: b @ n
cubans	k j u: b @ n z
cubbyhole	k a b i h\ @u l
cubbyholes	k a b i h\ @u l z
cube	k j u: b
cubed	k j u: b d
cubes	k j u: b z
cubic	k j u: b i k
cubical	k j u: b i k @ l
cubicle	k j u: b i k @ l
cubicles	k j u: b i k @ l z
cubing	k j u: b i N
cubism	k j u: b @ z @ m
cubist	k j u: b @ s t
cubists	k j u: b @ s t s
cubit	k j u: b @ t
cubits	k j u: b @ t s
cubs	k a b z
cuckold	k a k @u l d
cuckolded	k a k @u l d @ d
cuckolding	k a k @u l d i N
cuckolds	k a k @u l d z
cuckoo	k U k u:
cuckoos	k U k u: z
cucumber	k j u: k a m b @ r\
cucumbers	k j u: k a m b @ z
cud	k a d
cuddle	k a d @ l
cuddled	k a d @ l d
cuddles	k a d @ l z
cuddlesome	k a d @ l s @ m
cuddlier	k a d l i@ r\
cuddliest	k a d l i @ s t
cuddling	k a d l i N
cuddly	k a d l i
cudgel	k a d0Z @ l
cudgeled	k a d0Z @ l d
cudgeling	k a d0Z @ l i N
cudgels	k a d0Z @ l z
cudworth	k a d w @ T
cue	k j u:
cues	k j u: z
cuff	k a f
cuffed	k a f t
cuffing	k a f i N
cuffley	k a f l i
cuffs	k a f s
cuirass	k w i r\ { s
cuirasses	k w i r\ { s @ s
