tsebe	ts> E b E
bolokile	b O l O k> i l E
fetolweng	f E t> O l w E N
seraro	s E r a r O
lemile	l E m i l E
mafelelong	m a f E l E l O N
tlaleletsong	tl> a l E l E ts> O N
kgobokaneng	kx O b O k> a n E N
tlhagotse	tlh a x O ts> E
gileng	x i l E N
dinong	d i n O N
buisanang	b u i s a n a N
itemela	i t> E m E l a
dibanka	d i b a n k> a
diala	d i a l a
rotloeditswe	r O tl> O E d i ts> w E
tolokela	t> O l O k> E l a
melaong	m E l a O N
morago	m O r a x O
kumolwa	k> u m O l w a
kutlwanong	k> u tl> w a n O N
rosi	r O s i
ananya	a n a J a
lekgabana	l E kx a b a n a
kgomane	kx O m a n E
mekgabiso	m E kx a b i s O
dikgatong	d i kx a t> O N
tshekatshekong	tsh E k> a tsh E k> O N
thibelelwe	th i b E l E l w E
malalediwa	m a l a l E d i w a
kalaka	k> a l a k> a
busetswa	b u s E ts> w a
dimao	d i m a O
maitlamo	m a i tl> a m O
senama	s E n a m a
lwantshang	l w a n tsh a N
dikgaolo	d i kx a O l O
tlhaolo	tlh a O l O
dirutegi	d i r u t> E x i
diantifone	d i a n t> i f O n E
tlhotlhelediwang	tlh O tlh E l E d i w a N
khurumeditswe	kh u r u m E d i ts> w E
lwale	l w a l E
kgopo	kx O p> O
mmogisa	m m O x i s a
adimetsweng	a d i m E ts> w E N
sekwang	s E k> w a N
lepeletseng	l E p> E l E ts> E N
kananyo	k> a n a J O
poelong	p> O E l O N
padimotse	p> a d i m O ts> E
kgakololo	kx a k> O l O l O
dithulano	d i th u l a n O
kotama	k> O t> a m a
tle	tl> E
mmolaela	m m O l a E l a
khupediwa	kh u p> E d i w a
letsholo	l E tsh O l O
itshupo	i tsh u p> O
netefaletsa	n E t> E f a l E ts> a
iphitlhele	i ph i tlh E l E
disele	d i s E l E
bolumu	b O l u m u
tswalelong	ts> w a l E l O N
iphepa	i ph E p> a
rara	r a r a
tlhapatsa	tlh a p> a ts> a
kgabele	kx a b E l E
lemina	l E m i n a
baeno	b a E n O
tlhome	tlh O m E
fantising	f a n t> i s i N
jalelwang	d0Z a l E l w a N
poifong	p> O i f O N
tlhobaetsang	tlh O b a E ts> a N
ikwadisetswang	i k> w a d i s E ts> w a N
lepotlapotla	l E p> O tl> a p> O tl> a
senolwang	s E n O l w a N
ditlhophong	d i tlh O ph O N
kgoko	kx O k> O
tlamang	tl> a m a N
ipolokela	i p> O l O k> E l a
phatlhana	ph a tlh a n a
naletsana	n a l E ts> a n a
nthekela	n th E k> E l a
pholosa	ph O l O s a
itsapa	i ts> a p> a
karologanyo	k> a r O l O x a J O
seterata	s E t> E r a t> a
dipego	d i p> E x O
ngangisano	N a N i s a n O
ikemisetsa	i k> E m i s E ts> a
senyege	s E J E x E
bophelong	b O ph E l O N
mmanape	m m a n a p> E
foreime	f O r E i m E
tlilwe	tl> i l w E
amogele	a m O x E l E
kgaogantswe	kx a O x a n ts> w E
itsane	i ts> a n E
beilwe	b E i l w E
emisediwa	E m i s E d i w a
begela	b E x E l a
ikobelwe	i k> O b E l w E
kgobokanyetsa	kx O b O k> a J E ts> a
mminong	m m i n O N
diphopholetso	d i ph O ph O l E ts> O
kgonwe	kx O n w E
mpampetse	m p> a m p> E ts> E
dinamelweng	d i n a m E l w E N
tlhalaneng	tlh a l a n E N
ribone	r i b O n E
bosomenngwe	b O s O m E n N w E
keetane	k> E E t> a n E
tšhupu	tSh u p> u
pompo	p> O m p> O
tshepo	tsh E p> O
ditlhopha	d i tlh O ph a
lebelelana	l E b E l E l a n a
botseno	b O ts> E n O
rekisediwa	r E k> i s E d i w a
kgonagalang	kx O n a x a l a N
yoobedi	j O O b E d i
titietse	t> i t> i E ts> E
melelwaneng	m E l E l w a n E N
logare	l O x a r E
lolameng	l O l a m E N
utlwane	u tl> w a n E
nayo	n a j O
mmontshitse	m m O n tsh i ts> E
kgethegileng	kx E th E x i l E N
wetseng	w E ts> E N
dipompo	d i p> O m p> O
sekhutshwane	s E kh u tsh w a n E
gatsetsang	x a ts> E ts> a N
mafudisong	m a f u d i s O N
titiela	t> i t> i E l a
lekgotlanyana	l E kx O tl> a J a n a
kgatako	kx a t> a k> O
batla	b a tl> a
ntshofadiwa	n tsh O f a d i w a
rebotswe	r E b O ts> w E
adimisanang	a d i m i s a n a N
seane	s E a n E
tlhatlositsweng	tlh a tl> O s i ts> w E N
gakololwa	x a k> O l O l w a
diboko	d i b O k> O
iphemele	i ph E m E l E
peleng	p> E l E N
segolwane	s E x O l w a n E
bakganni	b a kx a n n i
kwadisiwa	k> w a d i s i w a
arabe	a r a b E
bueletse	b u E l E ts> E
boitebo	b O i t> E b O
dipolantereng	d i p> O l a n t> E r E N
ditlhopheng	d i tlh O ph E N
dikelo	d i k> E l O
bogautshwaneng	b O x a u tsh w a n E N
molemong	m O l E m O N
begwa	b E x w a
okomele	O k> O m E l E
pesalema	p> E s a l E m a
dikanedi	d i k> a n E d i
mebaraka	m E b a r a k> a
meepo	m E E p> O
sepane	s E p> a n E
tswakanye	ts> w a k> a J E
pampiritshweu	p> a m p> i r i tsh w E u
thekethe	th E k> E th E
atswa	a ts> w a
polelong	p> O l E l O N
latelwang	l a t> E l w a N
gwetlhiwang	x w E tlh i w a N
anameng	a n a m E N
kgogelo	kx O x E l O
balegeng	b a l E x E N
kiletsong	k> i l E ts> O N
bopelotshetlha	b O p> E l O tsh E tlh a
mesetlha	m E s E tlh a
lebitleng	l E b i tl> E N
kaile	k> a i l E
lekima	l E k> i m a
ngwao	N w a O
sedimonthole	s E d i m O n th O l E
menomasweu	m E n O m a s w E u
berekelwa	b E r E k> E l w a
ipatlele	i p> a tl> E l E
motsereganyi	m O ts> E r E x a J i
mowafala	m O w a f a l a
majalwa	m a d0Z a l w a
fetisediwa	f E t> i s E d i w a
metlele	m E tl> E l E
dikokong	d i k> O k> O N
somaamane	s O m a m a n E
neelwang	n E E l w a N
buisiwang	b u i s i w a N
khutlisitse	kh u tl> i s i ts> E
itseele	i ts> E E l E
bogobe	b O x O b E
boloi	b O l O i
tshwaelang	tsh w a E l a N
pusomorafe	p> u s O m O r a f E
nyeletsa	J E l E ts> a
khutlang	kh u tl> a N
rasiti	r a s i t> i
tlhotlheletseng	tlh O tlh E l E ts> E N
baamogedi	b a m O x E d i
rongwa	r O N w a
adimela	a d i m E l a
ikaelelwang	i k> a E l E l w a N
tshwaetsegileng	tsh w a E ts> E x i l E N
bewang	b E w a N
itsisang	i ts> i s a N
roka	r O k> a
bokosong	b O k> O s O N
ruilwe	r u i l w E
bonagetse	b O n a x E ts> E
konyakonya	k> O J a k> O J a
borutapuo	b O r u t> a p> u O
bokeresete	b O k> E r E s E t> E
ntlhang	n tlh a N
makae	m a k> a E
lonnye	l O n J E
sebabole	s E b a b O l E
fetisiwang	f E t> i s i w a N
khwaereng	kh w a E r E N
felegetse	f E l E x E ts> E
gadime	x a d i m E
yo	j O
babalesegile	b a b a l E s E x i l E
golegeletswe	x O l E x E l E ts> w E
boemelafofane	b O E m E l a f O f a n E
ntsalaagwe	n ts> a l a x w E
tshotseng	tsh O ts> E N
kiba	k> i b a
gatetseng	x a t> E ts> E N
ditikatikong	d i t> i k> a t> i k> O N
mohumagadi	m O h u m a x a d i
thanolong	th a n O l O N
tlhokometsweng	tlh O k> O m E ts> w E N
tsitsing	ts> i ts> i N
jalwang	d0Z a l w a N
botlhapelwa	b O tlh a p> E l w a
digwete	d i x w E t> E
maleba	m a l E b a
molagare	m O l a x a r E
bahumi	b a h u m i
mararang	m a r a r a N
khobakhoba	kh O b a kh O b a
sekegilwe	s E k> E x i l w E
segatlhamelamasisi	s E x a tlh a m E l a m a s i s i
bafenyi	b a f E J i
dirolo	d i r O l O
ai	a i
makgetlho	m a kx E tlh O
seterekeng	s E t> E r E k> E N
potso	p> O ts> O
dikgolegelong	d i kx O l E x E l O N
puothuto	p> u O th u t> O
ruruga	r u r u x a
dibeso	d i b E s O
dikwaere	d i k> w a E r E
ponong	p> O n O N
suteng	s u t> E N
bolaong	b O l a O N
phatlola	ph a tl> O l a
mowafalo	m O w a f a l O
nyelediwang	J E l E d i w a N
diragatseng	d i r a x a ts> E N
lebanweng	l E b a n w E N
diduting	d i d u t> i N
dipolotwana	d i p> O l O t> w a n a
porofentsheng	p> O r O f E n tsh E N
boletsa	b O l E ts> a
sekgemetšhana	s E kx E m E tSh a n a
lenaneotema	l E n a n E O t> E m a
tshelela	tsh E l E l a
senngwang	s E n N w a N
basireletsing	b a s i r E l E ts> i N
katlegong	k> a tl> E x O N
makgaolakgang	m a kx a O l a kx a N
tshupetsokgono	tsh u p> E ts> O kx O n O
tlhalose	tlh a l O s E
feila	f E i l a
makasining	m a k> a s i n i N
dituelelo	d i t> u E l E l O
babatlisisi	b a b a tl> i s i s i
segoro	s E x O r O
gogile	x O x i l E
tlhagiso	tlh a x i s O
bathapiwa	b a th a p> i w a
ipeile	i p> E i l E
netefalediwa	n E t> E f a l E d i w a
bolodiwa	b O l O d i w a
kopanwa	k> O p> a n w a
relelela	r E l E l E l a
ditlhabano	d i tlh a b a n O
seso	s E s O
bonakonyana	b O n a k> O J a n a
botaking	b O t> a k> i N
tshwae	tsh w a E
ngotlilweng	N O tl> i l w E N
kampeng	k> a m p> E N
mabela	m a b E l a
botshepegi	b O tsh E p> E x i
nyala	J a l a
fitlhela	f i tlh E l a
dinawa	d i n a w a
moari	m O a r i
sekisediwa	s E k> i s E d i w a
bahiriwa	b a h i r i w a
duedisetswa	d u E d i s E ts> w a
betlileng	b E tl> i l E N
motlhanka	m O tlh a n k> a
patelediwe	p> a t> E l E d i w E
rekise	r E k> i s E
pu	p> u
ipatla	i p> a tl> a
gannwe	x a n n w E
bagologolo	b a x O l O x O l O
sekgwama	s E kx w a m a
lentsweng	l E n ts> w E N
tsholetsweng	tsh O l E ts> w E N
tlhagisetsa	tlh a x i s E ts> a
kgaso	kx a s O
tabogile	t> a b O x i l E
notlelwa	n O tl> E l w a
kopi	k> O p> i
ditsompelo	d i ts> O m p> E l O
bolokelwang	b O l O k> E l w a N
diipone	d i i p> O n E
kgosana	kx O s a n a
sekegelwa	s E k> E x E l w a
tatso	t> a ts> O
tikolo	t> i k> O l O
dikgwetlhong	d i kx w E tlh O N
somaamararo	s O m a m a r a r O
diphorogotlho	d i ph O r O x O tlh O
rwesiwe	r w E s i w E
ana	a n a
bonang	b O n a N
setshwantshong	s E tsh w a n tsh O N
mengwaga	m E N w a x a
adimisana	a d i m i s a n a
lopa	l O p> a
lolame	l O l a m E
sefora	s E f O r a
gobelele	x O b E l E l E
pitikologa	p> i t> i k> O l O x a
setlhangweng	s E tlh a N w E N
lono	l O n O
botsietsi	b O ts> i E ts> i
kgalemile	kx a l E m i l E
kganelwang	kx a n E l w a N
dirobotong	d i r O b O t> O N
setlaagana	s E tl> a x a n a
segologolo	s E x O l O x O l O
itumeletse	i t> u m E l E ts> E
tlamo	tl> a m O
utlwiwe	u tl> w i w E
tlosiwa	tl> O s i w a
nepa	n E p> a
pontshong	p> O n tsh O N
mogologolo	m O x O l O x O l O
tseeletsa	ts> E E l E ts> a
bagobadi	b a x O b a d i
bosiami	b O s i a m i
katisong	k> a t> i s O N
simega	s i m E x a
mafatlheng	m a f a tlh E N
lekalekanyang	l E k> a l E k> a J a N
bosenyi	b O s E J i
tshiamisetso	tsh i a m i s E ts> O
dirisiwa	d i r i s i w a
phatsimisa	ph a ts> i m i s a
fitlhwa	f i tlh w a
goditse	x O d i ts> E
sekara	s E k> a r a
dikgaisano	d i kx a i s a n O
iketle	i k> E tl> E
tlhamiweng	tlh a m i w E N
ikgobokanya	i kx O b O k> a J a
nonne	n O n n E
tswalela	ts> w a l E l a
tshelwa	tsh E l w a
lekgotleng	l E kx O tl> E N
tshepiso	tsh E p> i s O
tlhagisong	tlh a x i s O N
cox	k> O k> s
dikonopo	d i k> O n O p> O
nabo	n a b O
rakane	r a k> a n E
itshetletse	i tsh E tl> E ts> E
otla	O tl> a
mekwatla	m E k> w a tl> a
bofiwa	b O f i w a
abiwa	a b i w a
thatano	th a t> a n O
bitsa	b i ts> a
thutswe	th u ts> w E
medisa	m E d i s a
bola	b O l a
paketsweng	p> a k> E ts> w E N
monakalading	m O n a k> a l a d i N
difene	d i f E n E
tiregong	t> i r E x O N
sesupo	s E s u p> O
metseletsele	m E ts> E l E ts> E l E
boutu	b O u t> u
tlhamaletseng	tlh a m a l E ts> E N
mothamo	m O th a m O
kitsong	k> i ts> O N
balemiruing	b a l E m i r u i N
arogantse	a r O x a n ts> E
heke	h E k> E
waelese	w a E l E S E
itshomarela	i tsh O m a r E l a
rakana	r a k> a n a
ikutlwisa	i k> u tl> w i s a
boikakanyetsi	b O i k> a k> a J E ts> i
kgoneng	kx O n E N
siametseng	s i a m E ts> E N
iphorile	i ph O r i l E
jadilweng	d0Z a d i l w E N
mometso	m O m E ts> O
ditlhako	d i tlh a k> O
kotlo	k> O tl> O
sebolokelong	s E b O l O k> E l O N
kante	k> a n t> E
lesupi	l E s u p> i
kanaleng	k> a n a l E N
ammaaruri	a m m a r u r i
ithobaletse	i th O b a l E ts> E
mokgweleong	m O kx w E l E O N
reme	r E m E
thapilwe	th a p> i l w E
dingwagakgolo	d i N w a x a kx O l O
tlhabisa	tlh a b i s a
etsho	E tsh O
nyalwang	J a l w a N
borutegi	b O r u t> E x i
setegeniki	s E t> E x E n i k> i
phefong	ph E f O N
leme	l E m E
koleka	k> O l E k> a
dikgolaganyo	d i kx O l a x a J O
balelang	b a l E l a N
poelothutong	p> O E l O th u t> O N
tshosometso	tsh O s O m E ts> O
bonnye	b O n J E
ntsentse	n ts> E n ts> E
ithayang	i th a j a N
litheresi	l i th E r E s i
theileng	th E i l E N
tlhagetswe	tlh a x E ts> w E
gakgamatswa	x a kx a m a ts> w a
peneng	p> E n E N
itsale	i ts> a l E
letile	l E t> i l E
tseye	ts> E j E
tshenekegi	tsh E n E k> E x i
thibolola	th i b O l O l a
palama	p> a l a m a
tlhopiwa	tlh O p> i w a
tsekedi	ts> E k> E d i
tsholetsegile	tsh O l E ts> E x i l E
raba	r a b a
balwela	b a l w E l a
anyeng	a J E N
bopiweng	b O p> i w E N
ditsamaiso	d i ts> a m a i s O
mme	m m E
kanelo	k> a n E l O
nka	n k> a
roletsweng	r O l E ts> w E N
somepedi	s O m E p> E d i
tlhophong	tlh O ph O N
ikanyang	i k> a J a N
fenya	f E J a
tsholang	tsh O l a N
laetsweng	l a E ts> w E N
dilekanyi	d i l E k> a J i
diporoteine	d i p> O r O t> E i n E
laoletsweng	l a O l E ts> w E N
nngweng	n N w E N
phapaano	ph a p> a n O
thusanang	th u s a n a N
motshelo	m O tsh E l O
rojwa	r O d0Z w a
golegilweng	x O l E x i l w E N
tswakanyo	ts> w a k> a J O
tlhatloga	tlh a tl> O x a
lomilwe	l O m i l w E
fopholediwang	f O ph O l E d i w a N
golagantseng	x O l a x a n ts> E N
lelela	l E l E l a
senatla	s E n a tl> a
motswakong	m O ts> w a k> O N
dilaakane	d i l a k> a n E
dirisitswe	d i r i s i ts> w E
koafalo	k> O a f a l O
pegwa	p> E x w a
dumedisa	d u m E d i s a
ikantseng	i k> a n ts> E N
nepagalo	n E p> a x a l O
konteraka	k> O n t> E r a k> a
ruta	r u t> a
metsesetoropo	m E ts> E s E t> O r O p> O
mothalo	m O th a l O
kaiwa	k> a i w a
tlelaseng	tl> E l a s E N
khampaseng	kh a m p> a s E N
neelo	n E E l O
tswelelepele	ts> w E l E l E p> E l E
tshimong	tsh i m O N
ikgatholosiwa	i kx a th O l O s i w a
tlaleletseng	tl> a l E l E ts> E N
tlhalosa	tlh a l O s a
tholotiro	th O l O t> i r O
nkoba	n k> O b a
rata	r a t> a
tlhokegang	tlh O k> E x a N
selekanyong	s E l E k> a J O N
mantšhwa	m a n tSh w a
sesele	s E s E l E
basupi	b a s u p> i
baalogi	b a l O x i
tshwaiwa	tsh w a i w a
tlamego	tl> a m E x O
dirisitseng	d i r i s i ts> E N
dikakana	d i k> a k> a n a
marakanamantsi	m a r a k> a n a m a n ts> i
kopanelo	k> O p> a n E l O
tshwaetso	tsh w a E ts> O
fela	f E l a
dika	d i k> a
diragaditswe	d i r a x a d i ts> w E
badimong	b a d i m O N
mekgele	m E kx E l E
akantse	a k> a n ts> E
letsatsa	l E ts> a ts> a
tlhopa	tlh O p> a
dithusi	d i th u s i
peba	p> E b a
laisitseng	l a i s i ts> E N
motlatsamogokgo	m O tl> a ts> a m O x O kx O
iponatsa	i p> O n a ts> a
ikwadisang	i k> w a d i s a N
balwa	b a l w a
motlhologadi	m O tlh O l O x a d i
ratshikana	r a tsh i k> a n a
isago	i s a x O
agelang	a x E l a N
tobekane	t> O b E k> a n E
tswelelopele	ts> w E l E l O p> E l E
fudugile	f u d u x i l E
manong	m a n O N
thaelo	th a E l O
pilediwa	p> i l E d i w a
raelesega	r a E l E S E x a
tlotleng	tl> O tl> E N
thutafatshe	th u t> a f a tsh E
thepe	th E p> E
basenatoro	b a s E n a t> O r O
nkile	n k> i l E
ngangela	N a N x E l a
tlwaetse	tl> w a E ts> E
belefo	b E l E f O
ipusulosetsa	i p> u s u l O s E ts> a
lorisitswe	l O r i s i ts> w E
itumela	i t> u m E l a
tiso	t> i s O
beke	b E k> E
disitse	d i s i ts> E
teraka	t> E r a k> a
motlameding	m O tl> a m E d i N
dipakeng	d i p> a k> E N
feletsa	f E l E ts> a
natefelwa	n a t> E f E l w a
tshwaiwe	tsh w a i w E
senokwane	s E n O k> w a n E
maduo	m a d u O
leratla	l E r a tl> a
kirimi	k> i r i m i
ipolaya	i p> O l a j a
seporo	s E p> O r O
laesenseng	l a E s E n s E N
menaganya	m E n a x a J a
setopo	s E t> O p> O
thobego	th O b E x O
tlhophiwang	tlh O ph i w a N
mothapiwa	m O th a p> i w a
dikala	d i k> a l a
tshoutiso	tsh O u t> i s O
mothelesing	m O th E l E s i N
booki	b O O k> i
rutela	r u t> E l a
tsweetswee	ts> w E E ts> w E E
ona	O n a
itshokele	i tsh O k> E l E
tsogo	ts> O x O
makasini	m a k> a s i n i
matshwenyegonyana	m a tsh w E J E x O J a n a
lerothodi	l E r O th O d i
patlomaikutlo	p> a tl> O m a i k> u tl> O
fetile	f E t> i l E
dikweletla	d i k> w E l E tl> a
direlwa	d i r E l w a
dikabong	d i k> a b O N
thini	th i n i
lapa	l a p> a
moswagadi	m O s w a x a d i
katlholo	k> a tlh O l O
ditlogolo	d i tl> O x O l O
batsamaising	b a ts> a m a i s i N
modirisong	m O d i r i s O N
tshwaretsweng	tsh w a r E ts> w E N
