can't	k> a n t>
difene	d i f E n E
difenitšhara	d i f E n i tSh a r a
difensetere	d i f E n s E t> E r E
diferwaneng	d i f E r w a n E N
difikantswe	d i f i k> a n ts> w E
difilimi	d i f i l i m i
difitlholo	d i f i tlh O l O
difofane	d i f O f a n E
difofu	d i f O f u
difolaga	d i f O l a x a
difolete	d i f O l E t> E
difoleteng	d i f O l E t> E N
difomo	d i f O m O
diforamong	d i f O r a m O N
diforo	d i f O r O
diforomo	d i f O r O m O
diforomong	d i f O r O m O N
difudi	d i f u d i
difutshe	d i f u tsh E
diga	d i x a
digalase	d i x a l a s E
diganana	d i x a n a n a
digang	d i x a N
digarawe	d i x a r a w E
digaretene	d i x a r E t> E n E
digase	d i x a s E
digela	d i x E l a
digelang	d i x E l a N
digele	d i x E l E
digelwang	d i x E l w a N
digetse	d i x E ts> E
digile	d i x i l E
digokedi	d i x O k> E d i
digokgo	d i x O kx O
digole	d i x O l E
digongwaneng	d i x O N w a n E N
digopo	d i x O p> O
digoro	d i x O r O
digwai	d i x w a i
digwapa	d i x w a p> a
digwata	d i x w a t> a
digwere	d i x w E r E
digwete	d i x w E t> E
dihakaboi	d i h a k> a b O i
diharaka	d i h a r a k> a
diheke	d i h E k> E
diholo	d i h O l O
diholong	d i h O l O N
dihosetele	d i h O s E t> E l E
dihotele	d i h O t> E l E
dihutshane	d i h u tsh a n E
diikokotlelo	d i i k> O k> O tl> E l O
diile	d i i l E
diilwe	d i i l w E
diintasetering	d i i n t> a s E t> E r i N
diipato	d i i p> a t> O
diipone	d i i p> O n E
diisamadi	d i i s a m a d i
dijalo	d i d0Z a l O
dijalong	d i d0Z a l O N
dijana	d i d0Z a n a
dijanaga	d i d0Z a n a x a
dijanageng	d i d0Z a n a x E N
dijase	d i d0Z a s E
dijeke	d i d0Z E k> E
dijenale	d i d0Z E n a l E
dijenaleng	d i d0Z E n a l E N
diji	d i d0Z i
dijo	d i d0Z O
dijong	d i d0Z O N
dijotshegare	d i d0Z O tsh E x a r E
dikabelo	d i k> a b E l O
dikabelong	d i k> a b E l O N
dikabetla	d i k> a b E tl> a
dikabo	d i k> a b O
dikabong	d i k> a b O N
dika	d i k> a
dikadika	d i k> a d i k> a
dikadimo	d i k> a d i m O
dikadimong	d i k> a d i m O N
dikaedi	d i k> a E d i
dikaeding	d i k> a E d i N
dikaelong	d i k> a E l O N
dikago	d i k> a x O
dikagong	d i k> a x O N
dikai	d i k> a i
dikaing	d i k> a i N
dikakana	d i k> a k> a n a
dikakanyetso	d i k> a k> a J E ts> O
dikakanyo	d i k> a k> a J O
dikakanyokgolo	d i k> a k> a J O kx O l O
dikakanyong	d i k> a k> a J O N
dikakgelo	d i k> a kx E l O
dikala	d i k> a l a
dikalafi	d i k> a l a f i
dikalana	d i k> a l a n a
dikamano	d i k> a m a n O
dikamanong	d i k> a m a n O N
dikamogelo	d i k> a m O x E l O
dikamong	d i k> a m O N
dikamore	d i k> a m O r E
dikamoreng	d i k> a m O r E N
dikampa	d i k> a m p> a
dikampeng	d i k> a m p> E N
dikanedi	d i k> a n E d i
dikaneding	d i k> a n E d i N
dikanego	d i k> a n E x O
dikanelo	d i k> a n E l O
dikang	d i k> a N
dikankere	d i k> a n k> E r E
dikano	d i k> a n O
dikantoro	d i k> a n t> O r O
dikantorong	d i k> a n t> O r O N
dikanyeditseng	d i k> a J E d i ts> E N
dikao	d i k> a O
dikaong	d i k> a O N
dikapeso	d i k> a p> E s O
dikapolelo	d i k> a p> O l E l O
dikapolo	d i k> a p> O l O
dikapuo	d i k> a p> u O
dikarabo	d i k> a r a b O
dikarabong	d i k> a r a b O N
dikara	d i k> a r a
dikarata	d i k> a r a t> a
dikaratana	d i k> a r a t> a n a
dikarateng	d i k> a r a t> E N
dikarolo	d i k> a r O l O
dikarolong	d i k> a r O l O N
dikarolothuto	d i k> a r O l O th u t> O
dikarolothutong	d i k> a r O l O th u t> O N
dikarolwana	d i k> a r O l w a n a
dikarolwaneng	d i k> a r O l w a n E N
dikatiso	d i k> a t> i s O
dikatlanegiso	d i k> a tl> a n E x i s O
dikatlego	d i k> a tl> E x O
dikatlegong	d i k> a tl> E x O N
dikatlholo	d i k> a tlh O l O
dikatoloso	d i k> a t> O l O s O
dikatso	d i k> a ts> O
dikausu	d i k> a u s u
dikeetane	d i k> E E t> a n E
dikela	d i k> E l a
dikeledi	d i k> E l E d i
dikeleko	d i k> l E k> O
dikeletso	d i k> E l E ts> O
dikeletsong	d i k> E l E ts> O N
dikelo	d i k> E l O
dikelong	d i k> E l O N
dikelotefo	d i k> E l O t> E f O
dikema	d i k> E m a
dikemedi	d i k> E m E d i
dikemo	d i k> E m O
dikemong	d i k> E m O N
dikepe	d i k> E p> E
dikepo	d i k> E p> O
dikerafiki	d i k> E r a f i k> i
dikerafo	d i k> E r a f O
dikerafong	d i k> E r a f O N
dikere	d i k> E r E
dikereiti	d i k> E r E i t> i
dikereiting	d i k> E r E i t> i N
dikereke	d i k> E r E k> E
dikerekeng	d i k> E r E k> E N
dikerii	d i k> E r i i
dikete	d i k> E t> E
diketekete	d i k> E t> E k> E t> E
diketleetso	d i k> E tl> E E ts> O
diketo	d i k> E t> O
dikgaba	d i kx a b a
dikgadima	d i kx a d i m a
dikgaga	d i kx a x a
dikgageng	d i kx a x E N
dikgaisano	d i kx a i s a n O
dikgaisanong	d i kx a i s a n O N
dikgakgamatso	d i kx a kx a m a ts> O
dikgakologelo	d i kx a k> O l O x E l O
dikgakologo	d i kx a k> O l O x O
dikgakololo	d i kx a k> O l O l O
dikgala	d i kx a l a
dikgalemo	d i kx a l E m O
dikgamelo	d i kx a m E l O
dikgamelong	d i kx a m E l O N
dikgamu	d i kx a m u
dikganedi	d i kx a n E d i
dikganelo	d i kx a n E l O
dikganetsano	d i kx a n E ts> a n O
dikganetsanong	d i kx a n E ts> a n O N
dikganetso	d i kx a n E ts> O
dikgang	d i kx a N
dikgankhutshwe	d i kx a n kh u tsh w E
dikgannyana	d i kx a n J a n a
dikgannyaneng	d i kx a n J a n E N
dikgannye	d i kx a n J E
dikgannyeng	d i kx a n J E N
dikgano	d i kx a n O
dikgaogano	d i kx a O x a n O
dikgaolo	d i kx a O l O
dikgaolong	d i kx a O l O N
dikgaolotlhopho	d i kx a O l O tlh O ph O
dikgaolotlhophong	d i kx a O l O tlh O ph O N
dikgapetla	d i kx a p> E tl> a
dikgapheng	d i kx a ph E N
dikgapo	d i kx a p> O
dikgara	d i kx a r a
dikgaso	d i kx a s O
dikgatako	d i kx a t> a k> O
dikgatelelo	d i kx a t> E l E l O
dikgatholoso	d i kx a th O l O s O
dikgatiso	d i kx a t> i s O
dikgatisong	d i kx a t> i s O N
dikgatlegelo	d i kx a tl> E x E l O
dikgatlegong	d i kx a tl> E x O N
dikgatlhego	d i kx a tlh E x O
dikgatlhegong	d i kx a tlh E x O N
dikgato	d i kx a t> O
dikgatong	d i kx a t> O N
dikgatonyana	d i kx a t> O J a n a
dikgele	d i kx E l E
dikgeleswa	d i kx E l E s w a
dikgetho	d i kx E th O
dikgetsana	d i kx E ts> a n a
dikgetsaneng	d i kx E ts> a n E N
dikgetseng	d i kx E ts> E N
dikgetsi	d i kx E ts> i
dikgetsing	d i kx E ts> i N
dikgobalo	d i kx O b a l O
dikgobalong	d i kx O b a l O N
dikgobe	d i kx O b E
dikgobelelo	d i kx O b E l E l O
dikgobo	d i kx O b O
dikgobokanyo	d i kx O b O k> a J O
dikgobokanyong	d i kx O b O k> a J O N
dikgodiso	d i kx O d i s O
dikgogakgogano	d i kx O x a kx O x a n O
dikgogedi	d i kx O x E d i
dikgogo	d i kx O x O
dikgogola	d i kx O x O l a
dikgoka	d i kx O k> a
dikgokagano	d i kx O k> a x a n O
dikgokaganong	d i kx O k> a x a n O N
dikgolagano	d i kx O l a x a n O
dikgolaganong	d i kx O l a x a n O N
dikgolaganyo	d i kx O l a x a J O
dikgolegelo	d i kx O l E x E l O
dikgolegelong	d i kx O l E x E l O N
dikgoleng	d i kx O l E N
dikgolo	d i kx O l O
dikgologolo	d i kx O l O x O l O
dikgolokgolo	d i kx O l O kx O l O
dikgololosego	d i kx O l O l O s E x O
dikgolwane	d i kx O l w a n E
dikgomo	d i kx O m O
dikgomong	d i kx O m O N
dikgonagalo	d i kx O n a x a l O
dikgonego	d i kx O n E x O
dikgong	d i kx O N
dikgono	d i kx O n O
dikgonong	d i kx O n O N
dikgopo	d i kx O p> O
dikgopolo	d i kx O p> O l O
dikgopolong	d i kx O p> O l O N
dikgora	d i kx O r a
dikgoreletsi	d i kx O r E l E ts> i
dikgoreletso	d i kx O r E l E ts> O
dikgoro	d i kx O r O
dikgorong	d i kx O r O N
dikgoropa	d i kx O r O p> a
dikgosana	d i kx O s a n a
dikgosaneng	d i kx O s a n E N
dikgosi	d i kx O s i
dikgosigadi	d i kx O s i x a d i
dikgotla	d i kx O tl> a
dikgotlang	d i kx O tl> a N
dikgotlapeomolao	d i kx O tl> a p> E O m O l a O
dikgotlatshekelo	d i kx O tl> a tsh E k> E l O
dikgotlatshekelokgolo	d i kx O tl> a tsh E k> E l O kx O l O
dikgotlatshekelong	d i kx O tl> a tsh E k> E l O N
dikgotleng	d i kx O tl> E N
dikgotlhang	d i kx O tlh a N
dikgotlhwana	d i kx O tlh w a n a
dikgoto	d i kx O t> O
dikgwa	d i kx w a
dikgwageng	d i kx w a x E N
dikgwatlheng	d i kx w a tlh E N
dikgwebisano	d i kx w E b i s a n O
dikgwebo	d i kx w E b O
dikgwebong	d i kx w E b O N
dikgwebopotlana	d i kx w E b O p> O tl> a n a
dikgwedi	d i kx w E d i
dikgweding	d i kx w E d i N
dikgweng	d i kx w E N
dikgwetlho	d i kx w E tlh O
dikgwetlhong	d i kx w E tlh O N
dikhai	d i kh a i
dikhalentara	d i kh a l E n t> a r a
dikhampani	d i kh a m p> a n i
dikhampase	d i kh a m p> a s E
dikhampaseng	d i kh a m p> a s E N
dikhanakhana	d i kh a n a kh a n a
dikhansele	d i kh a n s E l E
dikhanseleng	d i kh a n s E l E N
dikheibole	d i kh E i b O l E
dikhemikhale	d i kh E m i kh a l E
dikhemisi	d i kh E m i s i
dikhibidu	d i kh i b i d u
dikhilometara	d i kh i l O m E t> a r a
dikhiro	d i kh i r O
dikholeji	d i kh O l E d0Z i
dikholomong	d i kh O l O m O N
dikhomišene	d i kh O m i S E n E
dikhomišeneng	d i kh O m i S E n E N
dikhomphutara	d i kh O m ph u t> a r a
dikhonferenseng	d i kh O n f E r E n s E N
dikhopi	d i kh O p> i
dikhoping	d i kh O p> i N
dikhoso	d i kh O s O
dikhosong	d i kh O s O N
dikhoutu	d i kh O u t> u
dikhuduego	d i kh u d u E x O
dikhuduegong	d i kh u d u E x O N
dikhukhwane	d i kh u kh w a n E
dikhumo	d i kh u m O
dikhupamarama	d i kh u p> a m a r a m a
dikhurumelo	d i kh u r u m E l O
dikhurumelong	d i kh u r u m E l O N
dikhuti	d i kh u t> i
dikhutlhwaneng	d i kh u tlh w a n E N
dikhutlo	d i kh u tl> O
dikhutlong	d i kh u tl> O N
dikhutsana	d i kh u ts> a n a
dikhutshwane	d i kh u tsh w a n E
dikhutshwe	d i kh u tsh w E
dikhwaere	d i kh w a E r E
dikile	d i k> i l E
dikiletso	d i k> i l E ts> O
dikiletsong	d i k> i l E ts> O N
dikilometara	d i k> i l O m E t> a r a
dikima	d i k> i m a
dikinane	d i k> i n a n E
dikitsiso	d i k> i ts> i s O
dikoa	d i k> O a
dikobe	d i k> O b E
dikobo	d i k> O b O
dikobong	d i k> O b O N
dikodu	d i k> O d u
dikokelo	d i k> O k> E l O
dikoketso	d i k> O k> E ts> O
dikokoano	d i k> O k> O a n O
dikoko	d i k> O k> O
dikokomana	d i k> O k> O m a n a
dikokomane	d i k> O k> O m a n E
dikokomaneng	d i k> O k> O m a n E N
dikokong	d i k> O k> O N
dikokwana	d i k> O k> w a n a
dikoleke	d i k> O l E k> E
dikolobe	d i k> O l O b E
dikolobeng	d i k> O l O b E N
dikologa	d i k> O l O x a
dikologang	d i k> O l O x a N
dikologe	d i k> O l O x E
dikologileng	d i k> O l O x i l E N
dikoloi	d i k> O l O i
dikoloing	d i k> O l O i N
dikolong	d i k> O l O N
dikolosa	d i k> O l O s a
dikolosiwa	d i k> O l O s i w a
dikoloto	d i k> O l O t> O
dikolotong	d i k> O l O t> O N
dikomano	d i k> O m a n O
dikomelelo	d i k> O m E l E l O
dikomiti	d i k> O m i t> i
dikomiting	d i k> O m i t> i N
dikomitipotlana	d i k> O m i t> i p> O tl> a n a
dikonopo	d i k> O n O p> O
dikonteraka	d i k> O n t> E r a k> a
dikontinente	d i k> O n t> i n E n t> E
dikonyana	d i k> O J a n a
dikopa	d i k> O p> a
dikopano	d i k> O p> a n O
dikopanong	d i k> O p> a n O N
dikopanyi	d i k> O p> a J i
dikopelo	d i k> O p> E l O
dikopi	d i k> O p> i
dikopo	d i k> O p> O
dikopong	d i k> O p> O N
dikoporasi	d i k> O p> O r a s i
dikota	d i k> O t> a
dikotaseng	d i k> O t> a s E N
dikotla	d i k> O tl> a
dikotlhao	d i k> O tlh a O
dikotlo	d i k> O tl> O
dikotlolo	d i k> O tl> O l O
dikotsi	d i k> O ts> i
dikotsing	d i k> O ts> i N
dikuane	d i k> u a n E
dikudumedi	d i k> u d u m E d i
dikudumeding	d i k> u d u m E d i N
dikuku	d i k> u k> u
dikungo	d i k> u N O
dikuno	d i k> u n O
dikunong	d i k> u n O N
dikuranta	d i k> u r a n t> a
dikuranteng	d i k> u r a n t> E N
dikutla	d i k> u tl> a
dikutleng	d i k> u tl> E N
dikutlwanong	d i k> u tl> w a n O N
dikutu	d i k> u t> u
dikutung	d i k> u t> u N
dikwadiso	d i k> w a d i s O
dikwaere	d i k> w a E r E
dikwalelo	d i k> w a l E l O
dikwalo	d i k> w a l O
dikwalong	d i k> w a l O N
dikwalwa	d i k> w a l w a
dikwatlhao	d i k> w a tlh a O
dikweletla	d i k> w E l E tl> a
dikwetsa	d i k> w E ts> a
dilaakane	d i l a k> a n E
dilaeborari	d i l a E b O r a r i
dilalelo	d i l a l E l O
dilalome	d i l a l O m E
dilatlhwa	d i l a tlh w a
dileele	d i l E E l E
dilegileng	d i l E x i l E N
dileibole	d i l E i b O l E
dilekane	d i l E k> a n E
dilekano	d i l E k> a n O
dilekanyetso	d i l E k> a J E ts> O
dilekanyetsong	d i l E k> a J E ts> O N
dilekanyi	d i l E k> a J i
dilekanyong	d i l E k> a J O N
dilemo	d i l E m O
dilemong	d i l E m O N
dilense	d i l E n s E
dilepe	d i l E p> E
diletswa	d i l E ts> w a
dillori	d i l l O r i
dilo	d i l O
dilong	d i l O N
dilotlolo	d i l O tl> O l O
dilwana	d i l w a n a
dilwaneng	d i l w a n E N
dimakasine	d i m a k> a s i n E
dimakatso	d i m a k> a ts> O
dimametlelelo	d i m a m E tl> E l E l O
dimao	d i m a O
dimedi	d i m E d i
dimeding	d i m E d i N
dimela	d i m E l a
dimelametsing	d i m E l a m E ts> i N
dimeleng	d i m E l E N
dimenerale	d i m E n E r a l E
dimentlele	d i m E n tl> E l E
dimilione	d i m i l i O n E
diminerala	d i m i n E r a l a
diminerale	d i m i n E r a l E
dimitara	d i m i t> a r a
dimmaele	d i m m a E l E
dimmaene	d i m m a E n E
dimmapa	d i m m a p> a
dimo	d i m O
dimofatsa	d i m O f a ts> a
dimonamone	d i m O n a m O n E
dimpa	d i m p> a
dimpanyana	d i m p> a J a n a
dimpho	d i m ph O
dinaane	d i n a n E
dinaga	d i n a x a
dinagamagae	d i n a x a m a x a E
dinagamagaeng	d i n a x a m a x a E N
dinagang	d i n a x a N
dinageng	d i n a x E N
dinaka	d i n a k> a
dinako	d i n a k> O
dinakong	d i n a k> O N
dinakwana	d i n a k> w a n a
dinala	d i n a l a
dinaledi	d i n a l E d i
dinaleng	d i n a l E N
dinama	d i n a m a
dinamagadi	d i n a m a x a d i
dinamane	d i n a m a n E
dinamaneng	d i n a m a n E N
dinamanyane	d i n a m a J a n E
dinamelweng	d i n a m E l w E N
dinameng	d i n a m E N
dinao	d i n a O
dinaong	d i n a O N
dinare	d i n a r E
dinawa	d i n a w a
dinaweng	d i n a w E N
dineeletsano	d i n E E l E ts> a n O
dineo	d i n E O
dinepe	d i n E p> E
dinetefaletso	d i n E t> E f a l E ts> O
dingaka	d i N a k> a
dingana	d i N a n a
dingangisano	d i N a N i s a n O
dingatana	d i N a t> a n a
dingongorego	d i N O N O r E x O
dingongoregong	d i N O N O r E x O N
dingwa	d i N w a
dingwaga	d i N w a x a
dingwagakgolo	d i N w a x a kx O l O
dingwagakgolong	d i N w a x a kx O l O N
dingwagangwaga	d i N w a x a N w a x a
dingwageng	d i N w a x E N
dingwao	d i N w a O
dingwaong	d i N w a O N
dingwedi	d i N w E d i
dingwe	d i N w E
dingweng	d i N w E N
dinkgamonate	d i n kx a m O n a t> E
dinkgo	d i n kx O
dinkgwe	d i n kx w E
dinko	d i n k> O
dinku	d i n k> u
dinkung	d i n k> u N
dinkwana	d i n k> w a n a
dinnete	d i n n E t> E
dinnoto	d i n n O t> O
dinnye	d i n J E
dino	d i n O
dinoga	d i n O x a
dinoka	d i n O k> a
dinokana	d i n O k> a n a
dinokaneng	d i n O k> a n E N
dinokeng	d i n O k> E N
dinoko	d i n O k> O
dinokwane	d i n O k> w a n E
dinomoro	d i n O m O r O
dinong	d i n O N
dinonnori	d i n O n n O r i
dinonofo	d i n O n O f O
dinonyana	d i n O J a n a
dinotagi	d i n O t> a x i
dinotlele	d i n O tl> E l E
dinotlolo	d i n O tl> O l O
dinotshe	d i n O tsh E
dinotsididi	d i n O ts> i d i d i
dinta	d i n t> a
dintana	d i n t> a n a
dintelo	d i n t> E l O
dintha	d i n th a
dintho	d i n th O
dintle	d i n tl> E
dintlha	d i n tlh a
dintlhakgolo	d i n tlh a kx O l O
dintlhana	d i n tlh a n a
dintlhathuto	d i n tlh a th u t> O
dintlheng	d i n tlh E N
dintlo	d i n tl> O
dintlong	d i n tl> O N
dintsanantsana	d i n ts> a n a n ts> a n a
dintšhafatso	d i n tSh a f a ts> O
dintshi	d i n tsh i
dintshing	d i n tsh i N
dintsho	d i n tsh O
dintšhwa	d i n tSh w a
dintsi	d i n ts> i
dintsintsi	d i n ts> i n ts> i
dintsinyana	d i n ts> i J a n a
dintswa	d i n ts> w a
dintšwa	d i n tS> w a
dintwa	d i n t> w a
dintweng	d i n t> w E N
dinwamadi	d i n w a m a d i
dinyaga	d i J a x a
dinyageng	d i J a x E N
dinyana	d i J a n a
dinyane	d i J a n E
diofisi	d i O f i s i
dionto	d i O n t> O
dipaakanyetso	d i p> a k> a J E ts> O
dipaakanyo	d i p> a k> a J O
dipadi	d i p> a d i
dipakaanyo	d i p> a k> a J O
dipaka	d i p> a k> a
dipakeng	d i p> a k> E N
dipaki	d i p> a k> i
dipaking	d i p> a k> i N
dipala	d i p> a l a
dipalamo	d i p> a l a m O
dipalangwa	d i p> a l a N w a
dipalangwang	d i p> a l a N w a N
dipalangweng	d i p> a l a N w E N
dipalelo	d i p> a l E l O
dipalelong	d i p> a l E l O N
dipalong	d i p> a l O N
dipalopalo	d i p> a l O p> a l O
dipampiri	d i p> a m p> i r i
dipampiring	d i p> a m p> i r i N
dipampitshana	d i p> a m p> i tsh a n a
dipane	d i p> a n E
dipapatso	d i p> a p> a ts> O
dipapatsong	d i p> a p> a ts> O N
dipapetla	d i p> a p> E tl> a
dipapetlanapepentsho	d i p> a p> E tl> a n a p> E p> E n tsh O
dipapiso	d i p> a p> i s O
dipasa	d i p> a s a
dipaterone	d i p> a t> E r O n E
dipatlelong	d i p> a tl> E l O N
dipatlisiso	d i p> a tl> i s i s O
dipatlisisong	d i p> a tl> i s i s O N
dipatlong	d i p> a tl> O N
dipatsana	d i p> a ts> a n a
dipatso	d i p> a ts> O
dipeba	d i p> E b a
dipe	d i p> E
dipeelano	d i p> E E l a n O
dipeeletso	d i p> E E l E ts> O
dipeeletsong	d i p> E E l E ts> O N
dipeelo	d i p> E E l O
dipeelong	d i p> E E l O N
dipegelo	d i p> E x E l O
dipegelong	d i p> E x E l O N
dipego	d i p> E x O
dipeipe	d i p> E i p> E
dipeipi	d i p> E i p> i
dipeiping	d i p> E i p> i N
dipekereng	d i p> E k> E r E N
dipelaelo	d i p> E l a E l O
dipelang	d i p> E l a N
dipelo	d i p> E l O
dipelong	d i p> E l O N
dipene	d i p> E n E
dipente	d i p> E n t> E
dipeo	d i p> E O
dipeomolao	d i p> E O m O l a O
dipeong	d i p> E O N
diperekisi	d i p> E r E k> i s i
diperesente	d i p> E r E s E n t> E
dipesalema	d i p> E s a l E m a
dipetlele	d i p> E tl> E l E
dipetse	d i p> E ts> E
diphaka	d i ph a k> a
diphalane	d i ph a l a n E
diphanele	d i ph a n E l E
diphaneleng	d i ph a n E l E N
diphapaano	d i ph a p> a n O
diphapang	d i ph a p> a N
diphaphathi	d i ph a ph a th i
diphapogo	d i ph a p> O x O
diphaposiborutelo	d i ph a p> O s i b O r u t> E l O
diphaposiborutelong	d i ph a p> O s i b O r u t> E l O N
diphaposi	d i ph a p> O s i
diphaposing	d i ph a p> O s i N
dipharagobeng	d i ph a r a x O b E N
dipharasaete	d i ph a r a s a E t> E
dipharologano	d i ph a r O l O x a n O
dipharologanong	d i ph a r O l O x a n O N
dipharologantsho	d i ph a r O l O x a n tsh O
dipharologantshong	d i ph a r O l O x a n tsh O N
dipharologanyo	d i ph a r O l O x a J O
diphasalatso	d i ph a s a l a ts> O
diphasalatsong	d i ph a s a l a ts> O N
diphasele	d i ph a s E l E
diphate	d i ph a t> E
diphatla	d i ph a tl> a
diphatlha	d i ph a tlh a
diphatlhana	d i ph a tlh a n a
diphatlhaneng	d i ph a tlh a n E N
diphatlhatiro	d i ph a tlh a t> i r O
diphatlhatirong	d i ph a tlh a t> i r O N
diphatlheng	d i ph a tlh E N
diphatlho	d i ph a tlh O
diphatsa	d i ph a ts> a
diphedi	d i ph E d i
diphefo	d i ph E f O
diphefong	d i ph E f O N
diphegelelo	d i ph E x E l E l O
dipheko	d i ph E k> O
diphelelo	d i ph E l E l O
diphensele	d i ph E n s E l E
diphenšene	d i ph E n S E n E
diphetogo	d i ph E t> O x O
diphetogong	d i ph E t> O x O N
diphetolelo	d i ph E t> O l E l O
diphetolo	d i ph E t> O l O
diphilo	d i ph i l O
diphiri	d i ph i r i
diphirimisi	d i ph i r i m i s i
diphiso	d i ph i s O
diphitlhelelo	d i ph i tlh E l E l O
diphitlho	d i ph i tlh O
diphofo	d i ph O f O
diphokotso	d i ph O k> O ts> O
dipholesi	d i ph O l E s i
dipholesing	d i ph O l E s i N
dipholo	d i ph O l O
diphologolong	d i ph O l O x O l O N
diphologong	d i ph O l O x O N
dipholong	d i ph O l O N
dipholwana	d i ph O l w a n a
diphopholetso	d i ph O ph O l E ts> O
diphorogotlho	d i ph O r O x O tlh O
diphororo	d i ph O r O r O
diphoso	d i ph O s O
diphosong	d i ph O s O N
diphotlwa	d i ph O tl> w a
diphousetara	d i ph O u s E t> a r a
diphuduhudu	d i ph u d u h u d u
diphufudi	d i ph u f u d i
diphuka	d i ph u k> a
diphuthegong	d i ph u th E x O N
diphuthelo	d i ph u th E l O
diphuthelwana	d i ph u th E l w a n a
dipilara	d i p> i l a r a
dipina	d i p> i n a
dipinagare	d i p> i n a x a r E
dipineng	d i p> i n E N
dipiriti	d i p> i r i t> i
dipitlagano	d i p> i tl> a x a n O
dipitse	d i p> i ts> E
dipitseng	d i p> i ts> E N
dipitso	d i p> i ts> O
dipitsong	d i p> i ts> O N
dipodi	d i p> O d i
dipoelethuto	d i p> O E l E th u t> O
dipoeletso	d i p> O E l E ts> O
dipoelo	d i p> O E l O
dipoelong	d i p> O E l O N
dipoelothuto	d i p> O E l O th u t> O
dipoelothutong	d i p> O E l O th u t> O N
dipogiso	d i p> O x i s O
dipoifo	d i p> O i f O
dipokano	d i p> O k> a n O
dipokanong	d i p> O k> a n O N
dipoko	d i p> O k> O
dipolaka	d i p> O l a k> a
dipolane	d i p> O l a n E
dipolantere	d i p> O l a n t> E r E
dipolantereng	d i p> O l a n t> E r E N
dipolao	d i p> O l a O
dipolasa	d i p> O l a s a
dipolase	d i p> O l a s E
dipolaseng	d i p> O l a s E N
dipolasetiki	d i p> O l a s E t> i k> i
dipolata	d i p> O l a t> a
dipoleite	d i p> O l E i t> E
dipolelo	d i p> O l E l O
dipolelong	d i p> O l E l O N
dipolelonolo	d i p> O l E l O n O l O
dipolelwana	d i p> O l E l w a n a
dipolelwanakala	d i p> O l E l w a n a k> a l a
dipoleo	d i p> O l E O
dipolokelo	d i p> O l O k> E l O
dipolokelong	d i p> O l O k> E l O N
dipoloko	d i p> O l O k> O
dipolokong	d i p> O l O k> O N
dipoloma	d i p> O l O m a
dipolotiki	d i p> O l O t> i k> i
dipolotiking	d i p> O l O t> i k> i N
dipoloto	d i p> O l O t> O
dipolotwana	d i p> O l O t> w a n a
dipompo	d i p> O m p> O
dipompokgolo	d i p> O m p> O kx O l O
diponagalo	d i p> O n a x a l O
diponagalokgolo	d i p> O n a x a l O kx O l O
diponagalong	d i p> O n a x a l O N
diponalo	d i p> O n a l O
dipone	d i p> O n E
diponelopele	d i p> O n E l O p> E l E
dipono	d i p> O n O
dipontsho	d i p> O n tsh O
dipontshong	d i p> O n tsh O N
dipontshotshupetso	d i p> O n tsh O tsh u p> E ts> O
dipoo	d i p> O O
dipopego	d i p> O p> E x O
dipopegong	d i p> O p> E x O N
diporeng	d i p> O r E N
diporo	d i p> O r O
diporofaele	d i p> O r O f a E l E
diporofense	d i p> O r O f E n s E
diporofenseng	d i p> O r O f E n s E N
diporojeke	d i p> O r O d0Z E k> E
diporojekeng	d i p> O r O d0Z E k> E N
diporong	d i p> O r O N
diporoteine	d i p> O r O t> E i n E
diporoteini	d i p> O r O t> E i n i
dipositi	d i p> O s i t> i
diposo	d i p> O s O
diposong	d i p> O s O N
dipota	d i p> O t> a
dipotefolio	d i p> O t> E f O l i O
dipotlana	d i p> O tl> a n a
dipotsane	d i p> O ts> a n E
dipotso	d i p> O ts> O
dipotsolotsano	d i p> O ts> O l O ts> a n O
dipotsolotso	d i p> O ts> O l O ts> O
dipotsolotsong	d i p> O ts> O l O ts> O N
dipotsong	d i p> O ts> O N
dipotsopotso	d i p> O ts> O p> O ts> O
dipotsotherisano	d i p> O ts> O th E r i s a n O
dipotsotherisanong	d i p> O ts> O th E r i s a n O N
dipudulogo	d i p> u d u l O x O
dipuisano	d i p> u i s a n O
dipuisanong	d i p> u i s a n O N
dipula	d i p> u l a
dipuleng	d i p> u l E N
dipulo	d i p> u l O
dipuodintsi	d i p> u O d i n ts> i
dipuo	d i p> u O
dipuong	d i p> u O N
dipuopuo	d i p> u O p> u O
dipurugwana	d i p> u r u x w a n a
dipuso	d i p> u s O
dipusong	d i p> u s O N
dipusoselegae	d i p> u s O s E l E x a E
diradio	d i r a d i O
diradiong	d i r a d i O N
dira	d i r a
diragadibonwe	d i r a x a d i b O n w E
diragaditse	d i r a x a d i ts> E
diragaditseng	d i r a x a d i ts> E N
diragaditswe	d i r a x a d i ts> w E
diragaditsweng	d i r a x a d i ts> w E N
diragadiwa	d i r a x a d i w a
diragadiwang	d i r a x a d i w a N
diragadiwe	d i r a x a d i w E
diragala	d i r a x a l a
diragalang	d i r a x a l a N
diragale	d i r a x a l E
diragalela	d i r a x a l E l a
diragalelang	d i r a x a l E l a N
diragalelwa	d i r a x a l E l w a
diragaletse	d i r a x a l E ts> E
diragaletseng	d i r a x a l E ts> E N
diragatsa	d i r a x a ts> a
diragatsang	d i r a x a ts> a N
diragatse	d i r a x a ts> E
